2 16 -> ~157 fr=189 (0.6000), cf=0.859, gamma=1.353, delta=0.157, M=-8.476e+001
2 34 102 -> 156 fr=144 (0.4571), cf=0.852, gamma=1.342, delta=0.117, M=-4.066e+001
62 102 -> ~157 fr=114 (0.3619), cf=0.912, gamma=1.436, delta=0.110, M=-4.043e+001
62 102 -> 156 fr=114 (0.3619), cf=0.912, gamma=1.436, delta=0.110, M=-4.043e+001
34 52 -> ~157 fr=132 (0.4190), cf=0.874, gamma=1.377, delta=0.115, M=-4.024e+001
34 52 -> 156 fr=132 (0.4190), cf=0.874, gamma=1.377, delta=0.115, M=-4.024e+001
25 43 -> ~157 fr=111 (0.3524), cf=0.917, gamma=1.445, delta=0.108, M=-4.016e+001
25 43 -> 156 fr=111 (0.3524), cf=0.917, gamma=1.445, delta=0.108, M=-4.016e+001
34 82 102 -> ~157 fr=116 (0.3683), cf=0.906, gamma=1.427, delta=0.110, M=-4.006e+001
34 82 102 -> 156 fr=116 (0.3683), cf=0.906, gamma=1.427, delta=0.110, M=-4.006e+001
52 72 121 -> ~157 fr=102 (0.3238), cf=0.936, gamma=1.474, delta=0.104, M=-3.983e+001
52 72 121 -> 156 fr=102 (0.3238), cf=0.936, gamma=1.474, delta=0.104, M=-3.983e+001
52 62 -> ~157 fr=118 (0.3746), cf=0.901, gamma=1.419, delta=0.111, M=-3.974e+001
52 62 -> 156 fr=118 (0.3746), cf=0.901, gamma=1.419, delta=0.111, M=-3.974e+001
34 62 -> ~157 fr=120 (0.3810), cf=0.896, gamma=1.410, delta=0.111, M=-3.948e+001
34 62 -> 156 fr=120 (0.3810), cf=0.896, gamma=1.410, delta=0.111, M=-3.948e+001
52 102 141 150 -> ~157 fr=110 (0.3492), cf=0.917, gamma=1.444, delta=0.107, M=-3.948e+001
52 102 141 150 -> 156 fr=110 (0.3492), cf=0.917, gamma=1.444, delta=0.107, M=-3.948e+001
62 72 82 121 -> ~157 fr=95 (0.3016), cf=0.950, gamma=1.496, delta=0.100, M=-3.942e+001
62 72 82 121 -> 156 fr=95 (0.3016), cf=0.950, gamma=1.496, delta=0.100, M=-3.942e+001
25 34 121 -> ~157 fr=104 (0.3302), cf=0.929, gamma=1.462, delta=0.104, M=-3.918e+001
25 34 121 -> 156 fr=104 (0.3302), cf=0.929, gamma=1.462, delta=0.104, M=-3.918e+001
62 72 82 111 150 -> ~157 fr=91 (0.2889), cf=0.958, gamma=1.509, delta=0.097, M=-3.909e+001
62 72 82 111 150 -> 156 fr=91 (0.2889), cf=0.958, gamma=1.509, delta=0.097, M=-3.909e+001
25 52 -> ~157 fr=112 (0.3556), cf=0.911, gamma=1.434, delta=0.108, M=-3.904e+001
25 52 -> 156 fr=112 (0.3556), cf=0.911, gamma=1.434, delta=0.108, M=-3.904e+001
7 29 48 67 -> ~157 fr=83 (0.2635), cf=0.976, gamma=1.538, delta=0.092, M=-3.902e+001
7 29 48 67 -> 156 fr=83 (0.2635), cf=0.976, gamma=1.538, delta=0.092, M=-3.902e+001
82 102 141 150 -> ~157 fr=109 (0.3460), cf=0.916, gamma=1.443, delta=0.106, M=-3.879e+001
82 102 141 150 -> 156 fr=109 (0.3460), cf=0.916, gamma=1.443, delta=0.106, M=-3.879e+001
62 72 82 111 -> ~157 fr=94 (0.2984), cf=0.949, gamma=1.495, delta=0.099, M=-3.876e+001
62 72 82 111 -> 156 fr=94 (0.2984), cf=0.949, gamma=1.495, delta=0.099, M=-3.876e+001
25 121 -> ~157 fr=106 (0.3365), cf=0.922, gamma=1.452, delta=0.105, M=-3.861e+001
25 121 -> 156 fr=106 (0.3365), cf=0.922, gamma=1.452, delta=0.105, M=-3.861e+001
62 72 121 -> ~157 fr=100 (0.3175), cf=0.935, gamma=1.472, delta=0.102, M=-3.849e+001
62 72 121 -> 156 fr=100 (0.3175), cf=0.935, gamma=1.472, delta=0.102, M=-3.849e+001
34 43 102 -> ~157 fr=113 (0.3587), cf=0.904, gamma=1.424, delta=0.107, M=-3.799e+001
34 43 102 -> 156 fr=113 (0.3587), cf=0.904, gamma=1.424, delta=0.107, M=-3.799e+001
43 52 -> ~157 fr=120 (0.3810), cf=0.889, gamma=1.400, delta=0.109, M=-3.785e+001
43 52 -> 156 fr=120 (0.3810), cf=0.889, gamma=1.400, delta=0.109, M=-3.785e+001
1 -> 157 fr=34 (0.1079), cf=1.000, gamma=2.739, delta=0.069, M=-3.785e+001
2 -> ~157 fr=200 (0.6349), cf=0.712, gamma=1.121, delta=0.069, M=-3.785e+001
62 72 111 -> ~157 fr=99 (0.3143), cf=0.934, gamma=1.471, delta=0.101, M=-3.783e+001
62 72 111 -> 156 fr=99 (0.3143), cf=0.934, gamma=1.471, delta=0.101, M=-3.783e+001
11 62 -> ~157 fr=110 (0.3492), cf=0.909, gamma=1.432, delta=0.105, M=-3.769e+001
11 62 -> 156 fr=110 (0.3492), cf=0.909, gamma=1.432, delta=0.105, M=-3.769e+001
7 121 -> ~157 fr=115 (0.3651), cf=0.898, gamma=1.415, delta=0.107, M=-3.767e+001
7 121 -> 156 fr=115 (0.3651), cf=0.898, gamma=1.415, delta=0.107, M=-3.767e+001
7 20 29 48 -> ~157 fr=85 (0.2698), cf=0.966, gamma=1.521, delta=0.092, M=-3.764e+001
7 20 29 48 -> 156 fr=85 (0.2698), cf=0.966, gamma=1.521, delta=0.092, M=-3.764e+001
82 102 -> ~157 fr=117 (0.3714), cf=0.893, gamma=1.407, delta=0.107, M=-3.739e+001
82 102 -> 156 fr=117 (0.3714), cf=0.893, gamma=1.407, delta=0.107, M=-3.739e+001
34 102 141 150 -> ~157 fr=134 (0.4254), cf=0.859, gamma=1.353, delta=0.111, M=-3.731e+001
34 102 141 150 -> 156 fr=134 (0.4254), cf=0.859, gamma=1.353, delta=0.111, M=-3.731e+001
61 150 -> 157 fr=42 (0.1333), cf=0.913, gamma=2.501, delta=0.080, M=-3.727e+001
61 150 -> ~156 fr=42 (0.1333), cf=0.913, gamma=2.501, delta=0.080, M=-3.727e+001
62 72 82 -> ~157 fr=98 (0.3111), cf=0.933, gamma=1.470, delta=0.099, M=-3.717e+001
62 72 82 -> 156 fr=98 (0.3111), cf=0.933, gamma=1.470, delta=0.099, M=-3.717e+001
25 29 34 -> ~157 fr=88 (0.2794), cf=0.957, gamma=1.507, delta=0.094, M=-3.714e+001
25 29 34 -> 156 fr=88 (0.2794), cf=0.957, gamma=1.507, delta=0.094, M=-3.714e+001
43 102 -> ~157 fr=114 (0.3619), cf=0.898, gamma=1.414, delta=0.106, M=-3.699e+001
43 102 -> 156 fr=114 (0.3619), cf=0.898, gamma=1.414, delta=0.106, M=-3.699e+001
62 -> ~157 fr=121 (0.3841), cf=0.883, gamma=1.391, delta=0.108, M=-3.698e+001
62 -> 156 fr=121 (0.3841), cf=0.883, gamma=1.391, delta=0.108, M=-3.698e+001
52 72 82 111 150 -> ~157 fr=91 (0.2889), cf=0.948, gamma=1.493, delta=0.095, M=-3.681e+001
52 72 82 111 150 -> 156 fr=91 (0.2889), cf=0.948, gamma=1.493, delta=0.095, M=-3.681e+001
111 -> ~157 fr=137 (0.4349), cf=0.851, gamma=1.340, delta=0.110, M=-3.672e+001
111 -> 156 fr=137 (0.4349), cf=0.851, gamma=1.340, delta=0.110, M=-3.672e+001
52 102 141 -> ~157 fr=111 (0.3524), cf=0.902, gamma=1.421, delta=0.104, M=-3.664e+001
52 102 141 -> 156 fr=111 (0.3524), cf=0.902, gamma=1.421, delta=0.104, M=-3.664e+001
34 102 141 -> ~157 fr=135 (0.4286), cf=0.854, gamma=1.346, delta=0.110, M=-3.664e+001
34 102 141 -> 156 fr=135 (0.4286), cf=0.854, gamma=1.346, delta=0.110, M=-3.664e+001
52 82 121 -> ~157 fr=103 (0.3270), cf=0.920, gamma=1.448, delta=0.101, M=-3.662e+001
52 82 121 -> 156 fr=103 (0.3270), cf=0.920, gamma=1.448, delta=0.101, M=-3.662e+001
52 72 -> ~157 fr=105 (0.3333), cf=0.913, gamma=1.438, delta=0.102, M=-3.613e+001
52 72 -> 156 fr=105 (0.3333), cf=0.913, gamma=1.438, delta=0.102, M=-3.613e+001
121 -> ~157 fr=156 (0.4952), cf=0.813, gamma=1.280, delta=0.108, M=-3.587e+001
121 -> 156 fr=156 (0.4952), cf=0.813, gamma=1.280, delta=0.108, M=-3.587e+001
61 154 -> 157 fr=39 (0.1238), cf=0.929, gamma=2.543, delta=0.075, M=-3.575e+001
61 154 -> ~156 fr=39 (0.1238), cf=0.929, gamma=2.543, delta=0.075, M=-3.575e+001
52 102 150 -> ~157 fr=112 (0.3556), cf=0.896, gamma=1.411, delta=0.104, M=-3.566e+001
52 102 150 -> 156 fr=112 (0.3556), cf=0.896, gamma=1.411, delta=0.104, M=-3.566e+001
52 102 -> ~157 fr=119 (0.3778), cf=0.881, gamma=1.388, delta=0.106, M=-3.562e+001
52 102 -> 156 fr=119 (0.3778), cf=0.881, gamma=1.388, delta=0.106, M=-3.562e+001
7 29 48 -> ~157 fr=92 (0.2921), cf=0.939, gamma=1.479, delta=0.095, M=-3.533e+001
7 29 48 -> 156 fr=92 (0.2921), cf=0.939, gamma=1.479, delta=0.095, M=-3.533e+001
7 141 150 -> ~157 fr=125 (0.3968), cf=0.868, gamma=1.367, delta=0.107, M=-3.525e+001
7 141 150 -> 156 fr=125 (0.3968), cf=0.868, gamma=1.367, delta=0.107, M=-3.525e+001
61 -> 157 fr=50 (0.1587), cf=0.820, gamma=2.245, delta=0.088, M=-3.523e+001
52 -> ~157 fr=133 (0.4222), cf=0.853, gamma=1.343, delta=0.108, M=-3.521e+001
52 -> 156 fr=133 (0.4222), cf=0.853, gamma=1.343, delta=0.108, M=-3.521e+001
102 141 150 -> ~157 fr=142 (0.4508), cf=0.835, gamma=1.316, delta=0.108, M=-3.508e+001
102 141 150 -> 156 fr=142 (0.4508), cf=0.835, gamma=1.316, delta=0.108, M=-3.508e+001
72 141 150 -> ~157 fr=106 (0.3365), cf=0.906, gamma=1.427, delta=0.101, M=-3.505e+001
72 141 150 -> 156 fr=106 (0.3365), cf=0.906, gamma=1.427, delta=0.101, M=-3.505e+001
7 20 29 -> ~157 fr=94 (0.2984), cf=0.931, gamma=1.466, delta=0.095, M=-3.461e+001
7 20 29 -> 156 fr=94 (0.2984), cf=0.931, gamma=1.466, delta=0.095, M=-3.461e+001
11 102 -> ~157 fr=143 (0.4540), cf=0.831, gamma=1.309, delta=0.107, M=-3.454e+001
11 102 -> 156 fr=143 (0.4540), cf=0.831, gamma=1.309, delta=0.107, M=-3.454e+001
7 29 67 -> ~157 fr=90 (0.2857), cf=0.938, gamma=1.477, delta=0.092, M=-3.407e+001
7 29 67 -> 156 fr=90 (0.2857), cf=0.938, gamma=1.477, delta=0.092, M=-3.407e+001
25 29 67 -> ~157 fr=79 (0.2508), cf=0.963, gamma=1.517, delta=0.086, M=-3.385e+001
25 29 67 -> 156 fr=79 (0.2508), cf=0.963, gamma=1.517, delta=0.086, M=-3.385e+001
7 141 -> ~157 fr=129 (0.4095), cf=0.854, gamma=1.346, delta=0.105, M=-3.380e+001
7 141 -> 156 fr=129 (0.4095), cf=0.854, gamma=1.346, delta=0.105, M=-3.380e+001
102 141 -> ~157 fr=147 (0.4667), cf=0.821, gamma=1.293, delta=0.106, M=-3.376e+001
102 141 -> 156 fr=147 (0.4667), cf=0.821, gamma=1.293, delta=0.106, M=-3.376e+001
82 141 150 -> ~157 fr=109 (0.3460), cf=0.893, gamma=1.407, delta=0.100, M=-3.371e+001
82 141 150 -> 156 fr=109 (0.3460), cf=0.893, gamma=1.407, delta=0.100, M=-3.371e+001
25 29 -> ~157 fr=89 (0.2825), cf=0.937, gamma=1.476, delta=0.091, M=-3.345e+001
25 29 -> 156 fr=89 (0.2825), cf=0.937, gamma=1.476, delta=0.091, M=-3.345e+001
34 72 141 -> ~157 fr=106 (0.3365), cf=0.898, gamma=1.415, delta=0.099, M=-3.340e+001
34 72 141 -> 156 fr=106 (0.3365), cf=0.898, gamma=1.415, delta=0.099, M=-3.340e+001
91 97 150 -> 157 fr=37 (0.1175), cf=0.925, gamma=2.534, delta=0.071, M=-3.337e+001
91 97 150 -> ~156 fr=37 (0.1175), cf=0.925, gamma=2.534, delta=0.071, M=-3.337e+001
7 20 48 67 -> ~157 fr=82 (0.2603), cf=0.953, gamma=1.502, delta=0.087, M=-3.336e+001
7 20 48 67 -> 156 fr=82 (0.2603), cf=0.953, gamma=1.502, delta=0.087, M=-3.336e+001
7 25 34 -> ~157 fr=124 (0.3937), cf=0.861, gamma=1.356, delta=0.103, M=-3.317e+001
7 25 34 -> 156 fr=124 (0.3937), cf=0.861, gamma=1.356, delta=0.103, M=-3.317e+001
25 34 -> ~157 fr=141 (0.4476), cf=0.829, gamma=1.306, delta=0.105, M=-3.309e+001
25 34 -> 156 fr=141 (0.4476), cf=0.829, gamma=1.306, delta=0.105, M=-3.309e+001
7 43 -> ~157 fr=97 (0.3079), cf=0.915, gamma=1.441, delta=0.094, M=-3.281e+001
7 43 -> 156 fr=97 (0.3079), cf=0.915, gamma=1.441, delta=0.094, M=-3.281e+001
34 102 -> ~157 fr=144 (0.4571), cf=0.823, gamma=1.296, delta=0.104, M=-3.278e+001
34 102 -> 156 fr=144 (0.4571), cf=0.823, gamma=1.296, delta=0.104, M=-3.278e+001
91 -> 157 fr=50 (0.1587), cf=0.794, gamma=2.174, delta=0.086, M=-3.259e+001
72 141 -> ~157 fr=107 (0.3397), cf=0.892, gamma=1.404, delta=0.098, M=-3.245e+001
72 141 -> 156 fr=107 (0.3397), cf=0.892, gamma=1.404, delta=0.098, M=-3.245e+001
11 -> ~157 fr=183 (0.5810), cf=0.750, gamma=1.181, delta=0.089, M=-3.230e+001
7 29 -> ~157 fr=104 (0.3302), cf=0.897, gamma=1.412, delta=0.096, M=-3.215e+001
7 29 -> 156 fr=104 (0.3302), cf=0.897, gamma=1.412, delta=0.096, M=-3.215e+001
123 -> 157 fr=34 (0.1079), cf=0.944, gamma=2.587, delta=0.066, M=-3.206e+001
141 150 -> ~157 fr=160 (0.5079), cf=0.792, gamma=1.248, delta=0.101, M=-3.204e+001
141 150 -> 156 fr=160 (0.5079), cf=0.792, gamma=1.248, delta=0.101, M=-3.204e+001
