2 16 -> ~157 fr=192 (0.6057), cf=0.865, gamma=1.351, delta=0.157, M=-8.662e+001
34 62 -> ~157 fr=123 (0.3880), cf=0.904, gamma=1.412, delta=0.113, M=-4.177e+001
7 121 -> ~157 fr=123 (0.3880), cf=0.904, gamma=1.412, delta=0.113, M=-4.177e+001
34 62 -> 156 fr=123 (0.3880), cf=0.904, gamma=1.412, delta=0.113, M=-4.177e+001
7 121 -> 156 fr=123 (0.3880), cf=0.904, gamma=1.412, delta=0.113, M=-4.177e+001
34 52 -> ~157 fr=134 (0.4227), cf=0.882, gamma=1.377, delta=0.116, M=-4.153e+001
34 52 -> 156 fr=134 (0.4227), cf=0.882, gamma=1.377, delta=0.116, M=-4.153e+001
82 102 -> ~157 fr=120 (0.3785), cf=0.909, gamma=1.420, delta=0.112, M=-4.140e+001
82 102 -> 156 fr=120 (0.3785), cf=0.909, gamma=1.420, delta=0.112, M=-4.140e+001
25 121 -> ~157 fr=112 (0.3533), cf=0.926, gamma=1.445, delta=0.109, M=-4.138e+001
25 121 -> 156 fr=112 (0.3533), cf=0.926, gamma=1.445, delta=0.109, M=-4.138e+001
62 72 82 111 -> ~157 fr=96 (0.3028), cf=0.960, gamma=1.499, delta=0.101, M=-4.130e+001
62 72 82 111 -> 156 fr=96 (0.3028), cf=0.960, gamma=1.499, delta=0.101, M=-4.130e+001
62 -> ~157 fr=124 (0.3912), cf=0.899, gamma=1.403, delta=0.112, M=-4.078e+001
62 -> 156 fr=124 (0.3912), cf=0.899, gamma=1.403, delta=0.112, M=-4.078e+001
121 150 -> ~157 fr=146 (0.4606), cf=0.854, gamma=1.333, delta=0.115, M=-4.022e+001
121 150 -> 156 fr=146 (0.4606), cf=0.854, gamma=1.333, delta=0.115, M=-4.022e+001
2 25 -> ~157 fr=149 (0.4700), cf=0.847, gamma=1.322, delta=0.114, M=-3.978e+001
2 25 -> 156 fr=149 (0.4700), cf=0.847, gamma=1.322, delta=0.114, M=-3.978e+001
52 72 82 121 -> ~157 fr=97 (0.3060), cf=0.951, gamma=1.485, delta=0.100, M=-3.962e+001
52 72 82 121 -> 156 fr=97 (0.3060), cf=0.951, gamma=1.485, delta=0.100, M=-3.962e+001
25 43 -> ~157 fr=112 (0.3533), cf=0.918, gamma=1.434, delta=0.107, M=-3.949e+001
25 43 -> 156 fr=112 (0.3533), cf=0.918, gamma=1.434, delta=0.107, M=-3.949e+001
52 102 141 150 -> ~157 fr=109 (0.3438), cf=0.924, gamma=1.442, delta=0.105, M=-3.934e+001
52 102 141 150 -> 156 fr=109 (0.3438), cf=0.924, gamma=1.442, delta=0.105, M=-3.934e+001
25 29 34 -> ~157 fr=93 (0.2934), cf=0.959, gamma=1.497, delta=0.097, M=-3.933e+001
25 29 34 -> 156 fr=93 (0.2934), cf=0.959, gamma=1.497, delta=0.097, M=-3.933e+001
52 72 121 -> ~157 fr=103 (0.3249), cf=0.936, gamma=1.462, delta=0.103, M=-3.928e+001
52 72 121 -> 156 fr=103 (0.3249), cf=0.936, gamma=1.462, delta=0.103, M=-3.928e+001
111 -> ~157 fr=141 (0.4448), cf=0.860, gamma=1.343, delta=0.113, M=-3.925e+001
111 -> 156 fr=141 (0.4448), cf=0.860, gamma=1.343, delta=0.113, M=-3.925e+001
1 -> 157 fr=34 (0.1073), cf=1.000, gamma=2.781, delta=0.069, M=-3.843e+001
2 -> ~157 fr=203 (0.6404), cf=0.717, gamma=1.120, delta=0.069, M=-3.843e+001
52 72 -> ~157 fr=107 (0.3375), cf=0.922, gamma=1.440, delta=0.103, M=-3.802e+001
52 72 -> 156 fr=107 (0.3375), cf=0.922, gamma=1.440, delta=0.103, M=-3.802e+001
72 141 150 -> ~157 fr=107 (0.3375), cf=0.922, gamma=1.440, delta=0.103, M=-3.802e+001
72 141 150 -> 156 fr=107 (0.3375), cf=0.922, gamma=1.440, delta=0.103, M=-3.802e+001
43 52 -> ~157 fr=120 (0.3785), cf=0.896, gamma=1.398, delta=0.108, M=-3.800e+001
43 52 -> 156 fr=120 (0.3785), cf=0.896, gamma=1.398, delta=0.108, M=-3.800e+001
82 141 150 -> ~157 fr=112 (0.3533), cf=0.911, gamma=1.422, delta=0.105, M=-3.770e+001
34 43 102 -> ~157 fr=112 (0.3533), cf=0.911, gamma=1.422, delta=0.105, M=-3.770e+001
82 141 150 -> 156 fr=112 (0.3533), cf=0.911, gamma=1.422, delta=0.105, M=-3.770e+001
34 43 102 -> 156 fr=112 (0.3533), cf=0.911, gamma=1.422, delta=0.105, M=-3.770e+001
25 29 -> ~157 fr=94 (0.2965), cf=0.949, gamma=1.483, delta=0.097, M=-3.767e+001
25 29 -> 156 fr=94 (0.2965), cf=0.949, gamma=1.483, delta=0.097, M=-3.767e+001
34 102 141 150 -> ~157 fr=136 (0.4290), cf=0.861, gamma=1.344, delta=0.110, M=-3.702e+001
34 102 141 150 -> 156 fr=136 (0.4290), cf=0.861, gamma=1.344, delta=0.110, M=-3.702e+001
121 -> ~157 fr=160 (0.5047), cf=0.816, gamma=1.275, delta=0.109, M=-3.685e+001
121 -> 156 fr=160 (0.5047), cf=0.816, gamma=1.275, delta=0.109, M=-3.685e+001
61 150 -> 157 fr=41 (0.1293), cf=0.911, gamma=2.534, delta=0.078, M=-3.675e+001
61 150 -> ~156 fr=41 (0.1293), cf=0.911, gamma=2.534, delta=0.078, M=-3.675e+001
52 102 141 -> ~157 fr=110 (0.3470), cf=0.909, gamma=1.420, delta=0.103, M=-3.639e+001
52 102 141 -> 156 fr=110 (0.3470), cf=0.909, gamma=1.420, delta=0.103, M=-3.639e+001
34 102 141 -> ~157 fr=137 (0.4322), cf=0.856, gamma=1.337, delta=0.109, M=-3.633e+001
34 102 141 -> 156 fr=137 (0.4322), cf=0.856, gamma=1.337, delta=0.109, M=-3.633e+001
52 -> ~157 fr=135 (0.4259), cf=0.860, gamma=1.343, delta=0.109, M=-3.631e+001
52 -> 156 fr=135 (0.4259), cf=0.860, gamma=1.343, delta=0.109, M=-3.631e+001
34 72 141 -> ~157 fr=107 (0.3375), cf=0.915, gamma=1.428, delta=0.101, M=-3.620e+001
34 72 141 -> 156 fr=107 (0.3375), cf=0.915, gamma=1.428, delta=0.101, M=-3.620e+001
29 34 141 150 -> ~157 fr=88 (0.2776), cf=0.957, gamma=1.494, delta=0.092, M=-3.614e+001
29 34 141 150 -> 156 fr=88 (0.2776), cf=0.957, gamma=1.494, delta=0.092, M=-3.614e+001
72 82 141 -> ~157 fr=101 (0.3186), cf=0.927, gamma=1.447, delta=0.098, M=-3.602e+001
72 82 141 -> 156 fr=101 (0.3186), cf=0.927, gamma=1.447, delta=0.098, M=-3.602e+001
7 141 150 -> ~157 fr=130 (0.4101), cf=0.867, gamma=1.353, delta=0.107, M=-3.567e+001
7 141 150 -> 156 fr=130 (0.4101), cf=0.867, gamma=1.353, delta=0.107, M=-3.567e+001
61 154 -> 157 fr=38 (0.1199), cf=0.927, gamma=2.577, delta=0.073, M=-3.519e+001
61 154 -> ~156 fr=38 (0.1199), cf=0.927, gamma=2.577, delta=0.073, M=-3.519e+001
72 141 -> ~157 fr=108 (0.3407), cf=0.908, gamma=1.417, delta=0.100, M=-3.510e+001
72 141 -> 156 fr=108 (0.3407), cf=0.908, gamma=1.417, delta=0.100, M=-3.510e+001
43 102 -> ~157 fr=113 (0.3565), cf=0.897, gamma=1.400, delta=0.102, M=-3.499e+001
43 102 -> 156 fr=113 (0.3565), cf=0.897, gamma=1.400, delta=0.102, M=-3.499e+001
7 141 -> ~157 fr=135 (0.4259), cf=0.854, gamma=1.334, delta=0.107, M=-3.493e+001
7 141 -> 156 fr=135 (0.4259), cf=0.854, gamma=1.334, delta=0.107, M=-3.493e+001
29 141 150 -> ~157 fr=105 (0.3312), cf=0.913, gamma=1.426, delta=0.099, M=-3.492e+001
29 141 150 -> 156 fr=105 (0.3312), cf=0.913, gamma=1.426, delta=0.099, M=-3.492e+001
11 102 -> ~157 fr=146 (0.4606), cf=0.834, gamma=1.303, delta=0.107, M=-3.483e+001
11 102 -> 156 fr=146 (0.4606), cf=0.834, gamma=1.303, delta=0.107, M=-3.483e+001
34 82 141 -> ~157 fr=112 (0.3533), cf=0.896, gamma=1.399, delta=0.101, M=-3.435e+001
34 82 141 -> 156 fr=112 (0.3533), cf=0.896, gamma=1.399, delta=0.101, M=-3.435e+001
25 34 82 -> ~157 fr=104 (0.3281), cf=0.912, gamma=1.425, delta=0.098, M=-3.429e+001
25 34 82 -> 156 fr=104 (0.3281), cf=0.912, gamma=1.425, delta=0.098, M=-3.429e+001
7 29 48 67 -> ~157 fr=81 (0.2555), cf=0.964, gamma=1.506, delta=0.086, M=-3.420e+001
7 29 48 67 -> 156 fr=81 (0.2555), cf=0.964, gamma=1.506, delta=0.086, M=-3.420e+001
25 34 72 -> ~157 fr=101 (0.3186), cf=0.918, gamma=1.434, delta=0.096, M=-3.418e+001
25 34 72 -> 156 fr=101 (0.3186), cf=0.918, gamma=1.434, delta=0.096, M=-3.418e+001
141 150 -> ~157 fr=161 (0.5079), cf=0.805, gamma=1.257, delta=0.104, M=-3.401e+001
141 150 -> 156 fr=161 (0.5079), cf=0.805, gamma=1.257, delta=0.104, M=-3.401e+001
91 97 150 -> 157 fr=37 (0.1167), cf=0.925, gamma=2.572, delta=0.071, M=-3.398e+001
91 97 150 -> ~156 fr=37 (0.1167), cf=0.925, gamma=2.572, delta=0.071, M=-3.398e+001
29 34 141 -> ~157 fr=88 (0.2776), cf=0.946, gamma=1.478, delta=0.090, M=-3.392e+001
29 34 141 -> 156 fr=88 (0.2776), cf=0.946, gamma=1.478, delta=0.090, M=-3.392e+001
7 20 29 48 -> ~157 fr=84 (0.2650), cf=0.955, gamma=1.491, delta=0.087, M=-3.368e+001
7 20 29 48 -> 156 fr=84 (0.2650), cf=0.955, gamma=1.491, delta=0.087, M=-3.368e+001
25 34 -> ~157 fr=146 (0.4606), cf=0.830, gamma=1.295, delta=0.105, M=-3.357e+001
25 34 -> 156 fr=146 (0.4606), cf=0.830, gamma=1.295, delta=0.105, M=-3.357e+001
91 -> 157 fr=49 (0.1546), cf=0.803, gamma=2.234, delta=0.085, M=-3.354e+001
61 -> 157 fr=49 (0.1546), cf=0.803, gamma=2.234, delta=0.085, M=-3.354e+001
29 141 -> ~157 fr=108 (0.3407), cf=0.900, gamma=1.405, delta=0.098, M=-3.344e+001
29 141 -> 156 fr=108 (0.3407), cf=0.900, gamma=1.405, delta=0.098, M=-3.344e+001
102 141 -> ~157 fr=149 (0.4700), cf=0.823, gamma=1.285, delta=0.104, M=-3.327e+001
102 141 -> 156 fr=149 (0.4700), cf=0.823, gamma=1.285, delta=0.104, M=-3.327e+001
11 -> ~157 fr=186 (0.5868), cf=0.756, gamma=1.181, delta=0.090, M=-3.319e+001
7 25 82 -> ~157 fr=90 (0.2839), cf=0.938, gamma=1.464, delta=0.090, M=-3.308e+001
7 25 82 -> 156 fr=90 (0.2839), cf=0.938, gamma=1.464, delta=0.090, M=-3.308e+001
25 72 -> ~157 fr=102 (0.3218), cf=0.911, gamma=1.422, delta=0.096, M=-3.305e+001
25 72 -> 156 fr=102 (0.3218), cf=0.911, gamma=1.422, delta=0.096, M=-3.305e+001
7 20 38 48 67 -> ~157 fr=70 (0.2208), cf=0.986, gamma=1.540, delta=0.077, M=-3.300e+001
7 20 38 48 67 -> 156 fr=70 (0.2208), cf=0.986, gamma=1.540, delta=0.077, M=-3.300e+001
7 20 38 48 -> ~157 fr=79 (0.2492), cf=0.963, gamma=1.504, delta=0.084, M=-3.299e+001
7 20 38 48 -> 156 fr=79 (0.2492), cf=0.963, gamma=1.504, delta=0.084, M=-3.299e+001
7 29 48 -> ~157 fr=93 (0.2934), cf=0.930, gamma=1.452, delta=0.091, M=-3.295e+001
7 29 48 -> 156 fr=93 (0.2934), cf=0.930, gamma=1.452, delta=0.091, M=-3.295e+001
82 141 -> ~157 fr=112 (0.3533), cf=0.889, gamma=1.388, delta=0.099, M=-3.279e+001
82 141 -> 156 fr=112 (0.3533), cf=0.889, gamma=1.388, delta=0.099, M=-3.279e+001
25 82 -> ~157 fr=104 (0.3281), cf=0.904, gamma=1.412, delta=0.096, M=-3.260e+001
25 82 -> 156 fr=104 (0.3281), cf=0.904, gamma=1.412, delta=0.096, M=-3.260e+001
141 -> ~157 fr=167 (0.5268), cf=0.788, gamma=1.230, delta=0.099, M=-3.196e+001
