9 23 36 65 -> 103 fr=79 (0.1280), cf=0.975, gamma=7.617, delta=0.111, M=-2.250e+002
9 23 36 56 -> 103 fr=79 (0.1280), cf=0.814, gamma=6.361, delta=0.108, M=-1.888e+002
9 23 36 -> 103 fr=79 (0.1280), cf=0.806, gamma=6.296, delta=0.108, M=-1.871e+002
23 36 56 72 74 -> 103 fr=79 (0.1280), cf=0.806, gamma=6.296, delta=0.108, M=-1.871e+002
9 38 65 -> 103 fr=79 (0.1280), cf=0.798, gamma=6.232, delta=0.107, M=-1.855e+002
23 36 56 72 -> 103 fr=79 (0.1280), cf=0.798, gamma=6.232, delta=0.107, M=-1.855e+002
9 36 38 77 -> 103 fr=79 (0.1280), cf=0.798, gamma=6.232, delta=0.107, M=-1.855e+002
9 36 38 72 -> 103 fr=79 (0.1280), cf=0.798, gamma=6.232, delta=0.107, M=-1.855e+002
23 36 38 -> 103 fr=79 (0.1280), cf=0.790, gamma=6.170, delta=0.107, M=-1.840e+002
9 36 56 74 -> 103 fr=79 (0.1280), cf=0.790, gamma=6.170, delta=0.107, M=-1.840e+002
23 36 72 74 -> 103 fr=79 (0.1280), cf=0.775, gamma=6.049, delta=0.107, M=-1.810e+002
23 65 -> 103 fr=79 (0.1280), cf=0.767, gamma=5.990, delta=0.107, M=-1.795e+002
23 36 72 -> 103 fr=79 (0.1280), cf=0.767, gamma=5.990, delta=0.107, M=-1.795e+002
23 36 56 74 -> 103 fr=79 (0.1280), cf=0.760, gamma=5.933, delta=0.106, M=-1.781e+002
23 36 56 -> 103 fr=79 (0.1280), cf=0.752, gamma=5.876, delta=0.106, M=-1.767e+002
9 36 38 -> 103 fr=79 (0.1280), cf=0.745, gamma=5.821, delta=0.106, M=-1.753e+002
9 36 56 72 -> 103 fr=79 (0.1280), cf=0.745, gamma=5.821, delta=0.106, M=-1.753e+002
9 36 72 74 -> 103 fr=79 (0.1280), cf=0.745, gamma=5.821, delta=0.106, M=-1.753e+002
9 23 56 72 -> 103 fr=79 (0.1280), cf=0.738, gamma=5.766, delta=0.106, M=-1.740e+002
23 36 74 -> 103 fr=79 (0.1280), cf=0.731, gamma=5.713, delta=0.106, M=-1.727e+002
23 36 77 -> 103 fr=79 (0.1280), cf=0.725, gamma=5.661, delta=0.105, M=-1.714e+002
9 23 38 -> 103 fr=79 (0.1280), cf=0.725, gamma=5.661, delta=0.105, M=-1.714e+002
9 36 74 -> 103 fr=79 (0.1280), cf=0.718, gamma=5.609, delta=0.105, M=-1.701e+002
9 36 56 77 -> 103 fr=79 (0.1280), cf=0.718, gamma=5.609, delta=0.105, M=-1.701e+002
36 38 56 72 74 -> 103 fr=79 (0.1280), cf=0.718, gamma=5.609, delta=0.105, M=-1.701e+002
9 65 -> 103 fr=79 (0.1280), cf=0.712, gamma=5.559, delta=0.105, M=-1.689e+002
9 23 56 -> 103 fr=79 (0.1280), cf=0.712, gamma=5.559, delta=0.105, M=-1.689e+002
36 38 56 74 -> 103 fr=79 (0.1280), cf=0.712, gamma=5.559, delta=0.105, M=-1.689e+002
23 38 56 72 74 -> 103 fr=79 (0.1280), cf=0.712, gamma=5.559, delta=0.105, M=-1.689e+002
23 38 56 74 -> 103 fr=79 (0.1280), cf=0.705, gamma=5.509, delta=0.105, M=-1.676e+002
23 38 56 72 -> 103 fr=79 (0.1280), cf=0.705, gamma=5.509, delta=0.105, M=-1.676e+002
23 38 56 -> 103 fr=79 (0.1280), cf=0.699, gamma=5.460, delta=0.105, M=-1.664e+002
9 36 72 -> 103 fr=79 (0.1280), cf=0.681, gamma=5.319, delta=0.104, M=-1.630e+002
9 38 56 74 -> 103 fr=79 (0.1280), cf=0.681, gamma=5.319, delta=0.104, M=-1.630e+002
65 98 -> 103 fr=63 (0.1021), cf=1.000, gamma=7.810, delta=0.089, M=-1.629e+002
36 38 74 98 -> 103 fr=63 (0.1021), cf=1.000, gamma=7.810, delta=0.089, M=-1.629e+002
36 38 77 98 -> 103 fr=63 (0.1021), cf=1.000, gamma=7.810, delta=0.089, M=-1.629e+002
36 38 72 98 -> 103 fr=63 (0.1021), cf=1.000, gamma=7.810, delta=0.089, M=-1.629e+002
38 56 74 98 -> 103 fr=63 (0.1021), cf=1.000, gamma=7.810, delta=0.089, M=-1.629e+002
38 56 77 98 -> 103 fr=63 (0.1021), cf=1.000, gamma=7.810, delta=0.089, M=-1.629e+002
38 56 72 98 -> 103 fr=63 (0.1021), cf=1.000, gamma=7.810, delta=0.089, M=-1.629e+002
23 36 -> 103 fr=79 (0.1280), cf=0.675, gamma=5.274, delta=0.104, M=-1.618e+002
9 36 56 -> 103 fr=79 (0.1280), cf=0.675, gamma=5.274, delta=0.104, M=-1.618e+002
38 65 69 -> 103 fr=62 (0.1005), cf=1.000, gamma=7.810, delta=0.088, M=-1.594e+002
36 74 98 -> 103 fr=63 (0.1021), cf=0.984, gamma=7.688, delta=0.089, M=-1.587e+002
36 77 98 -> 103 fr=63 (0.1021), cf=0.984, gamma=7.688, delta=0.089, M=-1.587e+002
36 72 98 -> 103 fr=63 (0.1021), cf=0.984, gamma=7.688, delta=0.089, M=-1.587e+002
9 23 98 -> 103 fr=63 (0.1021), cf=0.984, gamma=7.688, delta=0.089, M=-1.587e+002
23 56 98 -> 103 fr=63 (0.1021), cf=0.984, gamma=7.688, delta=0.089, M=-1.587e+002
23 38 98 -> 103 fr=63 (0.1021), cf=0.984, gamma=7.688, delta=0.089, M=-1.587e+002
56 74 98 -> 103 fr=63 (0.1021), cf=0.984, gamma=7.688, delta=0.089, M=-1.587e+002
56 77 98 -> 103 fr=63 (0.1021), cf=0.984, gamma=7.688, delta=0.089, M=-1.587e+002
56 72 98 -> 103 fr=63 (0.1021), cf=0.984, gamma=7.688, delta=0.089, M=-1.587e+002
9 36 77 -> 103 fr=79 (0.1280), cf=0.658, gamma=5.142, delta=0.103, M=-1.586e+002
36 38 56 72 77 -> 103 fr=79 (0.1280), cf=0.658, gamma=5.142, delta=0.103, M=-1.586e+002
36 38 56 77 -> 103 fr=79 (0.1280), cf=0.653, gamma=5.099, delta=0.103, M=-1.575e+002
9 38 56 77 -> 103 fr=79 (0.1280), cf=0.653, gamma=5.099, delta=0.103, M=-1.575e+002
9 38 56 72 -> 103 fr=79 (0.1280), cf=0.653, gamma=5.099, delta=0.103, M=-1.575e+002
36 56 72 74 -> 103 fr=79 (0.1280), cf=0.648, gamma=5.057, delta=0.103, M=-1.565e+002
23 98 -> 103 fr=63 (0.1021), cf=0.969, gamma=7.570, delta=0.089, M=-1.553e+002
36 56 69 74 -> 103 fr=62 (0.1005), cf=0.984, gamma=7.686, delta=0.087, M=-1.553e+002
9 23 72 -> 103 fr=79 (0.1280), cf=0.632, gamma=4.936, delta=0.102, M=-1.534e+002
9 36 -> 103 fr=79 (0.1280), cf=0.622, gamma=4.858, delta=0.102, M=-1.515e+002
36 56 74 -> 103 fr=79 (0.1280), cf=0.617, gamma=4.820, delta=0.101, M=-1.505e+002
9 38 56 -> 103 fr=79 (0.1280), cf=0.617, gamma=4.820, delta=0.101, M=-1.505e+002
9 23 -> 103 fr=79 (0.1280), cf=0.612, gamma=4.783, delta=0.101, M=-1.496e+002
23 56 72 74 -> 103 fr=79 (0.1280), cf=0.608, gamma=4.746, delta=0.101, M=-1.486e+002
23 56 72 -> 103 fr=79 (0.1280), cf=0.603, gamma=4.710, delta=0.101, M=-1.477e+002
36 38 72 74 -> 103 fr=79 (0.1280), cf=0.603, gamma=4.710, delta=0.101, M=-1.477e+002
36 38 74 -> 103 fr=79 (0.1280), cf=0.598, gamma=4.674, delta=0.101, M=-1.468e+002
23 56 74 -> 103 fr=79 (0.1280), cf=0.581, gamma=4.537, delta=0.100, M=-1.432e+002
38 65 -> 103 fr=79 (0.1280), cf=0.577, gamma=4.504, delta=0.100, M=-1.424e+002
23 56 -> 103 fr=79 (0.1280), cf=0.577, gamma=4.504, delta=0.100, M=-1.424e+002
36 38 98 -> 103 fr=63 (0.1021), cf=0.900, gamma=7.029, delta=0.088, M=-1.422e+002
38 56 98 -> 103 fr=63 (0.1021), cf=0.900, gamma=7.029, delta=0.088, M=-1.422e+002
9 38 74 98 -> 103 fr=63 (0.1021), cf=0.900, gamma=7.029, delta=0.088, M=-1.422e+002
9 38 77 98 -> 103 fr=63 (0.1021), cf=0.900, gamma=7.029, delta=0.088, M=-1.422e+002
9 38 72 98 -> 103 fr=63 (0.1021), cf=0.900, gamma=7.029, delta=0.088, M=-1.422e+002
36 38 56 72 -> 103 fr=79 (0.1280), cf=0.572, gamma=4.471, delta=0.099, M=-1.415e+002
36 56 72 77 -> 103 fr=79 (0.1280), cf=0.568, gamma=4.439, delta=0.099, M=-1.407e+002
36 98 -> 103 fr=63 (0.1021), cf=0.887, gamma=6.930, delta=0.087, M=-1.400e+002
56 98 -> 103 fr=63 (0.1021), cf=0.887, gamma=6.930, delta=0.087, M=-1.400e+002
9 74 98 -> 103 fr=63 (0.1021), cf=0.887, gamma=6.930, delta=0.087, M=-1.400e+002
9 77 98 -> 103 fr=63 (0.1021), cf=0.887, gamma=6.930, delta=0.087, M=-1.400e+002
9 72 98 -> 103 fr=63 (0.1021), cf=0.887, gamma=6.930, delta=0.087, M=-1.400e+002
38 74 98 -> 103 fr=63 (0.1021), cf=0.887, gamma=6.930, delta=0.087, M=-1.400e+002
38 77 98 -> 103 fr=63 (0.1021), cf=0.887, gamma=6.930, delta=0.087, M=-1.400e+002
38 72 98 -> 103 fr=63 (0.1021), cf=0.887, gamma=6.930, delta=0.087, M=-1.400e+002
36 38 72 77 -> 103 fr=79 (0.1280), cf=0.560, gamma=4.376, delta=0.099, M=-1.390e+002
9 56 72 74 -> 103 fr=79 (0.1280), cf=0.560, gamma=4.376, delta=0.099, M=-1.390e+002
36 38 77 -> 103 fr=79 (0.1280), cf=0.556, gamma=4.345, delta=0.099, M=-1.382e+002
35 46 50 55 89 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 52 55 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 63 83 89 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 52 63 83 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 59 63 89 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 52 59 63 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 63 79 89 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 52 63 79 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 59 67 89 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 52 59 67 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 59 69 89 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 52 59 69 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 63 67 69 89 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 52 63 67 69 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 57 67 69 83 89 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 52 57 67 69 83 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 57 67 69 79 89 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
35 46 50 52 57 67 69 79 -> 113 fr=82 (0.1329), cf=0.547, gamma=4.113, delta=0.101, M=-1.381e+002
74 98 -> 103 fr=63 (0.1021), cf=0.875, gamma=6.834, delta=0.087, M=-1.380e+002
77 98 -> 103 fr=63 (0.1021), cf=0.875, gamma=6.834, delta=0.087, M=-1.380e+002
72 98 -> 103 fr=63 (0.1021), cf=0.875, gamma=6.834, delta=0.087, M=-1.380e+002
36 72 74 -> 103 fr=79 (0.1280), cf=0.552, gamma=4.315, delta=0.098, M=-1.374e+002
35 46 50 63 67 89 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 52 63 67 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 63 69 89 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 52 63 69 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 67 69 83 89 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 52 67 69 83 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 57 67 83 89 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 52 57 67 83 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 67 69 79 89 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 52 67 69 79 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 57 67 79 89 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 52 57 67 79 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 57 67 69 89 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 52 57 67 69 -> 113 fr=82 (0.1329), cf=0.543, gamma=4.086, delta=0.100, M=-1.374e+002
35 46 50 63 89 -> 113 fr=82 (0.1329), cf=0.539, gamma=4.059, delta=0.100, M=-1.366e+002
35 46 50 52 63 -> 113 fr=82 (0.1329), cf=0.539, gamma=4.059, delta=0.100, M=-1.366e+002
35 46 50 67 83 89 -> 113 fr=82 (0.1329), cf=0.539, gamma=4.059, delta=0.100, M=-1.366e+002
35 46 50 52 67 83 -> 113 fr=82 (0.1329), cf=0.539, gamma=4.059, delta=0.100, M=-1.366e+002
35 46 50 67 79 89 -> 113 fr=82 (0.1329), cf=0.539, gamma=4.059, delta=0.100, M=-1.366e+002
35 46 50 52 67 79 -> 113 fr=82 (0.1329), cf=0.539, gamma=4.059, delta=0.100, M=-1.366e+002
35 46 50 67 69 89 -> 113 fr=82 (0.1329), cf=0.539, gamma=4.059, delta=0.100, M=-1.366e+002
35 46 50 52 67 69 -> 113 fr=82 (0.1329), cf=0.539, gamma=4.059, delta=0.100, M=-1.366e+002
36 56 77 -> 103 fr=79 (0.1280), cf=0.545, gamma=4.255, delta=0.098, M=-1.358e+002
9 56 74 -> 103 fr=79 (0.1280), cf=0.545, gamma=4.255, delta=0.098, M=-1.358e+002
36 38 56 -> 103 fr=79 (0.1280), cf=0.541, gamma=4.226, delta=0.098, M=-1.351e+002
35 41 46 50 55 -> 113 fr=82 (0.1329), cf=0.532, gamma=4.006, delta=0.100, M=-1.351e+002
35 46 50 59 89 -> 113 fr=82 (0.1329), cf=0.532, gamma=4.006, delta=0.100, M=-1.351e+002
35 46 50 52 59 -> 113 fr=82 (0.1329), cf=0.532, gamma=4.006, delta=0.100, M=-1.351e+002
35 41 46 50 63 83 -> 113 fr=82 (0.1329), cf=0.532, gamma=4.006, delta=0.100, M=-1.351e+002
35 41 46 50 59 63 -> 113 fr=82 (0.1329), cf=0.532, gamma=4.006, delta=0.100, M=-1.351e+002
35 41 46 50 63 79 -> 113 fr=82 (0.1329), cf=0.532, gamma=4.006, delta=0.100, M=-1.351e+002
35 41 46 50 59 67 -> 113 fr=82 (0.1329), cf=0.532, gamma=4.006, delta=0.100, M=-1.351e+002
35 41 46 50 59 69 -> 113 fr=82 (0.1329), cf=0.532, gamma=4.006, delta=0.100, M=-1.351e+002
35 41 46 50 63 67 69 -> 113 fr=82 (0.1329), cf=0.532, gamma=4.006, delta=0.100, M=-1.351e+002
35 41 46 50 57 67 69 83 -> 113 fr=82 (0.1329), cf=0.532, gamma=4.006, delta=0.100, M=-1.351e+002
35 41 46 50 57 67 69 79 -> 113 fr=82 (0.1329), cf=0.532, gamma=4.006, delta=0.100, M=-1.351e+002
35 41 46 50 63 67 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 46 50 63 69 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 50 55 63 89 97 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 50 63 83 89 97 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 50 59 63 89 97 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 50 63 79 89 97 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 46 50 67 69 83 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 46 50 57 67 83 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 46 50 67 69 79 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 46 50 57 67 79 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 46 50 57 67 69 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 42 50 52 55 63 97 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 42 50 52 63 83 97 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 42 50 52 59 63 97 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 42 50 52 63 79 97 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 50 63 67 69 89 97 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 42 50 52 63 67 69 97 -> 113 fr=82 (0.1329), cf=0.529, gamma=3.981, delta=0.100, M=-1.343e+002
35 41 46 50 63 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 46 50 67 83 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 46 50 67 79 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 46 50 67 69 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 55 63 89 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 55 63 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 52 55 63 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 63 83 89 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 63 83 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 52 63 83 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 59 63 89 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 59 63 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 63 79 89 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 63 79 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 52 59 63 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 52 63 79 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 63 67 89 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 63 69 89 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 55 57 83 89 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 55 57 79 89 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 63 67 69 89 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 63 67 69 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 63 67 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 63 69 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 52 63 67 69 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 55 57 83 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 55 57 79 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 57 59 67 83 89 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 57 59 69 83 89 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 57 67 69 83 89 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 57 59 67 79 89 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 57 59 69 79 89 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 50 57 67 69 79 89 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 57 59 67 83 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 57 59 69 83 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 57 67 69 83 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 57 59 67 79 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 57 59 69 79 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 41 42 50 52 57 67 69 79 97 -> 113 fr=82 (0.1329), cf=0.526, gamma=3.955, delta=0.099, M=-1.336e+002
35 46 55 89 -> 113 fr=82 (0.1329), cf=0.522, gamma=3.930, delta=0.099, M=-1.328e+002
35 46 52 55 -> 113 fr=82 (0.1329), cf=0.522, gamma=3.930, delta=0.099, M=-1.328e+002
35 46 63 83 89 -> 113 fr=82 (0.1329), cf=0.522, gamma=3.930, delta=0.099, M=-1.328e+002
35 46 52 63 83 -> 113 fr=82 (0.1329), cf=0.522, gamma=3.930, delta=0.099, M=-1.328e+002
35 46 59 63 89 -> 113 fr=82 (0.1329), cf=0.522, gamma=3.930, delta=0.099, M=-1.328e+002
35 46 52 59 63 -> 113 fr=82 (0.1329), cf=0.522, gamma=3.930, delta=0.099, M=-1.328e+002
35 46 63 79 89 -> 113 fr=82 (0.1329), cf=0.522, gamma=3.930, delta=0.099, M=-1.328e+002
35 46 52 63 79 -> 113 fr=82 (0.1329), cf=0.522, gamma=3.930, delta=0.099, M=-1.328e+002
35 46 59 67 89 -> 113 fr=82 (0.1329), cf=0.522, gamma=3.930, delta=0.099, M=-1.328e+002
