1 10 15 19 28 35 -> 42 fr=4352 (0.8838), cf=0.945, gamma=1.053, delta=0.044, M=-4.825e+002
10 19 35 -> 42 fr=4368 (0.8871), cf=0.933, gamma=1.039, delta=0.033, M=-3.451e+002
1 19 28 -> 42 fr=4366 (0.8867), cf=0.933, gamma=1.039, delta=0.033, M=-3.422e+002
19 35 -> 42 fr=4368 (0.8871), cf=0.932, gamma=1.038, delta=0.033, M=-3.402e+002
1 10 19 31 -> 42 fr=4368 (0.8871), cf=0.932, gamma=1.038, delta=0.033, M=-3.377e+002
6 19 28 -> 42 fr=4283 (0.8698), cf=0.939, gamma=1.046, delta=0.038, M=-3.362e+002
1 19 31 -> 42 fr=4368 (0.8871), cf=0.932, gamma=1.038, delta=0.032, M=-3.353e+002
19 28 -> 42 fr=4366 (0.8867), cf=0.932, gamma=1.038, delta=0.033, M=-3.349e+002
10 19 31 -> 42 fr=4368 (0.8871), cf=0.932, gamma=1.038, delta=0.032, M=-3.329e+002
1 10 19 -> 42 fr=4371 (0.8877), cf=0.931, gamma=1.037, delta=0.032, M=-3.299e+002
19 31 38 -> 42 fr=4368 (0.8871), cf=0.931, gamma=1.037, delta=0.032, M=-3.280e+002
19 31 -> 42 fr=4368 (0.8871), cf=0.931, gamma=1.037, delta=0.032, M=-3.256e+002
10 19 -> 42 fr=4371 (0.8877), cf=0.931, gamma=1.036, delta=0.031, M=-3.226e+002
1 19 -> 42 fr=4371 (0.8877), cf=0.930, gamma=1.036, delta=0.031, M=-3.154e+002
6 19 38 -> 42 fr=4288 (0.8708), cf=0.936, gamma=1.042, delta=0.035, M=-3.041e+002
19 38 -> 42 fr=4371 (0.8877), cf=0.929, gamma=1.035, delta=0.030, M=-3.034e+002
15 19 -> ~43 fr=4509 (0.9157), cf=0.970, gamma=1.032, delta=0.028, M=-3.025e+002
6 19 -> 42 fr=4288 (0.8708), cf=0.935, gamma=1.041, delta=0.035, M=-2.974e+002
6 19 28 -> ~43 fr=4414 (0.8964), cf=0.968, gamma=1.029, delta=0.026, M=-2.241e+002
1 10 15 28 35 -> 42 fr=4402 (0.8940), cf=0.919, gamma=1.023, delta=0.020, M=-2.220e+002
6 19 -> ~43 fr=4433 (0.9003), cf=0.967, gamma=1.028, delta=0.025, M=-2.210e+002
1 15 28 31 35 -> 42 fr=4400 (0.8936), cf=0.919, gamma=1.024, delta=0.021, M=-2.208e+002
10 15 28 35 -> 42 fr=4402 (0.8940), cf=0.919, gamma=1.023, delta=0.020, M=-2.197e+002
1 15 28 35 -> 42 fr=4402 (0.8940), cf=0.919, gamma=1.023, delta=0.020, M=-2.197e+002
15 28 31 35 -> 42 fr=4400 (0.8936), cf=0.919, gamma=1.023, delta=0.020, M=-2.184e+002
15 28 35 -> 42 fr=4402 (0.8940), cf=0.918, gamma=1.023, delta=0.020, M=-2.173e+002
1 10 15 28 31 -> 42 fr=4402 (0.8940), cf=0.918, gamma=1.022, delta=0.020, M=-2.126e+002
10 15 28 31 -> 42 fr=4402 (0.8940), cf=0.918, gamma=1.022, delta=0.019, M=-2.103e+002
1 15 28 31 -> 42 fr=4402 (0.8940), cf=0.918, gamma=1.022, delta=0.019, M=-2.103e+002
15 28 31 -> 42 fr=4402 (0.8940), cf=0.918, gamma=1.022, delta=0.019, M=-2.079e+002
1 10 15 28 -> 42 fr=4405 (0.8946), cf=0.917, gamma=1.021, delta=0.019, M=-2.041e+002
1 10 15 35 -> 42 fr=4407 (0.8950), cf=0.916, gamma=1.020, delta=0.018, M=-1.986e+002
10 15 28 -> 42 fr=4405 (0.8946), cf=0.916, gamma=1.021, delta=0.018, M=-1.971e+002
1 15 31 35 -> 42 fr=4405 (0.8946), cf=0.916, gamma=1.021, delta=0.018, M=-1.971e+002
1 15 35 -> 42 fr=4407 (0.8950), cf=0.916, gamma=1.020, delta=0.018, M=-1.963e+002
10 15 35 -> 42 fr=4407 (0.8950), cf=0.916, gamma=1.020, delta=0.018, M=-1.939e+002
15 -> ~43 fr=4617 (0.9377), cf=0.954, gamma=1.015, delta=0.014, M=-1.903e+002
15 31 35 -> 42 fr=4405 (0.8946), cf=0.916, gamma=1.020, delta=0.018, M=-1.901e+002
1 15 28 -> 42 fr=4405 (0.8946), cf=0.916, gamma=1.020, delta=0.018, M=-1.901e+002
15 35 -> 42 fr=4407 (0.8950), cf=0.915, gamma=1.020, delta=0.017, M=-1.892e+002
1 10 15 31 -> 42 fr=4407 (0.8950), cf=0.915, gamma=1.020, delta=0.017, M=-1.892e+002
1 15 31 -> 42 fr=4407 (0.8950), cf=0.915, gamma=1.019, delta=0.017, M=-1.869e+002
10 15 31 -> 42 fr=4407 (0.8950), cf=0.915, gamma=1.019, delta=0.017, M=-1.846e+002
19 28 -> ~43 fr=4501 (0.9141), cf=0.961, gamma=1.022, delta=0.020, M=-1.831e+002
19 -> ~43 fr=4520 (0.9180), cf=0.960, gamma=1.021, delta=0.019, M=-1.824e+002
1 10 15 -> 42 fr=4410 (0.8956), cf=0.914, gamma=1.018, delta=0.016, M=-1.813e+002
15 28 -> 42 fr=4405 (0.8946), cf=0.915, gamma=1.019, delta=0.017, M=-1.808e+002
15 31 38 -> 42 fr=4407 (0.8950), cf=0.915, gamma=1.019, delta=0.016, M=-1.799e+002
15 31 -> 42 fr=4407 (0.8950), cf=0.915, gamma=1.019, delta=0.016, M=-1.776e+002
10 15 -> 42 fr=4410 (0.8956), cf=0.914, gamma=1.018, delta=0.015, M=-1.719e+002
1 15 -> 42 fr=4410 (0.8956), cf=0.913, gamma=1.017, delta=0.015, M=-1.673e+002
15 38 -> 42 fr=4410 (0.8956), cf=0.912, gamma=1.016, delta=0.014, M=-1.534e+002
1 19 -> ~45 fr=4679 (0.9502), cf=0.996, gamma=1.012, delta=0.011, M=-1.443e+002
19 -> ~45 fr=4685 (0.9515), cf=0.995, gamma=1.011, delta=0.011, M=-1.380e+002
1 6 10 28 35 -> 42 fr=4331 (0.8796), cf=0.910, gamma=1.014, delta=0.012, M=-7.533e+001
1 6 28 31 35 -> 42 fr=4329 (0.8792), cf=0.910, gamma=1.014, delta=0.012, M=-7.431e+001
6 10 28 35 -> 42 fr=4331 (0.8796), cf=0.910, gamma=1.014, delta=0.012, M=-7.370e+001
1 6 28 35 -> 42 fr=4331 (0.8796), cf=0.910, gamma=1.014, delta=0.012, M=-7.370e+001
6 28 31 35 -> 42 fr=4329 (0.8792), cf=0.910, gamma=1.014, delta=0.012, M=-7.269e+001
6 28 35 -> 42 fr=4331 (0.8796), cf=0.910, gamma=1.013, delta=0.012, M=-7.208e+001
1 10 28 35 -> 42 fr=4413 (0.8962), cf=0.905, gamma=1.008, delta=0.007, M=-7.154e+001
1 28 31 35 -> 42 fr=4411 (0.8958), cf=0.905, gamma=1.008, delta=0.007, M=-7.060e+001
10 28 35 -> 42 fr=4413 (0.8962), cf=0.905, gamma=1.008, delta=0.007, M=-6.938e+001
1 28 35 -> 42 fr=4413 (0.8962), cf=0.905, gamma=1.008, delta=0.007, M=-6.938e+001
28 31 35 -> 42 fr=4411 (0.8958), cf=0.905, gamma=1.008, delta=0.007, M=-6.847e+001
28 35 -> 42 fr=4413 (0.8962), cf=0.904, gamma=1.007, delta=0.007, M=-6.722e+001
1 6 10 28 31 -> 42 fr=4330 (0.8794), cf=0.909, gamma=1.013, delta=0.011, M=-6.680e+001
6 10 28 31 -> 42 fr=4330 (0.8794), cf=0.909, gamma=1.013, delta=0.011, M=-6.522e+001
1 6 28 31 -> 42 fr=4330 (0.8794), cf=0.909, gamma=1.013, delta=0.011, M=-6.522e+001
6 28 31 -> 42 fr=4330 (0.8794), cf=0.909, gamma=1.012, delta=0.011, M=-6.366e+001
1 10 28 31 -> 42 fr=4413 (0.8962), cf=0.904, gamma=1.007, delta=0.006, M=-6.292e+001
10 28 31 -> 42 fr=4413 (0.8962), cf=0.904, gamma=1.007, delta=0.006, M=-6.079e+001
1 28 31 -> 42 fr=4413 (0.8962), cf=0.904, gamma=1.007, delta=0.006, M=-6.079e+001
1 6 10 28 -> 42 fr=4333 (0.8800), cf=0.908, gamma=1.012, delta=0.010, M=-6.039e+001
28 31 -> 42 fr=4413 (0.8962), cf=0.904, gamma=1.007, delta=0.006, M=-5.866e+001
6 10 28 -> 42 fr=4333 (0.8800), cf=0.908, gamma=1.011, delta=0.010, M=-5.579e+001
1 6 28 -> 42 fr=4333 (0.8800), cf=0.908, gamma=1.011, delta=0.010, M=-5.579e+001
1 6 10 35 -> 42 fr=4336 (0.8806), cf=0.908, gamma=1.011, delta=0.010, M=-5.561e+001
1 10 28 -> 42 fr=4416 (0.8968), cf=0.903, gamma=1.006, delta=0.005, M=-5.485e+001
1 6 31 35 -> 42 fr=4334 (0.8802), cf=0.908, gamma=1.011, delta=0.010, M=-5.472e+001
10 28 35 -> ~46 fr=4796 (0.9740), cf=0.983, gamma=1.004, delta=0.004, M=-5.419e+001
1 6 35 -> 42 fr=4336 (0.8806), cf=0.907, gamma=1.011, delta=0.009, M=-5.409e+001
6 10 35 -> 42 fr=4336 (0.8806), cf=0.907, gamma=1.011, delta=0.009, M=-5.258e+001
28 31 35 -> ~46 fr=4793 (0.9734), cf=0.983, gamma=1.004, delta=0.004, M=-5.251e+001
6 28 -> 42 fr=4333 (0.8800), cf=0.907, gamma=1.010, delta=0.009, M=-5.129e+001
28 35 -> ~46 fr=4796 (0.9740), cf=0.983, gamma=1.004, delta=0.004, M=-5.090e+001
6 31 35 -> 42 fr=4334 (0.8802), cf=0.907, gamma=1.010, delta=0.009, M=-5.024e+001
1 10 35 -> 42 fr=4418 (0.8972), cf=0.902, gamma=1.005, delta=0.004, M=-4.978e+001
6 35 -> 42 fr=4336 (0.8806), cf=0.907, gamma=1.010, delta=0.009, M=-4.960e+001
31 -> ~44 fr=4891 (0.9933), cf=0.997, gamma=1.002, delta=0.002, M=-4.949e+001
10 28 -> 42 fr=4416 (0.8968), cf=0.903, gamma=1.005, delta=0.005, M=-4.835e+001
1 31 35 -> 42 fr=4416 (0.8968), cf=0.903, gamma=1.005, delta=0.005, M=-4.835e+001
1 6 10 31 -> 42 fr=4335 (0.8804), cf=0.907, gamma=1.010, delta=0.009, M=-4.771e+001
1 35 -> 42 fr=4418 (0.8972), cf=0.902, gamma=1.005, delta=0.004, M=-4.757e+001
1 6 31 -> 42 fr=4335 (0.8804), cf=0.907, gamma=1.010, delta=0.008, M=-4.626e+001
35 -> ~44 fr=4886 (0.9923), cf=0.997, gamma=1.002, delta=0.002, M=-4.600e+001
10 35 -> 42 fr=4418 (0.8972), cf=0.902, gamma=1.005, delta=0.004, M=-4.536e+001
6 10 31 -> 42 fr=4335 (0.8804), cf=0.906, gamma=1.009, delta=0.008, M=-4.482e+001
6 31 38 -> 42 fr=4335 (0.8804), cf=0.906, gamma=1.009, delta=0.008, M=-4.198e+001
31 35 -> 42 fr=4416 (0.8968), cf=0.902, gamma=1.005, delta=0.004, M=-4.193e+001
1 28 -> 42 fr=4416 (0.8968), cf=0.902, gamma=1.005, delta=0.004, M=-4.193e+001
1 10 28 -> ~46 fr=4803 (0.9754), cf=0.982, gamma=1.003, delta=0.003, M=-4.187e+001
1 6 10 -> 42 fr=4338 (0.8810), cf=0.906, gamma=1.009, delta=0.008, M=-4.172e+001
1 10 31 -> 42 fr=4418 (0.8972), cf=0.902, gamma=1.004, delta=0.004, M=-4.097e+001
6 28 -> ~43 fr=4522 (0.9184), cf=0.947, gamma=1.007, delta=0.007, M=-4.088e+001
6 31 -> 42 fr=4335 (0.8804), cf=0.906, gamma=1.009, delta=0.008, M=-4.057e+001
10 28 -> ~46 fr=4805 (0.9758), cf=0.982, gamma=1.003, delta=0.003, M=-3.981e+001
1 31 -> 42 fr=4418 (0.8972), cf=0.901, gamma=1.004, delta=0.004, M=-3.879e+001
6 -> ~43 fr=4541 (0.9222), cf=0.946, gamma=1.007, delta=0.006, M=-3.785e+001
1 28 -> ~46 fr=4807 (0.9762), cf=0.982, gamma=1.003, delta=0.003, M=-3.778e+001
1 6 -> 42 fr=4338 (0.8810), cf=0.905, gamma=1.008, delta=0.007, M=-3.753e+001
10 31 -> 42 fr=4418 (0.8972), cf=0.901, gamma=1.004, delta=0.003, M=-3.661e+001
28 -> ~46 fr=4810 (0.9768), cf=0.982, gamma=1.003, delta=0.003, M=-3.651e+001
6 10 -> 42 fr=4338 (0.8810), cf=0.905, gamma=1.008, delta=0.007, M=-3.616e+001
1 10 -> 42 fr=4421 (0.8978), cf=0.901, gamma=1.003, delta=0.003, M=-3.441e+001
31 38 -> 42 fr=4418 (0.8972), cf=0.901, gamma=1.003, delta=0.003, M=-3.228e+001
10 35 -> ~46 fr=4807 (0.9762), cf=0.981, gamma=1.002, delta=0.002, M=-3.122e+001
6 38 -> 42 fr=4338 (0.8810), cf=0.904, gamma=1.007, delta=0.006, M=-3.084e+001
1 31 35 -> ~46 fr=4802 (0.9752), cf=0.981, gamma=1.002, delta=0.002, M=-2.862e+001
1 35 -> ~46 fr=4805 (0.9758), cf=0.981, gamma=1.002, delta=0.002, M=-2.697e+001
31 35 -> ~46 fr=4804 (0.9756), cf=0.981, gamma=1.002, delta=0.002, M=-2.649e+001
35 -> ~46 fr=4807 (0.9762), cf=0.981, gamma=1.002, delta=0.002, M=-2.487e+001
1 10 -> ~44 fr=4890 (0.9931), cf=0.996, gamma=1.001, delta=0.001, M=-2.386e+001
10 -> ~44 fr=4893 (0.9937), cf=0.996, gamma=1.001, delta=0.001, M=-2.072e+001
1 10 -> ~46 fr=4813 (0.9775), cf=0.980, gamma=1.001, delta=0.001, M=-1.864e+001
10 -> ~46 fr=4816 (0.9781), cf=0.980, gamma=1.001, delta=0.001, M=-1.730e+001
1 -> ~46 fr=4817 (0.9783), cf=0.980, gamma=1.001, delta=0.001, M=-1.466e+001
38 -> ~46 fr=4821 (0.9791), cf=0.980, gamma=1.001, delta=0.001, M=-1.163e+001
1 6 -> ~44 fr=4772 (0.9691), cf=0.996, gamma=1.001, delta=0.001, M=-7.722e+000
31 -> ~46 fr=4806 (0.9760), cf=0.980, gamma=1.001, delta=0.001, M=-7.506e+000
1 -> ~44 fr=4892 (0.9935), cf=0.995, gamma=1.000, delta=0.000, M=-7.045e+000
6 -> ~44 fr=4779 (0.9706), cf=0.996, gamma=1.001, delta=0.001, M=-5.740e+000
1 -> ~45 fr=4838 (0.9825), cf=0.984, gamma=1.000, delta=0.000, M=-4.767e+000
28 -> ~43 fr=4609 (0.9360), cf=0.941, gamma=1.001, delta=0.001, M=-4.380e+000
