4 6 12 14 -> 20 fr=213 (0.3386), cf=0.845, gamma=2.450, delta=0.200, M=-2.754e+002
2 12 14 -> ~19 fr=198 (0.3148), cf=0.645, gamma=1.869, delta=0.146, M=-1.353e+002
2 14 -> 20 fr=198 (0.3148), cf=0.639, gamma=1.851, delta=0.145, M=-1.324e+002
2 14 -> ~19 fr=198 (0.3148), cf=0.639, gamma=1.851, delta=0.145, M=-1.324e+002
2 12 -> 20 fr=200 (0.3180), cf=0.568, gamma=1.647, delta=0.125, M=-1.027e+002
2 12 -> ~19 fr=200 (0.3180), cf=0.568, gamma=1.647, delta=0.125, M=-1.027e+002
1 -> ~20 fr=257 (0.4086), cf=0.938, gamma=1.432, delta=0.123, M=-1.003e+002
1 -> 19 fr=257 (0.4086), cf=0.938, gamma=1.432, delta=0.123, M=-1.003e+002
12 14 -> 20 fr=215 (0.3418), cf=0.439, gamma=1.272, delta=0.073, M=-6.003e+001
12 14 -> ~19 fr=215 (0.3418), cf=0.439, gamma=1.272, delta=0.073, M=-6.003e+001
13 -> 19 fr=127 (0.2019), cf=0.984, gamma=1.503, delta=0.068, M=-5.449e+001
14 -> ~19 fr=215 (0.3418), cf=0.430, gamma=1.246, delta=0.068, M=-5.449e+001
12 -> ~19 fr=217 (0.3450), cf=0.352, gamma=1.019, delta=0.007, M=-5.133e+000
