1 10 15 19 28 35 -> 42 fr=4360 (0.8851), cf=0.947, gamma=1.055, delta=0.046, M=-5.196e+002
1 15 28 -> 42 fr=4412 (0.8957), cf=0.916, gamma=1.020, delta=0.018, M=-2.045e+002
10 15 35 -> 42 fr=4411 (0.8955), cf=0.916, gamma=1.020, delta=0.018, M=-1.999e+002
15 -> ~43 fr=4622 (0.9383), cf=0.954, gamma=1.015, delta=0.014, M=-1.966e+002
15 31 35 -> 42 fr=4409 (0.8950), cf=0.916, gamma=1.020, delta=0.018, M=-1.957e+002
15 35 -> 42 fr=4411 (0.8955), cf=0.915, gamma=1.020, delta=0.017, M=-1.952e+002
1 10 15 31 -> 42 fr=4411 (0.8955), cf=0.915, gamma=1.020, delta=0.017, M=-1.952e+002
19 28 -> ~43 fr=4502 (0.9139), cf=0.962, gamma=1.023, delta=0.021, M=-1.951e+002
15 28 38 -> 42 fr=4412 (0.8957), cf=0.915, gamma=1.019, delta=0.017, M=-1.950e+002
1 15 31 -> 42 fr=4411 (0.8955), cf=0.915, gamma=1.019, delta=0.017, M=-1.928e+002
15 28 -> 42 fr=4412 (0.8957), cf=0.915, gamma=1.019, delta=0.017, M=-1.926e+002
19 -> ~43 fr=4518 (0.9172), cf=0.961, gamma=1.023, delta=0.020, M=-1.925e+002
10 15 31 -> 42 fr=4411 (0.8955), cf=0.915, gamma=1.019, delta=0.017, M=-1.881e+002
1 10 15 -> 42 fr=4414 (0.8961), cf=0.914, gamma=1.018, delta=0.016, M=-1.877e+002
15 31 -> 42 fr=4411 (0.8955), cf=0.914, gamma=1.019, delta=0.016, M=-1.834e+002
10 15 38 -> 42 fr=4414 (0.8961), cf=0.913, gamma=1.018, delta=0.016, M=-1.783e+002
10 15 -> 42 fr=4414 (0.8961), cf=0.913, gamma=1.017, delta=0.015, M=-1.759e+002
1 15 -> 42 fr=4414 (0.8961), cf=0.913, gamma=1.017, delta=0.015, M=-1.736e+002
1 19 -> ~45 fr=4678 (0.9497), cf=0.997, gamma=1.013, delta=0.012, M=-1.687e+002
15 38 -> 42 fr=4414 (0.8961), cf=0.912, gamma=1.016, delta=0.014, M=-1.595e+002
19 -> ~45 fr=4683 (0.9507), cf=0.996, gamma=1.012, delta=0.012, M=-1.573e+002
1 10 28 35 -> 42 fr=4417 (0.8967), cf=0.905, gamma=1.008, delta=0.007, M=-8.133e+001
1 28 31 35 -> 42 fr=4415 (0.8963), cf=0.905, gamma=1.008, delta=0.008, M=-7.974e+001
1 28 35 -> 42 fr=4417 (0.8967), cf=0.905, gamma=1.008, delta=0.007, M=-7.909e+001
10 28 35 -> 42 fr=4417 (0.8967), cf=0.905, gamma=1.008, delta=0.007, M=-7.686e+001
28 31 35 -> 42 fr=4415 (0.8963), cf=0.905, gamma=1.008, delta=0.007, M=-7.534e+001
28 35 -> 42 fr=4417 (0.8967), cf=0.905, gamma=1.008, delta=0.007, M=-7.463e+001
1 10 28 31 -> 42 fr=4417 (0.8967), cf=0.904, gamma=1.007, delta=0.006, M=-7.018e+001
1 28 31 -> 42 fr=4417 (0.8967), cf=0.904, gamma=1.007, delta=0.006, M=-6.797e+001
10 28 31 -> 42 fr=4417 (0.8967), cf=0.904, gamma=1.007, delta=0.006, M=-6.576e+001
28 31 -> 42 fr=4417 (0.8967), cf=0.904, gamma=1.007, delta=0.006, M=-6.356e+001
1 10 28 -> 42 fr=4420 (0.8973), cf=0.903, gamma=1.006, delta=0.005, M=-6.317e+001
10 28 38 -> 42 fr=4420 (0.8973), cf=0.903, gamma=1.005, delta=0.005, M=-5.638e+001
31 -> ~44 fr=4894 (0.9935), cf=0.997, gamma=1.002, delta=0.002, M=-5.575e+001
10 28 35 -> ~46 fr=4799 (0.9742), cf=0.983, gamma=1.004, delta=0.004, M=-5.518e+001
10 28 -> 42 fr=4420 (0.8973), cf=0.902, gamma=1.005, delta=0.005, M=-5.412e+001
28 31 35 -> ~46 fr=4796 (0.9736), cf=0.983, gamma=1.004, delta=0.004, M=-5.340e+001
1 6 28 -> 42 fr=4335 (0.8800), cf=0.907, gamma=1.011, delta=0.009, M=-5.313e+001
1 10 35 -> 42 fr=4419 (0.8971), cf=0.902, gamma=1.005, delta=0.005, M=-5.195e+001
28 35 -> ~46 fr=4799 (0.9742), cf=0.983, gamma=1.004, delta=0.004, M=-5.186e+001
35 -> ~44 fr=4889 (0.9925), cf=0.997, gamma=1.002, delta=0.002, M=-5.178e+001
1 6 31 35 -> 42 fr=4333 (0.8796), cf=0.907, gamma=1.010, delta=0.009, M=-5.079e+001
1 31 35 -> 42 fr=4417 (0.8967), cf=0.903, gamma=1.005, delta=0.005, M=-5.047e+001
1 6 35 -> 42 fr=4335 (0.8800), cf=0.907, gamma=1.010, delta=0.009, M=-5.015e+001
1 35 -> 42 fr=4419 (0.8971), cf=0.902, gamma=1.005, delta=0.004, M=-4.974e+001
1 28 -> 42 fr=4420 (0.8973), cf=0.902, gamma=1.005, delta=0.004, M=-4.963e+001
6 28 38 -> 42 fr=4335 (0.8800), cf=0.907, gamma=1.010, delta=0.009, M=-4.868e+001
6 28 -> 42 fr=4335 (0.8800), cf=0.907, gamma=1.010, delta=0.009, M=-4.722e+001
6 10 35 -> 42 fr=4335 (0.8800), cf=0.907, gamma=1.010, delta=0.009, M=-4.722e+001
10 35 -> 42 fr=4419 (0.8971), cf=0.902, gamma=1.005, delta=0.004, M=-4.532e+001
6 31 35 -> 42 fr=4333 (0.8796), cf=0.906, gamma=1.010, delta=0.008, M=-4.499e+001
6 35 -> 42 fr=4335 (0.8800), cf=0.906, gamma=1.009, delta=0.008, M=-4.435e+001
1 6 10 31 -> 42 fr=4334 (0.8798), cf=0.906, gamma=1.009, delta=0.008, M=-4.255e+001
31 35 -> 42 fr=4417 (0.8967), cf=0.902, gamma=1.005, delta=0.004, M=-4.189e+001
10 28 -> ~46 fr=4809 (0.9762), cf=0.982, gamma=1.003, delta=0.003, M=-4.169e+001
1 6 31 -> 42 fr=4334 (0.8798), cf=0.906, gamma=1.009, delta=0.008, M=-4.115e+001
1 10 31 -> 42 fr=4419 (0.8971), cf=0.901, gamma=1.004, delta=0.004, M=-4.094e+001
28 38 -> 42 fr=4420 (0.8973), cf=0.901, gamma=1.004, delta=0.004, M=-4.069e+001
28 -> ~46 fr=4814 (0.9773), cf=0.981, gamma=1.003, delta=0.003, M=-3.883e+001
1 31 -> 42 fr=4419 (0.8971), cf=0.901, gamma=1.004, delta=0.004, M=-3.875e+001
6 10 31 -> 42 fr=4334 (0.8798), cf=0.905, gamma=1.009, delta=0.007, M=-3.839e+001
1 6 10 -> 42 fr=4337 (0.8804), cf=0.905, gamma=1.008, delta=0.007, M=-3.674e+001
6 28 -> ~43 fr=4525 (0.9186), cf=0.946, gamma=1.007, delta=0.006, M=-3.620e+001
6 31 -> 42 fr=4334 (0.8798), cf=0.905, gamma=1.008, delta=0.007, M=-3.569e+001
10 31 -> 42 fr=4419 (0.8971), cf=0.901, gamma=1.004, delta=0.003, M=-3.441e+001
1 10 -> 42 fr=4422 (0.8977), cf=0.900, gamma=1.003, delta=0.003, M=-3.438e+001
1 6 -> 42 fr=4337 (0.8804), cf=0.904, gamma=1.008, delta=0.007, M=-3.273e+001
6 -> ~43 fr=4541 (0.9218), cf=0.945, gamma=1.006, delta=0.005, M=-3.226e+001
6 10 38 -> 42 fr=4337 (0.8804), cf=0.904, gamma=1.007, delta=0.006, M=-3.142e+001
6 10 -> 42 fr=4337 (0.8804), cf=0.904, gamma=1.007, delta=0.006, M=-3.013e+001
1 10 -> ~44 fr=4893 (0.9933), cf=0.996, gamma=1.001, delta=0.001, M=-2.916e+001
10 35 -> ~46 fr=4807 (0.9758), cf=0.981, gamma=1.002, delta=0.002, M=-2.738e+001
6 38 -> 42 fr=4337 (0.8804), cf=0.904, gamma=1.007, delta=0.006, M=-2.637e+001
10 38 -> ~44 fr=4896 (0.9939), cf=0.996, gamma=1.001, delta=0.001, M=-2.623e+001
10 38 -> 42 fr=4422 (0.8977), cf=0.900, gamma=1.002, delta=0.002, M=-2.518e+001
1 31 35 -> ~46 fr=4801 (0.9746), cf=0.981, gamma=1.002, delta=0.002, M=-2.467e+001
31 35 -> ~46 fr=4804 (0.9752), cf=0.981, gamma=1.002, delta=0.002, M=-2.294e+001
1 35 -> ~46 fr=4804 (0.9752), cf=0.981, gamma=1.002, delta=0.002, M=-2.294e+001
10 -> ~44 fr=4896 (0.9939), cf=0.996, gamma=1.001, delta=0.001, M=-2.133e+001
35 -> ~46 fr=4807 (0.9758), cf=0.981, gamma=1.002, delta=0.002, M=-2.125e+001
10 -> ~46 fr=4817 (0.9779), cf=0.980, gamma=1.001, delta=0.001, M=-1.394e+001
1 -> ~44 fr=4895 (0.9937), cf=0.996, gamma=1.001, delta=0.001, M=-1.156e+001
1 -> ~45 fr=4841 (0.9827), cf=0.985, gamma=1.001, delta=0.001, M=-8.075e+000
6 38 -> ~44 fr=4780 (0.9704), cf=0.996, gamma=1.001, delta=0.001, M=-7.940e+000
1 -> ~46 fr=4816 (0.9777), cf=0.979, gamma=1.001, delta=0.001, M=-7.264e+000
38 -> ~46 fr=4821 (0.9787), cf=0.979, gamma=1.000, delta=0.000, M=-6.641e+000
6 -> ~44 fr=4782 (0.9708), cf=0.996, gamma=1.001, delta=0.001, M=-5.770e+000
31 -> ~46 fr=4806 (0.9756), cf=0.979, gamma=1.001, delta=0.001, M=-4.972e+000
28 -> ~43 fr=4614 (0.9367), cf=0.941, gamma=1.001, delta=0.001, M=-4.971e+000
38 -> ~44 fr=4899 (0.9945), cf=0.995, gamma=1.000, delta=0.000, M=-4.190e+000
28 -> ~45 fr=4827 (0.9799), cf=0.984, gamma=1.000, delta=0.000, M=-1.243e+000
30 -> ~42 fr=504 (0.1023), cf=0.102, gamma=1.001, delta=0.000, M=-3.239e-001
