1 10 15 19 28 35 -> 42 fr=4358 (0.8842), cf=0.945, gamma=1.053, delta=0.045, M=-4.903e+002
15 19 31 38 -> 42 fr=4363 (0.8852), cf=0.940, gamma=1.047, delta=0.040, M=-4.324e+002
15 19 31 -> 42 fr=4363 (0.8852), cf=0.939, gamma=1.047, delta=0.040, M=-4.298e+002
10 15 19 38 -> 42 fr=4366 (0.8858), cf=0.939, gamma=1.047, delta=0.039, M=-4.266e+002
10 15 19 -> 42 fr=4366 (0.8858), cf=0.939, gamma=1.046, delta=0.039, M=-4.241e+002
1 15 19 -> 42 fr=4366 (0.8858), cf=0.939, gamma=1.046, delta=0.039, M=-4.215e+002
15 19 38 -> 42 fr=4366 (0.8858), cf=0.937, gamma=1.045, delta=0.038, M=-4.062e+002
15 19 -> 42 fr=4366 (0.8858), cf=0.937, gamma=1.044, delta=0.037, M=-3.961e+002
1 10 19 28 35 -> 42 fr=4366 (0.8858), cf=0.935, gamma=1.042, delta=0.036, M=-3.761e+002
1 19 28 35 -> 42 fr=4366 (0.8858), cf=0.935, gamma=1.042, delta=0.036, M=-3.736e+002
10 19 28 35 -> 42 fr=4366 (0.8858), cf=0.935, gamma=1.042, delta=0.035, M=-3.711e+002
19 28 35 -> 42 fr=4366 (0.8858), cf=0.934, gamma=1.041, delta=0.035, M=-3.686e+002
1 10 19 28 31 -> 42 fr=4366 (0.8858), cf=0.934, gamma=1.041, delta=0.035, M=-3.612e+002
1 19 28 31 -> 42 fr=4366 (0.8858), cf=0.934, gamma=1.041, delta=0.035, M=-3.587e+002
10 19 28 31 -> 42 fr=4366 (0.8858), cf=0.933, gamma=1.040, delta=0.034, M=-3.563e+002
19 28 31 -> 42 fr=4366 (0.8858), cf=0.933, gamma=1.040, delta=0.034, M=-3.538e+002
1 10 19 28 -> 42 fr=4369 (0.8864), cf=0.933, gamma=1.040, delta=0.034, M=-3.532e+002
1 10 19 35 -> 42 fr=4371 (0.8868), cf=0.932, gamma=1.039, delta=0.033, M=-3.488e+002
1 19 35 -> 42 fr=4371 (0.8868), cf=0.932, gamma=1.039, delta=0.033, M=-3.464e+002
10 19 28 38 -> 42 fr=4369 (0.8864), cf=0.932, gamma=1.039, delta=0.033, M=-3.459e+002
10 19 28 -> 42 fr=4369 (0.8864), cf=0.932, gamma=1.039, delta=0.033, M=-3.435e+002
10 19 35 -> 42 fr=4371 (0.8868), cf=0.932, gamma=1.038, delta=0.033, M=-3.415e+002
1 19 28 -> 42 fr=4369 (0.8864), cf=0.932, gamma=1.038, delta=0.033, M=-3.386e+002
19 35 -> 42 fr=4371 (0.8868), cf=0.931, gamma=1.038, delta=0.032, M=-3.366e+002
1 10 19 31 -> 42 fr=4371 (0.8868), cf=0.931, gamma=1.038, delta=0.032, M=-3.342e+002
1 19 31 -> 42 fr=4371 (0.8868), cf=0.931, gamma=1.038, delta=0.032, M=-3.317e+002
19 28 38 -> 42 fr=4369 (0.8864), cf=0.931, gamma=1.037, delta=0.032, M=-3.289e+002
10 19 31 -> 42 fr=4371 (0.8868), cf=0.930, gamma=1.037, delta=0.032, M=-3.269e+002
19 28 -> 42 fr=4369 (0.8864), cf=0.931, gamma=1.037, delta=0.032, M=-3.265e+002
1 10 19 -> 42 fr=4374 (0.8874), cf=0.930, gamma=1.037, delta=0.031, M=-3.264e+002
19 31 38 -> 42 fr=4371 (0.8868), cf=0.930, gamma=1.037, delta=0.031, M=-3.221e+002
19 31 -> 42 fr=4371 (0.8868), cf=0.930, gamma=1.036, delta=0.031, M=-3.197e+002
10 19 38 -> 42 fr=4374 (0.8874), cf=0.929, gamma=1.036, delta=0.031, M=-3.168e+002
10 19 -> 42 fr=4374 (0.8874), cf=0.929, gamma=1.036, delta=0.030, M=-3.144e+002
1 19 -> 42 fr=4374 (0.8874), cf=0.929, gamma=1.035, delta=0.030, M=-3.120e+002
15 19 -> ~43 fr=4518 (0.9166), cf=0.969, gamma=1.031, delta=0.028, M=-3.001e+002
19 38 -> 42 fr=4374 (0.8874), cf=0.928, gamma=1.034, delta=0.029, M=-2.977e+002
1 10 15 28 35 -> 42 fr=4406 (0.8939), cf=0.918, gamma=1.023, delta=0.020, M=-2.268e+002
1 15 28 31 35 -> 42 fr=4404 (0.8935), cf=0.918, gamma=1.024, delta=0.021, M=-2.253e+002
1 15 28 35 -> 42 fr=4406 (0.8939), cf=0.918, gamma=1.023, delta=0.020, M=-2.245e+002
10 15 28 35 -> 42 fr=4406 (0.8939), cf=0.918, gamma=1.023, delta=0.020, M=-2.221e+002
15 28 31 35 -> 42 fr=4404 (0.8935), cf=0.918, gamma=1.023, delta=0.020, M=-2.206e+002
15 28 35 -> 42 fr=4406 (0.8939), cf=0.918, gamma=1.023, delta=0.020, M=-2.197e+002
1 10 15 28 31 -> 42 fr=4406 (0.8939), cf=0.917, gamma=1.022, delta=0.020, M=-2.150e+002
6 19 28 -> ~43 fr=4417 (0.8961), cf=0.967, gamma=1.028, delta=0.025, M=-2.131e+002
1 15 28 31 -> 42 fr=4406 (0.8939), cf=0.917, gamma=1.022, delta=0.019, M=-2.127e+002
10 15 28 31 -> 42 fr=4406 (0.8939), cf=0.917, gamma=1.022, delta=0.019, M=-2.103e+002
6 19 -> ~43 fr=4436 (0.9000), cf=0.966, gamma=1.028, delta=0.024, M=-2.099e+002
15 28 31 -> 42 fr=4406 (0.8939), cf=0.917, gamma=1.022, delta=0.019, M=-2.080e+002
1 10 15 28 -> 42 fr=4409 (0.8945), cf=0.916, gamma=1.021, delta=0.018, M=-2.069e+002
1 10 15 35 -> 42 fr=4411 (0.8949), cf=0.916, gamma=1.020, delta=0.018, M=-2.041e+002
1 15 31 35 -> 42 fr=4409 (0.8945), cf=0.916, gamma=1.021, delta=0.018, M=-2.022e+002
1 15 35 -> 42 fr=4411 (0.8949), cf=0.915, gamma=1.020, delta=0.018, M=-2.017e+002
10 15 28 38 -> 42 fr=4409 (0.8945), cf=0.915, gamma=1.020, delta=0.018, M=-1.975e+002
10 15 35 -> 42 fr=4411 (0.8949), cf=0.915, gamma=1.020, delta=0.017, M=-1.970e+002
10 15 28 -> 42 fr=4409 (0.8945), cf=0.915, gamma=1.020, delta=0.018, M=-1.952e+002
15 31 35 -> 42 fr=4409 (0.8945), cf=0.915, gamma=1.020, delta=0.017, M=-1.928e+002
1 15 28 -> 42 fr=4409 (0.8945), cf=0.915, gamma=1.020, delta=0.017, M=-1.928e+002
15 35 -> 42 fr=4411 (0.8949), cf=0.915, gamma=1.019, delta=0.017, M=-1.923e+002
1 10 15 31 -> 42 fr=4411 (0.8949), cf=0.915, gamma=1.019, delta=0.017, M=-1.923e+002
1 15 31 -> 42 fr=4411 (0.8949), cf=0.914, gamma=1.019, delta=0.017, M=-1.899e+002
15 -> ~43 fr=4624 (0.9381), cf=0.954, gamma=1.015, delta=0.014, M=-1.874e+002
10 15 31 -> 42 fr=4411 (0.8949), cf=0.914, gamma=1.019, delta=0.017, M=-1.852e+002
1 10 15 -> 42 fr=4414 (0.8955), cf=0.913, gamma=1.018, delta=0.016, M=-1.849e+002
15 28 38 -> 42 fr=4409 (0.8945), cf=0.914, gamma=1.019, delta=0.016, M=-1.812e+002
15 31 38 -> 42 fr=4411 (0.8949), cf=0.914, gamma=1.018, delta=0.016, M=-1.806e+002
15 28 -> 42 fr=4409 (0.8945), cf=0.914, gamma=1.019, delta=0.016, M=-1.789e+002
15 31 -> 42 fr=4411 (0.8949), cf=0.913, gamma=1.018, delta=0.016, M=-1.782e+002
19 28 -> ~43 fr=4507 (0.9144), cf=0.960, gamma=1.022, delta=0.019, M=-1.741e+002
19 -> ~43 fr=4526 (0.9182), cf=0.959, gamma=1.021, delta=0.019, M=-1.733e+002
10 15 38 -> 42 fr=4414 (0.8955), cf=0.913, gamma=1.017, delta=0.015, M=-1.731e+002
10 15 -> 42 fr=4414 (0.8955), cf=0.912, gamma=1.017, delta=0.015, M=-1.707e+002
1 15 -> 42 fr=4414 (0.8955), cf=0.912, gamma=1.017, delta=0.015, M=-1.707e+002
15 38 -> 42 fr=4414 (0.8955), cf=0.911, gamma=1.015, delta=0.014, M=-1.544e+002
1 19 -> ~45 fr=4688 (0.9511), cf=0.996, gamma=1.012, delta=0.011, M=-1.486e+002
19 -> ~45 fr=4695 (0.9525), cf=0.995, gamma=1.011, delta=0.011, M=-1.387e+002
1 6 10 28 35 -> 42 fr=4329 (0.8783), cf=0.910, gamma=1.014, delta=0.012, M=-7.817e+001
1 10 28 35 -> 42 fr=4414 (0.8955), cf=0.905, gamma=1.008, delta=0.007, M=-7.777e+001
1 6 28 31 35 -> 42 fr=4327 (0.8779), cf=0.910, gamma=1.014, delta=0.012, M=-7.714e+001
1 28 31 35 -> 42 fr=4412 (0.8951), cf=0.905, gamma=1.009, delta=0.008, M=-7.673e+001
1 6 28 35 -> 42 fr=4329 (0.8783), cf=0.910, gamma=1.014, delta=0.012, M=-7.654e+001
1 28 35 -> 42 fr=4414 (0.8955), cf=0.905, gamma=1.008, delta=0.007, M=-7.560e+001
6 10 28 35 -> 42 fr=4329 (0.8783), cf=0.910, gamma=1.014, delta=0.012, M=-7.492e+001
6 28 31 35 -> 42 fr=4327 (0.8779), cf=0.910, gamma=1.014, delta=0.012, M=-7.391e+001
10 28 35 -> 42 fr=4414 (0.8955), cf=0.904, gamma=1.008, delta=0.007, M=-7.343e+001
6 28 35 -> 42 fr=4329 (0.8783), cf=0.909, gamma=1.014, delta=0.012, M=-7.331e+001
28 31 35 -> 42 fr=4412 (0.8951), cf=0.904, gamma=1.008, delta=0.007, M=-7.245e+001
28 35 -> 42 fr=4414 (0.8955), cf=0.904, gamma=1.008, delta=0.007, M=-7.127e+001
1 6 10 28 31 -> 42 fr=4328 (0.8781), cf=0.909, gamma=1.013, delta=0.011, M=-6.804e+001
1 10 28 31 -> 42 fr=4414 (0.8955), cf=0.904, gamma=1.007, delta=0.007, M=-6.696e+001
1 6 28 31 -> 42 fr=4328 (0.8781), cf=0.909, gamma=1.013, delta=0.011, M=-6.648e+001
6 10 28 31 -> 42 fr=4328 (0.8781), cf=0.908, gamma=1.013, delta=0.011, M=-6.492e+001
1 28 31 -> 42 fr=4414 (0.8955), cf=0.904, gamma=1.007, delta=0.006, M=-6.482e+001
6 28 31 -> 42 fr=4328 (0.8781), cf=0.908, gamma=1.012, delta=0.011, M=-6.337e+001
10 28 31 -> 42 fr=4414 (0.8955), cf=0.903, gamma=1.007, delta=0.006, M=-6.268e+001
1 6 10 28 -> 42 fr=4331 (0.8787), cf=0.908, gamma=1.012, delta=0.010, M=-6.167e+001
28 31 -> 42 fr=4414 (0.8955), cf=0.903, gamma=1.007, delta=0.006, M=-6.055e+001
1 10 28 -> 42 fr=4417 (0.8961), cf=0.903, gamma=1.006, delta=0.006, M=-5.900e+001
1 6 10 35 -> 42 fr=4334 (0.8793), cf=0.907, gamma=1.011, delta=0.010, M=-5.843e+001
1 6 31 35 -> 42 fr=4332 (0.8789), cf=0.907, gamma=1.011, delta=0.010, M=-5.753e+001
1 6 28 -> 42 fr=4331 (0.8787), cf=0.907, gamma=1.011, delta=0.010, M=-5.709e+001
1 6 35 -> 42 fr=4334 (0.8793), cf=0.907, gamma=1.011, delta=0.010, M=-5.691e+001
10 28 35 -> ~46 fr=4799 (0.9736), cf=0.983, gamma=1.004, delta=0.004, M=-5.671e+001
1 10 35 -> 42 fr=4419 (0.8965), cf=0.902, gamma=1.006, delta=0.005, M=-5.625e+001
6 10 28 38 -> 42 fr=4331 (0.8787), cf=0.907, gamma=1.011, delta=0.010, M=-5.558e+001
28 31 35 -> ~46 fr=4796 (0.9730), cf=0.983, gamma=1.004, delta=0.004, M=-5.502e+001
1 31 35 -> 42 fr=4417 (0.8961), cf=0.902, gamma=1.006, delta=0.005, M=-5.465e+001
31 -> ~44 fr=4895 (0.9931), cf=0.997, gamma=1.002, delta=0.002, M=-5.423e+001
6 10 28 -> 42 fr=4331 (0.8787), cf=0.907, gamma=1.011, delta=0.010, M=-5.409e+001
1 35 -> 42 fr=4419 (0.8965), cf=0.902, gamma=1.005, delta=0.005, M=-5.403e+001
6 10 35 -> 42 fr=4334 (0.8793), cf=0.907, gamma=1.011, delta=0.009, M=-5.389e+001
28 35 -> ~46 fr=4799 (0.9736), cf=0.983, gamma=1.004, delta=0.004, M=-5.342e+001
6 31 35 -> 42 fr=4332 (0.8789), cf=0.907, gamma=1.011, delta=0.009, M=-5.155e+001
6 28 38 -> 42 fr=4331 (0.8787), cf=0.907, gamma=1.011, delta=0.009, M=-5.114e+001
6 35 -> 42 fr=4334 (0.8793), cf=0.907, gamma=1.010, delta=0.009, M=-5.092e+001
10 28 38 -> 42 fr=4417 (0.8961), cf=0.902, gamma=1.005, delta=0.005, M=-5.032e+001
35 -> ~44 fr=4889 (0.9919), cf=0.997, gamma=1.002, delta=0.002, M=-4.990e+001
6 28 -> 42 fr=4331 (0.8787), cf=0.906, gamma=1.010, delta=0.009, M=-4.968e+001
10 35 -> 42 fr=4419 (0.8965), cf=0.902, gamma=1.005, delta=0.004, M=-4.960e+001
1 6 10 31 -> 42 fr=4333 (0.8791), cf=0.906, gamma=1.010, delta=0.009, M=-4.904e+001
10 28 -> 42 fr=4417 (0.8961), cf=0.902, gamma=1.005, delta=0.005, M=-4.817e+001
1 6 31 -> 42 fr=4333 (0.8791), cf=0.906, gamma=1.010, delta=0.009, M=-4.759e+001
31 35 -> 42 fr=4417 (0.8961), cf=0.902, gamma=1.005, delta=0.004, M=-4.603e+001
1 28 -> 42 fr=4417 (0.8961), cf=0.902, gamma=1.005, delta=0.004, M=-4.603e+001
1 10 31 -> 42 fr=4419 (0.8965), cf=0.901, gamma=1.005, delta=0.004, M=-4.520e+001
6 10 31 -> 42 fr=4333 (0.8791), cf=0.906, gamma=1.010, delta=0.008, M=-4.473e+001
1 6 10 -> 42 fr=4336 (0.8797), cf=0.905, gamma=1.009, delta=0.008, M=-4.306e+001
1 31 -> 42 fr=4419 (0.8965), cf=0.901, gamma=1.004, delta=0.004, M=-4.301e+001
6 31 38 -> 42 fr=4333 (0.8791), cf=0.905, gamma=1.009, delta=0.008, M=-4.192e+001
1 10 28 -> ~46 fr=4805 (0.9748), cf=0.982, gamma=1.003, delta=0.003, M=-4.056e+001
6 31 -> 42 fr=4333 (0.8791), cf=0.905, gamma=1.009, delta=0.008, M=-4.053e+001
6 28 -> ~43 fr=4523 (0.9176), cf=0.947, gamma=1.007, delta=0.007, M=-3.997e+001
10 28 -> ~46 fr=4809 (0.9757), cf=0.982, gamma=1.003, delta=0.003, M=-3.967e+001
1 10 -> 42 fr=4422 (0.8971), cf=0.900, gamma=1.003, delta=0.003, M=-3.891e+001
1 6 -> 42 fr=4336 (0.8797), cf=0.905, gamma=1.009, delta=0.007, M=-3.888e+001
10 31 -> 42 fr=4419 (0.8965), cf=0.901, gamma=1.004, delta=0.004, M=-3.865e+001
6 -> ~43 fr=4542 (0.9215), cf=0.946, gamma=1.007, delta=0.006, M=-3.689e+001
1 28 -> ~46 fr=4809 (0.9757), cf=0.982, gamma=1.003, delta=0.003, M=-3.640e+001
28 -> ~46 fr=4814 (0.9767), cf=0.981, gamma=1.003, delta=0.003, M=-3.639e+001
6 10 38 -> 42 fr=4336 (0.8797), cf=0.904, gamma=1.008, delta=0.007, M=-3.616e+001
28 38 -> 42 fr=4417 (0.8961), cf=0.901, gamma=1.004, delta=0.004, M=-3.544e+001
6 10 -> 42 fr=4336 (0.8797), cf=0.904, gamma=1.008, delta=0.007, M=-3.482e+001
31 38 -> 42 fr=4419 (0.8965), cf=0.900, gamma=1.004, delta=0.003, M=-3.432e+001
10 35 -> ~46 fr=4810 (0.9759), cf=0.981, gamma=1.003, delta=0.003, M=-3.375e+001
6 38 -> 42 fr=4336 (0.8797), cf=0.904, gamma=1.007, delta=0.006, M=-3.090e+001
1 31 35 -> ~46 fr=4804 (0.9746), cf=0.981, gamma=1.003, delta=0.002, M=-3.064e+001
31 35 -> ~46 fr=4807 (0.9752), cf=0.981, gamma=1.002, delta=0.002, M=-2.899e+001
1 35 -> ~46 fr=4807 (0.9752), cf=0.981, gamma=1.002, delta=0.002, M=-2.899e+001
1 10 -> ~44 fr=4893 (0.9927), cf=0.996, gamma=1.001, delta=0.001, M=-2.775e+001
10 38 -> 42 fr=4422 (0.8971), cf=0.899, gamma=1.002, delta=0.002, M=-2.741e+001
35 -> ~46 fr=4810 (0.9759), cf=0.981, gamma=1.002, delta=0.002, M=-2.738e+001
10 38 -> ~44 fr=4897 (0.9935), cf=0.996, gamma=1.001, delta=0.001, M=-2.528e+001
10 -> ~44 fr=4897 (0.9935), cf=0.996, gamma=1.001, delta=0.001, M=-2.052e+001
1 10 -> ~46 fr=4815 (0.9769), cf=0.980, gamma=1.001, delta=0.001, M=-1.751e+001
10 -> ~46 fr=4820 (0.9779), cf=0.980, gamma=1.001, delta=0.001, M=-1.725e+001
1 -> ~46 fr=4819 (0.9777), cf=0.980, gamma=1.001, delta=0.001, M=-1.335e+001
1 -> ~44 fr=4895 (0.9931), cf=0.995, gamma=1.001, delta=0.001, M=-1.078e+001
38 -> ~46 fr=4824 (0.9787), cf=0.979, gamma=1.001, delta=0.001, M=-1.023e+001
6 38 -> ~44 fr=4777 (0.9692), cf=0.996, gamma=1.001, delta=0.001, M=-7.570e+000
1 -> ~45 fr=4841 (0.9821), cf=0.984, gamma=1.001, delta=0.001, M=-7.388e+000
31 -> ~46 fr=4809 (0.9757), cf=0.980, gamma=1.001, delta=0.001, M=-7.266e+000
6 -> ~44 fr=4780 (0.9698), cf=0.995, gamma=1.001, delta=0.001, M=-5.509e+000
28 -> ~43 fr=4613 (0.9359), cf=0.940, gamma=1.001, delta=0.001, M=-4.371e+000
38 -> ~44 fr=4900 (0.9941), cf=0.995, gamma=1.000, delta=0.000, M=-3.866e+000
