1 10 15 19 28 35 -> 42 fr=4352 (0.8835), cf=0.944, gamma=1.052, delta=0.044, M=-4.699e+002
1 6 19 28 -> 42 fr=4283 (0.8695), cf=0.938, gamma=1.045, delta=0.038, M=-3.302e+002
1 19 28 -> 42 fr=4365 (0.8861), cf=0.932, gamma=1.038, delta=0.032, M=-3.294e+002
10 19 28 -> 42 fr=4365 (0.8861), cf=0.932, gamma=1.038, delta=0.032, M=-3.294e+002
19 35 -> 42 fr=4368 (0.8867), cf=0.931, gamma=1.037, delta=0.032, M=-3.263e+002
1 19 31 -> 42 fr=4368 (0.8867), cf=0.931, gamma=1.037, delta=0.032, M=-3.239e+002
6 19 28 38 -> 42 fr=4283 (0.8695), cf=0.938, gamma=1.044, delta=0.037, M=-3.234e+002
6 19 28 -> 42 fr=4283 (0.8695), cf=0.937, gamma=1.044, delta=0.037, M=-3.211e+002
19 28 38 -> 42 fr=4365 (0.8861), cf=0.931, gamma=1.037, delta=0.032, M=-3.198e+002
19 28 -> 42 fr=4365 (0.8861), cf=0.931, gamma=1.037, delta=0.031, M=-3.174e+002
10 19 31 -> 42 fr=4368 (0.8867), cf=0.930, gamma=1.036, delta=0.031, M=-3.166e+002
1 10 19 -> 42 fr=4370 (0.8871), cf=0.930, gamma=1.036, delta=0.031, M=-3.146e+002
19 31 38 -> 42 fr=4368 (0.8867), cf=0.930, gamma=1.036, delta=0.031, M=-3.142e+002
19 31 -> 42 fr=4368 (0.8867), cf=0.930, gamma=1.036, delta=0.031, M=-3.119e+002
1 6 19 -> 42 fr=4288 (0.8705), cf=0.936, gamma=1.042, delta=0.035, M=-3.051e+002
1 19 -> 42 fr=4370 (0.8871), cf=0.929, gamma=1.035, delta=0.030, M=-3.051e+002
10 19 38 -> 42 fr=4370 (0.8871), cf=0.929, gamma=1.035, delta=0.030, M=-3.051e+002
10 19 -> 42 fr=4370 (0.8871), cf=0.929, gamma=1.035, delta=0.030, M=-3.027e+002
6 19 38 -> 42 fr=4288 (0.8705), cf=0.935, gamma=1.041, delta=0.034, M=-2.939e+002
19 38 -> 42 fr=4370 (0.8871), cf=0.928, gamma=1.034, delta=0.029, M=-2.908e+002
15 19 -> ~43 fr=4509 (0.9153), cf=0.969, gamma=1.031, delta=0.027, M=-2.893e+002
6 19 -> 42 fr=4288 (0.8705), cf=0.934, gamma=1.040, delta=0.034, M=-2.851e+002
1 10 15 28 35 -> 42 fr=4404 (0.8940), cf=0.918, gamma=1.023, delta=0.020, M=-2.189e+002
1 15 28 31 35 -> 42 fr=4402 (0.8936), cf=0.918, gamma=1.023, delta=0.020, M=-2.176e+002
1 15 28 35 -> 42 fr=4404 (0.8940), cf=0.918, gamma=1.023, delta=0.020, M=-2.166e+002
10 15 28 35 -> 42 fr=4404 (0.8940), cf=0.918, gamma=1.022, delta=0.020, M=-2.142e+002
15 28 31 35 -> 42 fr=4402 (0.8936), cf=0.918, gamma=1.023, delta=0.020, M=-2.130e+002
15 28 35 -> 42 fr=4404 (0.8940), cf=0.918, gamma=1.022, delta=0.019, M=-2.119e+002
6 19 -> ~43 fr=4435 (0.9003), cf=0.966, gamma=1.028, delta=0.024, M=-2.109e+002
1 15 28 31 -> 42 fr=4404 (0.8940), cf=0.917, gamma=1.022, delta=0.019, M=-2.072e+002
15 28 31 -> 42 fr=4404 (0.8940), cf=0.917, gamma=1.021, delta=0.019, M=-2.025e+002
1 10 15 35 -> 42 fr=4409 (0.8950), cf=0.916, gamma=1.020, delta=0.018, M=-1.981e+002
1 10 15 28 -> 42 fr=4406 (0.8944), cf=0.916, gamma=1.021, delta=0.018, M=-1.969e+002
1 15 31 35 -> 42 fr=4407 (0.8946), cf=0.916, gamma=1.020, delta=0.018, M=-1.965e+002
1 15 35 -> 42 fr=4409 (0.8950), cf=0.916, gamma=1.020, delta=0.018, M=-1.957e+002
10 15 35 -> 42 fr=4409 (0.8950), cf=0.915, gamma=1.020, delta=0.017, M=-1.910e+002
10 15 28 38 -> 42 fr=4406 (0.8944), cf=0.916, gamma=1.020, delta=0.018, M=-1.899e+002
1 15 28 -> 42 fr=4406 (0.8944), cf=0.915, gamma=1.020, delta=0.017, M=-1.876e+002
10 15 28 -> 42 fr=4406 (0.8944), cf=0.915, gamma=1.020, delta=0.017, M=-1.876e+002
15 -> ~43 fr=4619 (0.9377), cf=0.954, gamma=1.015, delta=0.014, M=-1.873e+002
15 31 35 -> 42 fr=4407 (0.8946), cf=0.915, gamma=1.020, delta=0.017, M=-1.872e+002
15 35 -> 42 fr=4409 (0.8950), cf=0.915, gamma=1.019, delta=0.017, M=-1.864e+002
1 15 31 -> 42 fr=4409 (0.8950), cf=0.915, gamma=1.019, delta=0.017, M=-1.864e+002
10 15 31 -> 42 fr=4409 (0.8950), cf=0.914, gamma=1.019, delta=0.016, M=-1.794e+002
15 28 38 -> 42 fr=4406 (0.8944), cf=0.915, gamma=1.019, delta=0.017, M=-1.784e+002
15 31 38 -> 42 fr=4409 (0.8950), cf=0.914, gamma=1.018, delta=0.016, M=-1.771e+002
1 10 15 -> 42 fr=4411 (0.8955), cf=0.914, gamma=1.018, delta=0.016, M=-1.764e+002
15 28 -> 42 fr=4406 (0.8944), cf=0.914, gamma=1.019, delta=0.016, M=-1.761e+002
15 31 -> 42 fr=4409 (0.8950), cf=0.914, gamma=1.018, delta=0.016, M=-1.747e+002
19 -> ~43 fr=4520 (0.9176), cf=0.959, gamma=1.020, delta=0.018, M=-1.687e+002
1 15 -> 42 fr=4411 (0.8955), cf=0.913, gamma=1.017, delta=0.015, M=-1.671e+002
10 15 38 -> 42 fr=4411 (0.8955), cf=0.913, gamma=1.017, delta=0.015, M=-1.671e+002
10 15 -> 42 fr=4411 (0.8955), cf=0.913, gamma=1.017, delta=0.015, M=-1.648e+002
1 19 -> ~45 fr=4685 (0.9511), cf=0.996, gamma=1.012, delta=0.012, M=-1.579e+002
15 38 -> 42 fr=4411 (0.8955), cf=0.912, gamma=1.016, delta=0.014, M=-1.533e+002
19 -> ~45 fr=4692 (0.9525), cf=0.996, gamma=1.012, delta=0.011, M=-1.476e+002
1 6 10 28 35 -> 42 fr=4334 (0.8798), cf=0.910, gamma=1.014, delta=0.012, M=-7.626e+001
1 6 28 31 35 -> 42 fr=4332 (0.8794), cf=0.910, gamma=1.014, delta=0.012, M=-7.522e+001
1 6 28 35 -> 42 fr=4334 (0.8798), cf=0.910, gamma=1.014, delta=0.012, M=-7.462e+001
6 10 28 35 -> 42 fr=4334 (0.8798), cf=0.910, gamma=1.013, delta=0.012, M=-7.299e+001
6 28 31 35 -> 42 fr=4332 (0.8794), cf=0.910, gamma=1.013, delta=0.012, M=-7.197e+001
6 28 35 -> 42 fr=4334 (0.8798), cf=0.910, gamma=1.013, delta=0.011, M=-7.137e+001
1 10 28 35 -> 42 fr=4415 (0.8963), cf=0.905, gamma=1.008, delta=0.007, M=-7.097e+001
1 28 31 35 -> 42 fr=4413 (0.8959), cf=0.905, gamma=1.008, delta=0.007, M=-6.990e+001
1 28 35 -> 42 fr=4415 (0.8963), cf=0.904, gamma=1.007, delta=0.007, M=-6.879e+001
10 28 35 -> 42 fr=4415 (0.8963), cf=0.904, gamma=1.007, delta=0.006, M=-6.662e+001
1 6 28 31 -> 42 fr=4333 (0.8796), cf=0.909, gamma=1.013, delta=0.011, M=-6.608e+001
28 31 35 -> 42 fr=4413 (0.8959), cf=0.904, gamma=1.007, delta=0.007, M=-6.563e+001
28 35 -> 42 fr=4415 (0.8963), cf=0.904, gamma=1.007, delta=0.006, M=-6.445e+001
6 28 31 -> 42 fr=4333 (0.8796), cf=0.909, gamma=1.012, delta=0.011, M=-6.293e+001
1 28 31 -> 42 fr=4415 (0.8963), cf=0.904, gamma=1.007, delta=0.006, M=-6.014e+001
10 28 35 -> ~46 fr=4801 (0.9746), cf=0.983, gamma=1.004, delta=0.004, M=-5.988e+001
1 6 10 28 -> 42 fr=4335 (0.8800), cf=0.908, gamma=1.012, delta=0.010, M=-5.921e+001
1 6 10 35 -> 42 fr=4339 (0.8808), cf=0.908, gamma=1.011, delta=0.010, M=-5.797e+001
28 31 35 -> ~46 fr=4798 (0.9740), cf=0.983, gamma=1.004, delta=0.004, M=-5.791e+001
1 6 31 35 -> 42 fr=4337 (0.8804), cf=0.908, gamma=1.011, delta=0.010, M=-5.705e+001
28 35 -> ~46 fr=4801 (0.9746), cf=0.983, gamma=1.004, delta=0.004, M=-5.647e+001
1 6 35 -> 42 fr=4339 (0.8808), cf=0.908, gamma=1.011, delta=0.010, M=-5.643e+001
1 6 28 -> 42 fr=4335 (0.8800), cf=0.908, gamma=1.011, delta=0.010, M=-5.615e+001
28 31 -> 42 fr=4415 (0.8963), cf=0.903, gamma=1.006, delta=0.006, M=-5.586e+001
6 10 28 38 -> 42 fr=4335 (0.8800), cf=0.907, gamma=1.011, delta=0.009, M=-5.463e+001
6 10 35 -> 42 fr=4339 (0.8808), cf=0.907, gamma=1.011, delta=0.009, M=-5.338e+001
6 10 28 -> 42 fr=4335 (0.8800), cf=0.907, gamma=1.011, delta=0.009, M=-5.313e+001
1 10 35 -> 42 fr=4420 (0.8973), cf=0.902, gamma=1.005, delta=0.005, M=-5.187e+001
6 28 38 -> 42 fr=4335 (0.8800), cf=0.907, gamma=1.010, delta=0.009, M=-5.163e+001
6 31 35 -> 42 fr=4337 (0.8804), cf=0.907, gamma=1.010, delta=0.009, M=-5.100e+001
1 10 28 -> 42 fr=4417 (0.8967), cf=0.903, gamma=1.005, delta=0.005, M=-5.047e+001
6 35 -> 42 fr=4339 (0.8808), cf=0.907, gamma=1.010, delta=0.009, M=-5.037e+001
6 28 -> 42 fr=4335 (0.8800), cf=0.907, gamma=1.010, delta=0.009, M=-5.015e+001
1 31 35 -> 42 fr=4418 (0.8969), cf=0.902, gamma=1.005, delta=0.005, M=-5.004e+001
1 35 -> 42 fr=4420 (0.8973), cf=0.902, gamma=1.005, delta=0.004, M=-4.963e+001
1 6 31 -> 42 fr=4338 (0.8806), cf=0.907, gamma=1.010, delta=0.009, M=-4.846e+001
10 35 -> 42 fr=4420 (0.8973), cf=0.902, gamma=1.004, delta=0.004, M=-4.515e+001
31 -> ~44 fr=4894 (0.9935), cf=0.997, gamma=1.002, delta=0.002, M=-4.505e+001
6 10 31 -> 42 fr=4338 (0.8806), cf=0.906, gamma=1.009, delta=0.008, M=-4.410e+001
10 28 38 -> 42 fr=4417 (0.8967), cf=0.902, gamma=1.005, delta=0.004, M=-4.402e+001
1 10 28 -> ~46 fr=4806 (0.9756), cf=0.982, gamma=1.003, delta=0.003, M=-4.298e+001
6 31 38 -> 42 fr=4338 (0.8806), cf=0.906, gamma=1.009, delta=0.008, M=-4.267e+001
1 6 10 -> 42 fr=4340 (0.8810), cf=0.906, gamma=1.009, delta=0.008, M=-4.203e+001
1 28 -> 42 fr=4417 (0.8967), cf=0.902, gamma=1.005, delta=0.004, M=-4.189e+001
10 28 -> 42 fr=4417 (0.8967), cf=0.902, gamma=1.005, delta=0.004, M=-4.189e+001
1 28 -> ~46 fr=4809 (0.9762), cf=0.982, gamma=1.003, delta=0.003, M=-4.169e+001
10 28 -> ~46 fr=4809 (0.9762), cf=0.982, gamma=1.003, delta=0.003, M=-4.169e+001
35 -> ~44 fr=4889 (0.9925), cf=0.997, gamma=1.002, delta=0.002, M=-4.156e+001
28 -> ~46 fr=4813 (0.9771), cf=0.982, gamma=1.003, delta=0.003, M=-4.145e+001
31 35 -> 42 fr=4418 (0.8969), cf=0.902, gamma=1.004, delta=0.004, M=-4.135e+001
6 31 -> 42 fr=4338 (0.8806), cf=0.906, gamma=1.009, delta=0.008, M=-4.126e+001
1 31 -> 42 fr=4420 (0.8973), cf=0.901, gamma=1.004, delta=0.004, M=-4.069e+001
6 -> ~43 fr=4545 (0.9227), cf=0.946, gamma=1.007, delta=0.006, M=-4.022e+001
1 6 -> 42 fr=4340 (0.8810), cf=0.905, gamma=1.008, delta=0.007, M=-3.921e+001
6 10 38 -> 42 fr=4340 (0.8810), cf=0.905, gamma=1.008, delta=0.007, M=-3.645e+001
6 10 -> 42 fr=4340 (0.8810), cf=0.905, gamma=1.008, delta=0.007, M=-3.509e+001
10 31 -> 42 fr=4420 (0.8973), cf=0.901, gamma=1.003, delta=0.003, M=-3.406e+001
28 38 -> 42 fr=4417 (0.8967), cf=0.901, gamma=1.004, delta=0.003, M=-3.346e+001
6 38 -> 42 fr=4340 (0.8810), cf=0.904, gamma=1.007, delta=0.006, M=-3.242e+001
10 35 -> ~46 fr=4810 (0.9765), cf=0.981, gamma=1.002, delta=0.002, M=-3.234e+001
1 10 -> 42 fr=4422 (0.8977), cf=0.900, gamma=1.003, delta=0.003, M=-3.208e+001
31 38 -> 42 fr=4420 (0.8973), cf=0.901, gamma=1.003, delta=0.003, M=-3.186e+001
1 31 35 -> ~46 fr=4804 (0.9752), cf=0.981, gamma=1.002, delta=0.002, M=-2.898e+001
31 35 -> ~46 fr=4807 (0.9758), cf=0.981, gamma=1.002, delta=0.002, M=-2.738e+001
1 35 -> ~46 fr=4807 (0.9758), cf=0.981, gamma=1.002, delta=0.002, M=-2.738e+001
35 -> ~46 fr=4810 (0.9765), cf=0.981, gamma=1.002, delta=0.002, M=-2.585e+001
10 38 -> 42 fr=4422 (0.8977), cf=0.900, gamma=1.002, delta=0.002, M=-2.288e+001
10 38 -> ~44 fr=4896 (0.9939), cf=0.996, gamma=1.001, delta=0.001, M=-2.133e+001
1 10 -> ~44 fr=4892 (0.9931), cf=0.996, gamma=1.001, delta=0.001, M=-1.927e+001
10 -> ~44 fr=4896 (0.9939), cf=0.996, gamma=1.001, delta=0.001, M=-1.657e+001
1 10 -> ~46 fr=4814 (0.9773), cf=0.980, gamma=1.001, delta=0.001, M=-1.542e+001
10 -> ~46 fr=4818 (0.9781), cf=0.980, gamma=1.001, delta=0.001, M=-1.462e+001
1 -> ~46 fr=4817 (0.9779), cf=0.980, gamma=1.001, delta=0.001, M=-1.394e+001
31 38 -> ~46 fr=4809 (0.9762), cf=0.980, gamma=1.001, delta=0.001, M=-1.055e+001
38 -> ~46 fr=4821 (0.9787), cf=0.979, gamma=1.001, delta=0.001, M=-1.023e+001
31 -> ~46 fr=4809 (0.9762), cf=0.980, gamma=1.001, delta=0.001, M=-7.926e+000
1 -> ~45 fr=4840 (0.9825), cf=0.985, gamma=1.001, delta=0.001, M=-7.730e+000
1 -> ~44 fr=4893 (0.9933), cf=0.995, gamma=1.000, delta=0.000, M=-6.826e+000
6 38 -> ~44 fr=4778 (0.9700), cf=0.996, gamma=1.001, delta=0.001, M=-5.654e+000
38 -> ~44 fr=4898 (0.9943), cf=0.995, gamma=1.000, delta=0.000, M=-3.904e+000
6 -> ~44 fr=4781 (0.9706), cf=0.995, gamma=1.000, delta=0.000, M=-3.755e+000
