1 10 15 19 28 35 -> 42 fr=4354 (0.8839), cf=0.945, gamma=1.052, delta=0.044, M=-4.781e+002
1 15 31 -> 42 fr=4409 (0.8950), cf=0.915, gamma=1.019, delta=0.017, M=-1.864e+002
15 28 38 -> 42 fr=4407 (0.8946), cf=0.915, gamma=1.019, delta=0.017, M=-1.825e+002
10 15 31 -> 42 fr=4409 (0.8950), cf=0.915, gamma=1.019, delta=0.016, M=-1.817e+002
15 28 -> 42 fr=4407 (0.8946), cf=0.915, gamma=1.019, delta=0.017, M=-1.802e+002
19 28 -> ~43 fr=4502 (0.9139), cf=0.961, gamma=1.022, delta=0.020, M=-1.801e+002
19 -> ~43 fr=4520 (0.9176), cf=0.960, gamma=1.021, delta=0.019, M=-1.786e+002
15 31 38 -> 42 fr=4409 (0.8950), cf=0.914, gamma=1.018, delta=0.016, M=-1.771e+002
10 15 38 -> 42 fr=4412 (0.8957), cf=0.914, gamma=1.018, delta=0.016, M=-1.762e+002
15 31 -> 42 fr=4409 (0.8950), cf=0.914, gamma=1.018, delta=0.016, M=-1.747e+002
10 15 -> 42 fr=4412 (0.8957), cf=0.913, gamma=1.018, delta=0.015, M=-1.738e+002
1 15 -> 42 fr=4412 (0.8957), cf=0.913, gamma=1.018, delta=0.015, M=-1.738e+002
15 38 -> 42 fr=4412 (0.8957), cf=0.912, gamma=1.016, delta=0.014, M=-1.576e+002
1 19 -> ~45 fr=4681 (0.9503), cf=0.996, gamma=1.012, delta=0.012, M=-1.567e+002
19 -> ~45 fr=4688 (0.9517), cf=0.996, gamma=1.012, delta=0.011, M=-1.464e+002
1 6 10 28 35 -> 42 fr=4331 (0.8792), cf=0.910, gamma=1.013, delta=0.012, M=-7.147e+001
1 6 28 31 35 -> 42 fr=4329 (0.8788), cf=0.910, gamma=1.013, delta=0.012, M=-7.048e+001
1 6 28 35 -> 42 fr=4331 (0.8792), cf=0.909, gamma=1.013, delta=0.011, M=-6.987e+001
1 10 28 35 -> 42 fr=4414 (0.8961), cf=0.905, gamma=1.008, delta=0.007, M=-6.932e+001
6 10 28 35 -> 42 fr=4331 (0.8792), cf=0.909, gamma=1.013, delta=0.011, M=-6.828e+001
6 28 31 35 -> 42 fr=4329 (0.8788), cf=0.909, gamma=1.013, delta=0.011, M=-6.731e+001
1 28 35 -> 42 fr=4414 (0.8961), cf=0.904, gamma=1.007, delta=0.007, M=-6.716e+001
6 28 35 -> 42 fr=4331 (0.8792), cf=0.909, gamma=1.013, delta=0.011, M=-6.669e+001
10 28 35 -> 42 fr=4414 (0.8961), cf=0.904, gamma=1.007, delta=0.006, M=-6.501e+001
1 6 10 28 31 -> 42 fr=4330 (0.8790), cf=0.909, gamma=1.012, delta=0.011, M=-6.309e+001
28 35 -> 42 fr=4414 (0.8961), cf=0.904, gamma=1.007, delta=0.006, M=-6.287e+001
1 6 28 31 -> 42 fr=4330 (0.8790), cf=0.909, gamma=1.012, delta=0.010, M=-6.154e+001
6 10 28 31 -> 42 fr=4330 (0.8790), cf=0.908, gamma=1.012, delta=0.010, M=-6.001e+001
1 6 10 28 -> 42 fr=4333 (0.8796), cf=0.908, gamma=1.012, delta=0.010, M=-5.983e+001
1 10 28 31 -> 42 fr=4414 (0.8961), cf=0.904, gamma=1.007, delta=0.006, M=-5.860e+001
6 28 31 -> 42 fr=4330 (0.8790), cf=0.908, gamma=1.012, delta=0.010, M=-5.848e+001
1 10 28 -> 42 fr=4417 (0.8967), cf=0.903, gamma=1.006, delta=0.005, M=-5.698e+001
1 28 31 -> 42 fr=4414 (0.8961), cf=0.903, gamma=1.006, delta=0.006, M=-5.648e+001
1 6 28 -> 42 fr=4333 (0.8796), cf=0.908, gamma=1.011, delta=0.010, M=-5.526e+001
10 28 31 -> 42 fr=4414 (0.8961), cf=0.903, gamma=1.006, delta=0.005, M=-5.437e+001
6 10 28 38 -> 42 fr=4333 (0.8796), cf=0.907, gamma=1.011, delta=0.009, M=-5.376e+001
1 6 10 35 -> 42 fr=4336 (0.8802), cf=0.907, gamma=1.011, delta=0.009, M=-5.356e+001
1 6 31 35 -> 42 fr=4334 (0.8798), cf=0.907, gamma=1.011, delta=0.009, M=-5.269e+001
6 10 28 -> 42 fr=4333 (0.8796), cf=0.907, gamma=1.011, delta=0.009, M=-5.227e+001
28 31 -> 42 fr=4414 (0.8961), cf=0.903, gamma=1.006, delta=0.005, M=-5.227e+001
1 6 35 -> 42 fr=4336 (0.8802), cf=0.907, gamma=1.011, delta=0.009, M=-5.206e+001
10 28 35 -> ~46 fr=4798 (0.9740), cf=0.983, gamma=1.004, delta=0.004, M=-5.127e+001
28 31 35 -> ~46 fr=4796 (0.9736), cf=0.983, gamma=1.004, delta=0.004, M=-5.015e+001
1 10 35 -> 42 fr=4419 (0.8971), cf=0.902, gamma=1.005, delta=0.004, M=-4.974e+001
6 28 38 -> 42 fr=4333 (0.8796), cf=0.907, gamma=1.010, delta=0.009, M=-4.932e+001
6 10 35 -> 42 fr=4336 (0.8802), cf=0.907, gamma=1.010, delta=0.009, M=-4.910e+001
10 28 38 -> 42 fr=4417 (0.8967), cf=0.902, gamma=1.005, delta=0.005, M=-4.831e+001
28 35 -> ~46 fr=4798 (0.9740), cf=0.983, gamma=1.004, delta=0.004, M=-4.801e+001
6 28 -> 42 fr=4333 (0.8796), cf=0.907, gamma=1.010, delta=0.009, M=-4.787e+001
1 35 -> 42 fr=4419 (0.8971), cf=0.902, gamma=1.005, delta=0.004, M=-4.753e+001
6 31 35 -> 42 fr=4334 (0.8798), cf=0.907, gamma=1.010, delta=0.009, M=-4.682e+001
6 35 -> 42 fr=4336 (0.8802), cf=0.906, gamma=1.010, delta=0.008, M=-4.618e+001
10 28 -> 42 fr=4417 (0.8967), cf=0.902, gamma=1.005, delta=0.004, M=-4.616e+001
1 6 10 31 -> 42 fr=4335 (0.8800), cf=0.906, gamma=1.010, delta=0.008, M=-4.578e+001
31 -> ~44 fr=4894 (0.9935), cf=0.997, gamma=1.002, delta=0.002, M=-4.505e+001
1 6 31 -> 42 fr=4335 (0.8800), cf=0.906, gamma=1.009, delta=0.008, M=-4.435e+001
1 28 -> 42 fr=4417 (0.8967), cf=0.902, gamma=1.005, delta=0.004, M=-4.402e+001
10 35 -> 42 fr=4419 (0.8971), cf=0.902, gamma=1.004, delta=0.004, M=-4.313e+001
1 6 10 -> 42 fr=4338 (0.8806), cf=0.906, gamma=1.009, delta=0.008, M=-4.267e+001
6 10 31 -> 42 fr=4335 (0.8800), cf=0.906, gamma=1.009, delta=0.008, M=-4.152e+001
35 -> ~44 fr=4888 (0.9923), cf=0.997, gamma=1.002, delta=0.002, M=-4.100e+001
6 28 -> ~43 fr=4524 (0.9184), cf=0.947, gamma=1.007, delta=0.007, M=-3.922e+001
1 10 -> 42 fr=4422 (0.8977), cf=0.901, gamma=1.003, delta=0.003, M=-3.900e+001
6 31 38 -> 42 fr=4335 (0.8800), cf=0.905, gamma=1.009, delta=0.007, M=-3.875e+001
1 6 -> 42 fr=4338 (0.8806), cf=0.905, gamma=1.008, delta=0.007, M=-3.847e+001
6 31 -> 42 fr=4335 (0.8800), cf=0.905, gamma=1.008, delta=0.007, M=-3.739e+001
1 10 28 -> ~46 fr=4802 (0.9748), cf=0.982, gamma=1.003, delta=0.003, M=-3.735e+001
1 31 -> 42 fr=4419 (0.8971), cf=0.901, gamma=1.004, delta=0.003, M=-3.658e+001
10 28 -> ~46 fr=4806 (0.9756), cf=0.982, gamma=1.003, delta=0.003, M=-3.639e+001
6 -> ~43 fr=4542 (0.9220), cf=0.946, gamma=1.006, delta=0.006, M=-3.587e+001
6 10 38 -> 42 fr=4338 (0.8806), cf=0.905, gamma=1.008, delta=0.007, M=-3.574e+001
6 10 -> 42 fr=4338 (0.8806), cf=0.905, gamma=1.008, delta=0.007, M=-3.439e+001
28 38 -> 42 fr=4417 (0.8967), cf=0.901, gamma=1.004, delta=0.003, M=-3.346e+001
1 28 -> ~46 fr=4806 (0.9756), cf=0.981, gamma=1.003, delta=0.003, M=-3.316e+001
28 -> ~46 fr=4811 (0.9767), cf=0.981, gamma=1.002, delta=0.002, M=-3.302e+001
10 31 -> 42 fr=4419 (0.8971), cf=0.901, gamma=1.003, delta=0.003, M=-3.226e+001
10 35 -> ~46 fr=4809 (0.9762), cf=0.981, gamma=1.002, delta=0.002, M=-3.170e+001
6 38 -> 42 fr=4338 (0.8806), cf=0.904, gamma=1.007, delta=0.006, M=-3.045e+001
1 31 35 -> ~46 fr=4804 (0.9752), cf=0.981, gamma=1.002, delta=0.002, M=-2.898e+001
1 10 -> ~44 fr=4891 (0.9929), cf=0.996, gamma=1.001, delta=0.001, M=-2.806e+001
31 38 -> 42 fr=4419 (0.8971), cf=0.900, gamma=1.003, delta=0.003, M=-2.797e+001
10 38 -> 42 fr=4422 (0.8977), cf=0.900, gamma=1.002, delta=0.002, M=-2.748e+001
31 35 -> ~46 fr=4807 (0.9758), cf=0.981, gamma=1.002, delta=0.002, M=-2.738e+001
1 35 -> ~46 fr=4806 (0.9756), cf=0.981, gamma=1.002, delta=0.002, M=-2.687e+001
10 38 -> ~44 fr=4895 (0.9937), cf=0.996, gamma=1.001, delta=0.001, M=-2.554e+001
35 -> ~46 fr=4809 (0.9762), cf=0.981, gamma=1.002, delta=0.002, M=-2.529e+001
10 -> ~44 fr=4895 (0.9937), cf=0.996, gamma=1.001, delta=0.001, M=-2.073e+001
1 10 -> ~46 fr=4812 (0.9769), cf=0.980, gamma=1.001, delta=0.001, M=-1.751e+001
10 -> ~46 fr=4817 (0.9779), cf=0.980, gamma=1.001, delta=0.001, M=-1.724e+001
1 -> ~46 fr=4816 (0.9777), cf=0.980, gamma=1.001, delta=0.001, M=-1.335e+001
1 -> ~44 fr=4893 (0.9933), cf=0.996, gamma=1.001, delta=0.001, M=-1.089e+001
31 38 -> ~46 fr=4809 (0.9762), cf=0.980, gamma=1.001, delta=0.001, M=-1.055e+001
38 -> ~46 fr=4821 (0.9787), cf=0.979, gamma=1.001, delta=0.001, M=-1.023e+001
31 -> ~46 fr=4809 (0.9762), cf=0.980, gamma=1.001, delta=0.001, M=-7.926e+000
6 38 -> ~44 fr=4778 (0.9700), cf=0.996, gamma=1.001, delta=0.001, M=-7.867e+000
1 -> ~45 fr=4839 (0.9823), cf=0.985, gamma=1.001, delta=0.001, M=-7.423e+000
6 -> ~44 fr=4781 (0.9706), cf=0.996, gamma=1.001, delta=0.001, M=-5.741e+000
28 -> ~43 fr=4612 (0.9363), cf=0.941, gamma=1.001, delta=0.001, M=-4.566e+000
38 -> ~44 fr=4898 (0.9943), cf=0.995, gamma=1.000, delta=0.000, M=-3.904e+000
