1 15 19 28 35 -> 42 fr=4358 (0.8849), cf=0.946, gamma=1.053, delta=0.045, M=-4.928e+002
19 -> ~43 fr=4524 (0.9186), cf=0.961, gamma=1.022, delta=0.020, M=-1.895e+002
1 15 35 -> 42 fr=4408 (0.8950), cf=0.915, gamma=1.020, delta=0.017, M=-1.893e+002
1 15 28 -> 42 fr=4407 (0.8948), cf=0.915, gamma=1.020, delta=0.017, M=-1.873e+002
10 15 28 -> 42 fr=4407 (0.8948), cf=0.915, gamma=1.020, delta=0.017, M=-1.873e+002
10 15 31 35 -> 42 fr=4407 (0.8948), cf=0.915, gamma=1.019, delta=0.017, M=-1.827e+002
10 15 35 -> 42 fr=4408 (0.8950), cf=0.915, gamma=1.019, delta=0.017, M=-1.823e+002
1 10 15 31 -> 42 fr=4409 (0.8952), cf=0.915, gamma=1.019, delta=0.017, M=-1.819e+002
15 31 35 -> 42 fr=4407 (0.8948), cf=0.915, gamma=1.019, delta=0.017, M=-1.804e+002
15 35 -> 42 fr=4408 (0.8950), cf=0.915, gamma=1.019, delta=0.016, M=-1.800e+002
1 15 31 -> 42 fr=4409 (0.8952), cf=0.915, gamma=1.019, delta=0.016, M=-1.796e+002
15 -> ~43 fr=4618 (0.9377), cf=0.954, gamma=1.015, delta=0.013, M=-1.785e+002
15 28 38 -> 42 fr=4407 (0.8948), cf=0.915, gamma=1.019, delta=0.016, M=-1.758e+002
10 15 31 -> 42 fr=4409 (0.8952), cf=0.914, gamma=1.018, delta=0.016, M=-1.749e+002
1 10 15 -> 42 fr=4411 (0.8956), cf=0.914, gamma=1.018, delta=0.016, M=-1.743e+002
15 28 -> 42 fr=4407 (0.8948), cf=0.914, gamma=1.018, delta=0.016, M=-1.735e+002
15 31 38 -> 42 fr=4409 (0.8952), cf=0.914, gamma=1.018, delta=0.016, M=-1.703e+002
15 31 -> 42 fr=4409 (0.8952), cf=0.914, gamma=1.018, delta=0.015, M=-1.680e+002
1 15 -> 42 fr=4411 (0.8956), cf=0.913, gamma=1.017, delta=0.015, M=-1.626e+002
10 15 38 -> 42 fr=4411 (0.8956), cf=0.913, gamma=1.017, delta=0.015, M=-1.626e+002
10 15 -> 42 fr=4411 (0.8956), cf=0.913, gamma=1.017, delta=0.015, M=-1.603e+002
1 19 -> ~45 fr=4681 (0.9505), cf=0.996, gamma=1.012, delta=0.011, M=-1.528e+002
15 38 -> 42 fr=4411 (0.8956), cf=0.912, gamma=1.015, delta=0.013, M=-1.465e+002
19 -> ~45 fr=4688 (0.9519), cf=0.995, gamma=1.012, delta=0.011, M=-1.426e+002
1 6 28 35 -> 42 fr=4329 (0.8790), cf=0.911, gamma=1.014, delta=0.012, M=-7.707e+001
6 28 35 -> 42 fr=4329 (0.8790), cf=0.910, gamma=1.014, delta=0.012, M=-7.382e+001
1 28 31 35 -> 42 fr=4414 (0.8962), cf=0.905, gamma=1.008, delta=0.007, M=-7.372e+001
1 28 35 -> 42 fr=4415 (0.8964), cf=0.905, gamma=1.008, delta=0.007, M=-7.322e+001
28 31 35 -> 42 fr=4414 (0.8962), cf=0.905, gamma=1.008, delta=0.007, M=-6.939e+001
1 6 10 28 31 -> 42 fr=4329 (0.8790), cf=0.910, gamma=1.013, delta=0.011, M=-6.901e+001
28 35 -> 42 fr=4415 (0.8964), cf=0.905, gamma=1.007, delta=0.007, M=-6.886e+001
1 6 28 31 -> 42 fr=4329 (0.8790), cf=0.909, gamma=1.013, delta=0.011, M=-6.743e+001
1 10 28 31 -> 42 fr=4416 (0.8966), cf=0.904, gamma=1.007, delta=0.006, M=-6.621e+001
6 10 28 31 -> 42 fr=4329 (0.8790), cf=0.909, gamma=1.013, delta=0.011, M=-6.586e+001
6 28 31 -> 42 fr=4329 (0.8790), cf=0.909, gamma=1.012, delta=0.011, M=-6.430e+001
1 28 31 -> 42 fr=4416 (0.8966), cf=0.904, gamma=1.007, delta=0.006, M=-6.402e+001
1 6 10 28 -> 42 fr=4331 (0.8794), cf=0.909, gamma=1.012, delta=0.011, M=-6.367e+001
10 28 31 -> 42 fr=4416 (0.8966), cf=0.904, gamma=1.007, delta=0.006, M=-6.184e+001
1 6 28 -> 42 fr=4331 (0.8794), cf=0.909, gamma=1.012, delta=0.010, M=-6.057e+001
28 31 -> 42 fr=4416 (0.8966), cf=0.904, gamma=1.006, delta=0.006, M=-5.967e+001
1 10 28 -> 42 fr=4418 (0.8971), cf=0.903, gamma=1.006, delta=0.005, M=-5.889e+001
6 10 28 38 -> 42 fr=4331 (0.8794), cf=0.908, gamma=1.011, delta=0.010, M=-5.751e+001
1 6 35 -> 42 fr=4333 (0.8798), cf=0.908, gamma=1.011, delta=0.010, M=-5.688e+001
6 10 28 -> 42 fr=4331 (0.8794), cf=0.908, gamma=1.011, delta=0.010, M=-5.600e+001
6 28 38 -> 42 fr=4331 (0.8794), cf=0.908, gamma=1.011, delta=0.010, M=-5.450e+001
6 28 -> 42 fr=4331 (0.8794), cf=0.908, gamma=1.011, delta=0.009, M=-5.301e+001
6 10 35 -> 42 fr=4333 (0.8798), cf=0.907, gamma=1.011, delta=0.009, M=-5.237e+001
28 35 -> ~46 fr=4798 (0.9742), cf=0.983, gamma=1.004, delta=0.004, M=-5.148e+001
31 -> ~44 fr=4894 (0.9937), cf=0.997, gamma=1.002, delta=0.002, M=-5.129e+001
6 35 -> 42 fr=4333 (0.8798), cf=0.907, gamma=1.010, delta=0.009, M=-5.088e+001
1 31 35 -> 42 fr=4418 (0.8971), cf=0.903, gamma=1.005, delta=0.005, M=-5.009e+001
10 28 38 -> 42 fr=4418 (0.8971), cf=0.903, gamma=1.005, delta=0.005, M=-5.009e+001
1 35 -> 42 fr=4419 (0.8973), cf=0.902, gamma=1.005, delta=0.004, M=-4.978e+001
1 6 10 31 -> 42 fr=4333 (0.8798), cf=0.907, gamma=1.010, delta=0.009, M=-4.942e+001
1 6 31 -> 42 fr=4333 (0.8798), cf=0.907, gamma=1.010, delta=0.009, M=-4.796e+001
1 28 -> 42 fr=4418 (0.8971), cf=0.902, gamma=1.005, delta=0.004, M=-4.790e+001
10 28 -> 42 fr=4418 (0.8971), cf=0.902, gamma=1.005, delta=0.004, M=-4.790e+001
35 -> ~44 fr=4887 (0.9923), cf=0.997, gamma=1.002, delta=0.002, M=-4.600e+001
6 10 31 -> 42 fr=4333 (0.8798), cf=0.906, gamma=1.010, delta=0.008, M=-4.508e+001
1 6 10 -> 42 fr=4335 (0.8802), cf=0.906, gamma=1.009, delta=0.008, M=-4.443e+001
10 31 35 -> 42 fr=4418 (0.8971), cf=0.902, gamma=1.005, delta=0.004, M=-4.355e+001
6 28 -> ~43 fr=4520 (0.9178), cf=0.947, gamma=1.008, delta=0.007, M=-4.344e+001
10 35 -> 42 fr=4419 (0.8973), cf=0.902, gamma=1.004, delta=0.004, M=-4.317e+001
1 10 31 -> 42 fr=4420 (0.8975), cf=0.902, gamma=1.004, delta=0.004, M=-4.296e+001
6 31 38 -> 42 fr=4333 (0.8798), cf=0.906, gamma=1.009, delta=0.008, M=-4.225e+001
1 6 -> 42 fr=4335 (0.8802), cf=0.906, gamma=1.009, delta=0.008, M=-4.160e+001
31 35 -> 42 fr=4418 (0.8971), cf=0.902, gamma=1.004, delta=0.004, M=-4.139e+001
6 31 -> 42 fr=4333 (0.8798), cf=0.906, gamma=1.009, delta=0.008, M=-4.086e+001
1 31 -> 42 fr=4420 (0.8975), cf=0.901, gamma=1.004, delta=0.004, M=-4.073e+001
6 -> ~43 fr=4538 (0.9214), cf=0.946, gamma=1.007, delta=0.006, M=-4.012e+001
1 10 28 -> ~46 fr=4803 (0.9752), cf=0.982, gamma=1.003, delta=0.003, M=-3.804e+001
6 10 38 -> 42 fr=4335 (0.8802), cf=0.905, gamma=1.008, delta=0.007, M=-3.746e+001
28 -> ~46 fr=4812 (0.9771), cf=0.982, gamma=1.003, delta=0.003, M=-3.727e+001
28 38 -> 42 fr=4418 (0.8971), cf=0.901, gamma=1.004, delta=0.004, M=-3.710e+001
1 10 -> 42 fr=4422 (0.8979), cf=0.901, gamma=1.003, delta=0.003, M=-3.672e+001
10 31 -> 42 fr=4420 (0.8975), cf=0.901, gamma=1.004, delta=0.003, M=-3.629e+001
6 10 -> 42 fr=4335 (0.8802), cf=0.905, gamma=1.008, delta=0.007, M=-3.611e+001
6 38 -> 42 fr=4335 (0.8802), cf=0.905, gamma=1.008, delta=0.007, M=-3.345e+001
31 38 -> 42 fr=4420 (0.8975), cf=0.901, gamma=1.003, delta=0.003, M=-3.189e+001
1 10 -> ~44 fr=4891 (0.9931), cf=0.996, gamma=1.001, delta=0.001, M=-2.859e+001
10 35 -> ~46 fr=4808 (0.9762), cf=0.981, gamma=1.002, delta=0.002, M=-2.802e+001
1 35 -> ~46 fr=4805 (0.9756), cf=0.981, gamma=1.002, delta=0.002, M=-2.649e+001
10 38 -> ~44 fr=4895 (0.9939), cf=0.996, gamma=1.001, delta=0.001, M=-2.623e+001
10 38 -> 42 fr=4422 (0.8979), cf=0.900, gamma=1.002, delta=0.002, M=-2.520e+001
35 -> ~46 fr=4808 (0.9762), cf=0.981, gamma=1.002, delta=0.002, M=-2.487e+001
10 -> ~44 fr=4895 (0.9939), cf=0.996, gamma=1.001, delta=0.001, M=-2.133e+001
1 10 -> ~46 fr=4812 (0.9771), cf=0.980, gamma=1.001, delta=0.001, M=-1.453e+001
10 -> ~46 fr=4817 (0.9781), cf=0.980, gamma=1.001, delta=0.001, M=-1.399e+001
1 -> ~46 fr=4816 (0.9779), cf=0.980, gamma=1.001, delta=0.001, M=-1.340e+001
1 -> ~44 fr=4892 (0.9933), cf=0.996, gamma=1.001, delta=0.001, M=-1.089e+001
38 -> ~46 fr=4821 (0.9789), cf=0.980, gamma=1.001, delta=0.001, M=-1.026e+001
6 38 -> ~44 fr=4771 (0.9687), cf=0.996, gamma=1.001, delta=0.001, M=-7.654e+000
1 -> ~45 fr=4838 (0.9823), cf=0.985, gamma=1.001, delta=0.001, M=-7.423e+000
6 -> ~44 fr=4774 (0.9693), cf=0.996, gamma=1.001, delta=0.001, M=-5.570e+000
31 -> ~46 fr=4808 (0.9762), cf=0.980, gamma=1.001, delta=0.001, M=-5.322e+000
28 -> ~43 fr=4611 (0.9362), cf=0.941, gamma=1.001, delta=0.001, M=-4.565e+000
38 -> ~44 fr=4897 (0.9943), cf=0.995, gamma=1.000, delta=0.000, M=-3.904e+000
