1 10 15 19 28 35 -> 42 fr=4353 (0.8839), cf=0.944, gamma=1.053, delta=0.044, M=-4.876e+002
1 10 19 28 -> 42 fr=4364 (0.8861), cf=0.934, gamma=1.041, delta=0.035, M=-3.709e+002
10 19 28 38 -> 42 fr=4364 (0.8861), cf=0.933, gamma=1.041, delta=0.035, M=-3.635e+002
10 19 28 -> 42 fr=4364 (0.8861), cf=0.933, gamma=1.040, delta=0.034, M=-3.610e+002
1 19 28 -> 42 fr=4364 (0.8861), cf=0.933, gamma=1.040, delta=0.034, M=-3.585e+002
1 10 19 35 -> 42 fr=4365 (0.8863), cf=0.932, gamma=1.040, delta=0.034, M=-3.576e+002
1 19 35 -> 42 fr=4365 (0.8863), cf=0.932, gamma=1.040, delta=0.034, M=-3.551e+002
10 19 35 -> 42 fr=4365 (0.8863), cf=0.932, gamma=1.039, delta=0.034, M=-3.502e+002
19 28 38 -> 42 fr=4364 (0.8861), cf=0.932, gamma=1.039, delta=0.034, M=-3.487e+002
19 35 -> 42 fr=4365 (0.8863), cf=0.932, gamma=1.039, delta=0.033, M=-3.477e+002
1 10 19 31 -> 42 fr=4365 (0.8863), cf=0.932, gamma=1.039, delta=0.033, M=-3.477e+002
19 28 -> 42 fr=4364 (0.8861), cf=0.932, gamma=1.039, delta=0.033, M=-3.463e+002
1 19 31 -> 42 fr=4365 (0.8863), cf=0.931, gamma=1.039, delta=0.033, M=-3.453e+002
10 19 31 -> 42 fr=4365 (0.8863), cf=0.931, gamma=1.038, delta=0.033, M=-3.404e+002
1 10 19 -> 42 fr=4368 (0.8869), cf=0.931, gamma=1.038, delta=0.032, M=-3.400e+002
19 31 38 -> 42 fr=4365 (0.8863), cf=0.931, gamma=1.038, delta=0.033, M=-3.380e+002
19 31 -> 42 fr=4365 (0.8863), cf=0.931, gamma=1.038, delta=0.032, M=-3.356e+002
10 19 38 -> 42 fr=4368 (0.8869), cf=0.930, gamma=1.037, delta=0.032, M=-3.303e+002
1 19 -> 42 fr=4368 (0.8869), cf=0.930, gamma=1.037, delta=0.032, M=-3.279e+002
10 19 -> 42 fr=4368 (0.8869), cf=0.930, gamma=1.037, delta=0.032, M=-3.279e+002
19 38 -> 42 fr=4368 (0.8869), cf=0.929, gamma=1.036, delta=0.031, M=-3.158e+002
15 19 28 -> ~43 fr=4493 (0.9123), cf=0.970, gamma=1.032, delta=0.029, M=-3.011e+002
15 19 -> ~43 fr=4511 (0.9159), cf=0.969, gamma=1.031, delta=0.028, M=-3.007e+002
6 19 28 -> ~43 fr=4414 (0.8962), cf=0.967, gamma=1.029, delta=0.026, M=-2.232e+002
1 10 15 28 35 -> 42 fr=4401 (0.8936), cf=0.917, gamma=1.023, delta=0.020, M=-2.212e+002
6 19 -> ~43 fr=4432 (0.8999), cf=0.966, gamma=1.028, delta=0.025, M=-2.197e+002
1 15 28 31 35 -> 42 fr=4399 (0.8932), cf=0.917, gamma=1.023, delta=0.020, M=-2.196e+002
1 15 28 35 -> 42 fr=4401 (0.8936), cf=0.917, gamma=1.023, delta=0.020, M=-2.188e+002
10 15 28 35 -> 42 fr=4401 (0.8936), cf=0.917, gamma=1.022, delta=0.020, M=-2.164e+002
15 28 31 35 -> 42 fr=4399 (0.8932), cf=0.917, gamma=1.023, delta=0.020, M=-2.149e+002
15 28 35 -> 42 fr=4401 (0.8936), cf=0.916, gamma=1.022, delta=0.019, M=-2.141e+002
1 10 15 28 31 -> 42 fr=4401 (0.8936), cf=0.916, gamma=1.022, delta=0.019, M=-2.141e+002
1 15 28 31 -> 42 fr=4401 (0.8936), cf=0.916, gamma=1.022, delta=0.019, M=-2.117e+002
10 15 28 31 -> 42 fr=4401 (0.8936), cf=0.916, gamma=1.022, delta=0.019, M=-2.094e+002
15 28 31 -> 42 fr=4401 (0.8936), cf=0.916, gamma=1.021, delta=0.019, M=-2.070e+002
1 10 15 28 -> 42 fr=4404 (0.8942), cf=0.915, gamma=1.021, delta=0.018, M=-2.061e+002
10 15 28 38 -> 42 fr=4404 (0.8942), cf=0.915, gamma=1.020, delta=0.018, M=-1.967e+002
1 15 28 -> 42 fr=4404 (0.8942), cf=0.914, gamma=1.020, delta=0.017, M=-1.944e+002
10 15 28 -> 42 fr=4404 (0.8942), cf=0.914, gamma=1.020, delta=0.017, M=-1.944e+002
1 10 15 35 -> 42 fr=4405 (0.8944), cf=0.914, gamma=1.020, delta=0.017, M=-1.941e+002
1 15 31 35 -> 42 fr=4403 (0.8940), cf=0.914, gamma=1.020, delta=0.017, M=-1.923e+002
1 15 35 -> 42 fr=4405 (0.8944), cf=0.914, gamma=1.019, delta=0.017, M=-1.918e+002
19 28 -> ~43 fr=4501 (0.9139), cf=0.961, gamma=1.023, delta=0.021, M=-1.905e+002
19 -> ~43 fr=4519 (0.9176), cf=0.960, gamma=1.022, delta=0.020, M=-1.894e+002
10 15 35 -> 42 fr=4405 (0.8944), cf=0.914, gamma=1.019, delta=0.017, M=-1.871e+002
1 10 15 31 -> 42 fr=4405 (0.8944), cf=0.914, gamma=1.019, delta=0.017, M=-1.871e+002
15 -> ~43 fr=4618 (0.9377), cf=0.953, gamma=1.015, delta=0.014, M=-1.868e+002
15 31 35 -> 42 fr=4403 (0.8940), cf=0.914, gamma=1.019, delta=0.017, M=-1.853e+002
15 35 -> 42 fr=4405 (0.8944), cf=0.914, gamma=1.019, delta=0.017, M=-1.848e+002
1 15 31 -> 42 fr=4405 (0.8944), cf=0.914, gamma=1.019, delta=0.017, M=-1.848e+002
15 28 38 -> 42 fr=4404 (0.8942), cf=0.914, gamma=1.019, delta=0.016, M=-1.827e+002
15 28 -> 42 fr=4404 (0.8942), cf=0.913, gamma=1.019, delta=0.016, M=-1.804e+002
10 15 31 -> 42 fr=4405 (0.8944), cf=0.913, gamma=1.018, delta=0.016, M=-1.801e+002
1 10 15 -> 42 fr=4408 (0.8950), cf=0.913, gamma=1.018, delta=0.016, M=-1.797e+002
15 31 38 -> 42 fr=4405 (0.8944), cf=0.913, gamma=1.018, delta=0.016, M=-1.778e+002
15 31 -> 42 fr=4405 (0.8944), cf=0.913, gamma=1.018, delta=0.016, M=-1.755e+002
1 15 -> 42 fr=4408 (0.8950), cf=0.912, gamma=1.017, delta=0.015, M=-1.680e+002
10 15 38 -> 42 fr=4408 (0.8950), cf=0.912, gamma=1.017, delta=0.015, M=-1.680e+002
10 15 -> 42 fr=4408 (0.8950), cf=0.911, gamma=1.017, delta=0.015, M=-1.657e+002
15 38 -> 42 fr=4408 (0.8950), cf=0.911, gamma=1.016, delta=0.014, M=-1.540e+002
1 19 -> ~45 fr=4678 (0.9498), cf=0.996, gamma=1.012, delta=0.011, M=-1.508e+002
19 -> ~45 fr=4684 (0.9511), cf=0.995, gamma=1.012, delta=0.011, M=-1.405e+002
1 10 28 35 -> 42 fr=4409 (0.8952), cf=0.904, gamma=1.008, delta=0.007, M=-7.275e+001
1 28 31 35 -> 42 fr=4407 (0.8948), cf=0.904, gamma=1.008, delta=0.007, M=-7.164e+001
1 28 35 -> 42 fr=4409 (0.8952), cf=0.903, gamma=1.008, delta=0.007, M=-7.058e+001
10 28 35 -> 42 fr=4409 (0.8952), cf=0.903, gamma=1.007, delta=0.007, M=-6.841e+001
28 31 35 -> 42 fr=4407 (0.8948), cf=0.903, gamma=1.008, delta=0.007, M=-6.737e+001
28 35 -> 42 fr=4409 (0.8952), cf=0.903, gamma=1.007, delta=0.006, M=-6.625e+001
1 10 28 31 -> 42 fr=4409 (0.8952), cf=0.903, gamma=1.007, delta=0.006, M=-6.625e+001
1 28 31 -> 42 fr=4409 (0.8952), cf=0.903, gamma=1.007, delta=0.006, M=-6.410e+001
10 28 31 -> 42 fr=4409 (0.8952), cf=0.903, gamma=1.007, delta=0.006, M=-6.195e+001
28 31 -> 42 fr=4409 (0.8952), cf=0.903, gamma=1.007, delta=0.006, M=-5.980e+001
1 10 28 -> 42 fr=4412 (0.8958), cf=0.902, gamma=1.006, delta=0.005, M=-5.853e+001
1 6 28 -> 42 fr=4328 (0.8788), cf=0.906, gamma=1.011, delta=0.009, M=-5.214e+001
10 28 35 -> ~46 fr=4795 (0.9736), cf=0.982, gamma=1.004, delta=0.004, M=-5.086e+001
6 10 28 38 -> 42 fr=4328 (0.8788), cf=0.906, gamma=1.010, delta=0.009, M=-5.067e+001
31 -> ~44 fr=4893 (0.9935), cf=0.997, gamma=1.002, delta=0.002, M=-5.007e+001
10 28 38 -> 42 fr=4412 (0.8958), cf=0.901, gamma=1.005, delta=0.005, M=-4.977e+001
6 10 28 -> 42 fr=4328 (0.8788), cf=0.906, gamma=1.010, delta=0.009, M=-4.920e+001
28 31 35 -> ~46 fr=4792 (0.9730), cf=0.982, gamma=1.004, delta=0.004, M=-4.919e+001
1 6 10 35 -> 42 fr=4330 (0.8792), cf=0.906, gamma=1.010, delta=0.009, M=-4.858e+001
1 6 31 35 -> 42 fr=4328 (0.8788), cf=0.906, gamma=1.010, delta=0.009, M=-4.775e+001
28 35 -> ~46 fr=4795 (0.9736), cf=0.982, gamma=1.004, delta=0.004, M=-4.762e+001
1 28 -> 42 fr=4412 (0.8958), cf=0.901, gamma=1.005, delta=0.004, M=-4.760e+001
10 28 -> 42 fr=4412 (0.8958), cf=0.901, gamma=1.005, delta=0.004, M=-4.760e+001
1 10 35 -> 42 fr=4413 (0.8960), cf=0.901, gamma=1.005, delta=0.004, M=-4.728e+001
35 -> ~44 fr=4889 (0.9927), cf=0.997, gamma=1.002, delta=0.002, M=-4.719e+001
1 6 35 -> 42 fr=4330 (0.8792), cf=0.905, gamma=1.010, delta=0.009, M=-4.712e+001
6 28 38 -> 42 fr=4328 (0.8788), cf=0.905, gamma=1.010, delta=0.009, M=-4.631e+001
1 31 35 -> 42 fr=4411 (0.8956), cf=0.901, gamma=1.005, delta=0.004, M=-4.591e+001
1 35 -> 42 fr=4413 (0.8960), cf=0.901, gamma=1.005, delta=0.004, M=-4.509e+001
6 28 -> 42 fr=4328 (0.8788), cf=0.905, gamma=1.010, delta=0.008, M=-4.489e+001
6 10 35 -> 42 fr=4330 (0.8792), cf=0.905, gamma=1.009, delta=0.008, M=-4.425e+001
6 31 35 -> 42 fr=4328 (0.8788), cf=0.905, gamma=1.009, delta=0.008, M=-4.347e+001
6 35 -> 42 fr=4330 (0.8792), cf=0.905, gamma=1.009, delta=0.008, M=-4.284e+001
1 6 10 31 -> 42 fr=4329 (0.8790), cf=0.905, gamma=1.009, delta=0.008, M=-4.245e+001
1 10 28 -> ~46 fr=4801 (0.9748), cf=0.982, gamma=1.003, delta=0.003, M=-4.139e+001
1 6 31 -> 42 fr=4329 (0.8790), cf=0.905, gamma=1.009, delta=0.008, M=-4.106e+001
10 35 -> 42 fr=4413 (0.8960), cf=0.900, gamma=1.004, delta=0.004, M=-4.072e+001
1 10 31 -> 42 fr=4413 (0.8960), cf=0.900, gamma=1.004, delta=0.004, M=-4.072e+001
10 28 -> ~46 fr=4805 (0.9756), cf=0.981, gamma=1.003, delta=0.003, M=-4.068e+001
31 35 -> 42 fr=4411 (0.8956), cf=0.901, gamma=1.004, delta=0.004, M=-3.955e+001
1 31 -> 42 fr=4413 (0.8960), cf=0.900, gamma=1.004, delta=0.004, M=-3.855e+001
6 10 31 -> 42 fr=4329 (0.8790), cf=0.904, gamma=1.009, delta=0.007, M=-3.831e+001
6 31 38 -> 42 fr=4329 (0.8790), cf=0.904, gamma=1.008, delta=0.007, M=-3.695e+001
28 -> ~46 fr=4809 (0.9764), cf=0.981, gamma=1.003, delta=0.003, M=-3.688e+001
28 38 -> 42 fr=4412 (0.8958), cf=0.900, gamma=1.004, delta=0.004, M=-3.686e+001
1 6 10 -> 42 fr=4332 (0.8796), cf=0.904, gamma=1.008, delta=0.007, M=-3.667e+001
6 28 -> ~43 fr=4521 (0.9180), cf=0.946, gamma=1.007, delta=0.006, M=-3.583e+001
6 31 -> 42 fr=4329 (0.8790), cf=0.904, gamma=1.008, delta=0.007, M=-3.561e+001
10 31 -> 42 fr=4413 (0.8960), cf=0.900, gamma=1.004, delta=0.003, M=-3.423e+001
1 10 -> 42 fr=4416 (0.8966), cf=0.899, gamma=1.003, delta=0.003, M=-3.423e+001
1 6 -> 42 fr=4332 (0.8796), cf=0.903, gamma=1.008, delta=0.007, M=-3.267e+001
6 -> ~43 fr=4539 (0.9216), cf=0.945, gamma=1.006, delta=0.005, M=-3.249e+001
31 38 -> 42 fr=4413 (0.8960), cf=0.900, gamma=1.003, delta=0.003, M=-3.209e+001
6 10 38 -> 42 fr=4332 (0.8796), cf=0.903, gamma=1.007, delta=0.006, M=-3.009e+001
6 10 -> 42 fr=4332 (0.8796), cf=0.903, gamma=1.007, delta=0.006, M=-2.882e+001
6 38 -> 42 fr=4332 (0.8796), cf=0.902, gamma=1.007, delta=0.006, M=-2.633e+001
10 35 -> ~46 fr=4805 (0.9756), cf=0.980, gamma=1.002, delta=0.002, M=-2.458e+001
1 10 -> ~44 fr=4892 (0.9933), cf=0.996, gamma=1.001, delta=0.001, M=-2.413e+001
31 35 -> ~46 fr=4802 (0.9750), cf=0.980, gamma=1.002, delta=0.002, M=-2.317e+001
10 38 -> 42 fr=4416 (0.8966), cf=0.898, gamma=1.002, delta=0.002, M=-2.278e+001
10 38 -> ~44 fr=4896 (0.9941), cf=0.996, gamma=1.001, delta=0.001, M=-2.155e+001
35 -> ~46 fr=4805 (0.9756), cf=0.980, gamma=1.002, delta=0.002, M=-2.153e+001
10 -> ~44 fr=4896 (0.9941), cf=0.996, gamma=1.001, delta=0.001, M=-1.674e+001
1 10 -> ~46 fr=4810 (0.9766), cf=0.980, gamma=1.001, delta=0.001, M=-1.481e+001
10 -> ~46 fr=4815 (0.9777), cf=0.979, gamma=1.001, delta=0.001, M=-1.452e+001
1 -> ~44 fr=4894 (0.9937), cf=0.996, gamma=1.001, delta=0.001, M=-1.134e+001
38 -> ~46 fr=4818 (0.9783), cf=0.979, gamma=1.001, delta=0.001, M=-1.017e+001
1 -> ~46 fr=4813 (0.9773), cf=0.979, gamma=1.001, delta=0.001, M=-1.016e+001
1 -> ~45 fr=4838 (0.9823), cf=0.984, gamma=1.001, delta=0.001, M=-7.692e+000
31 -> ~46 fr=4804 (0.9754), cf=0.979, gamma=1.001, delta=0.001, M=-7.398e+000
6 38 -> ~44 fr=4780 (0.9706), cf=0.996, gamma=1.001, delta=0.001, M=-5.866e+000
28 -> ~43 fr=4608 (0.9356), cf=0.940, gamma=1.001, delta=0.001, M=-4.524e+000
38 -> ~44 fr=4898 (0.9945), cf=0.995, gamma=1.000, delta=0.000, M=-3.945e+000
6 -> ~44 fr=4783 (0.9712), cf=0.996, gamma=1.001, delta=0.000, M=-3.907e+000
28 -> ~45 fr=4823 (0.9793), cf=0.984, gamma=1.000, delta=0.000, M=-1.157e+000
30 -> ~42 fr=509 (0.1034), cf=0.103, gamma=1.001, delta=0.000, M=-3.273e-001
