1 5 19 23 27 -> ~38 fr=344 (0.4978), cf=0.815, gamma=1.252, delta=0.100, M=-6.689e+001
23 27 32 -> 37 fr=367 (0.5311), cf=0.700, gamma=1.075, delta=0.037, M=-1.327e+001
1 9 -> ~38 fr=409 (0.5919), cf=0.686, gamma=1.054, delta=0.030, M=-1.314e+001
1 9 -> 37 fr=409 (0.5919), cf=0.686, gamma=1.054, delta=0.030, M=-1.314e+001
9 14 19 27 32 -> ~38 fr=327 (0.4732), cf=0.711, gamma=1.092, delta=0.040, M=-1.270e+001
9 14 19 27 32 -> 37 fr=327 (0.4732), cf=0.711, gamma=1.092, delta=0.040, M=-1.270e+001
19 23 27 -> ~38 fr=404 (0.5847), cf=0.687, gamma=1.055, delta=0.031, M=-1.265e+001
19 23 27 -> 37 fr=404 (0.5847), cf=0.687, gamma=1.055, delta=0.031, M=-1.265e+001
9 19 27 32 -> ~38 fr=362 (0.5239), cf=0.700, gamma=1.075, delta=0.037, M=-1.260e+001
9 19 27 32 -> 37 fr=362 (0.5239), cf=0.700, gamma=1.075, delta=0.037, M=-1.260e+001
9 19 23 32 -> ~38 fr=374 (0.5412), cf=0.696, gamma=1.069, delta=0.035, M=-1.256e+001
9 19 23 32 -> 37 fr=374 (0.5412), cf=0.696, gamma=1.069, delta=0.035, M=-1.256e+001
1 14 -> ~38 fr=377 (0.5456), cf=0.694, gamma=1.066, delta=0.034, M=-1.204e+001
1 14 -> 37 fr=377 (0.5456), cf=0.694, gamma=1.066, delta=0.034, M=-1.204e+001
19 23 32 -> ~38 fr=382 (0.5528), cf=0.692, gamma=1.063, delta=0.033, M=-1.172e+001
19 23 32 -> 37 fr=382 (0.5528), cf=0.692, gamma=1.063, delta=0.033, M=-1.172e+001
9 27 32 -> ~38 fr=371 (0.5369), cf=0.695, gamma=1.067, delta=0.034, M=-1.153e+001
9 27 32 -> 37 fr=371 (0.5369), cf=0.695, gamma=1.067, delta=0.034, M=-1.153e+001
9 23 27 -> ~38 fr=404 (0.5847), cf=0.685, gamma=1.051, delta=0.029, M=-1.151e+001
9 19 27 -> ~38 fr=404 (0.5847), cf=0.685, gamma=1.051, delta=0.029, M=-1.151e+001
9 23 27 -> 37 fr=404 (0.5847), cf=0.685, gamma=1.051, delta=0.029, M=-1.151e+001
9 19 27 -> 37 fr=404 (0.5847), cf=0.685, gamma=1.051, delta=0.029, M=-1.151e+001
1 -> ~38 fr=419 (0.6064), cf=0.679, gamma=1.043, delta=0.025, M=-1.124e+001
9 23 32 -> ~38 fr=383 (0.5543), cf=0.690, gamma=1.060, delta=0.031, M=-1.105e+001
9 23 32 -> 37 fr=383 (0.5543), cf=0.690, gamma=1.060, delta=0.031, M=-1.105e+001
14 19 27 32 -> ~38 fr=332 (0.4805), cf=0.703, gamma=1.080, delta=0.036, M=-1.080e+001
14 19 27 32 -> 37 fr=332 (0.4805), cf=0.703, gamma=1.080, delta=0.036, M=-1.080e+001
9 14 19 32 -> ~38 fr=345 (0.4993), cf=0.698, gamma=1.072, delta=0.034, M=-1.031e+001
9 14 19 32 -> 37 fr=345 (0.4993), cf=0.698, gamma=1.072, delta=0.034, M=-1.031e+001
23 32 -> ~38 fr=391 (0.5658), cf=0.686, gamma=1.053, delta=0.029, M=-1.028e+001
23 32 -> 37 fr=391 (0.5658), cf=0.686, gamma=1.053, delta=0.029, M=-1.028e+001
9 19 32 -> ~38 fr=384 (0.5557), cf=0.687, gamma=1.055, delta=0.029, M=-9.892e+000
9 19 32 -> 37 fr=384 (0.5557), cf=0.687, gamma=1.055, delta=0.029, M=-9.892e+000
23 27 -> ~38 fr=412 (0.5962), cf=0.679, gamma=1.042, delta=0.024, M=-9.826e+000
23 27 -> 37 fr=412 (0.5962), cf=0.679, gamma=1.042, delta=0.024, M=-9.826e+000
19 27 32 -> ~38 fr=368 (0.5326), cf=0.690, gamma=1.060, delta=0.030, M=-9.633e+000
19 27 32 -> 37 fr=368 (0.5326), cf=0.690, gamma=1.060, delta=0.030, M=-9.633e+000
14 19 32 -> ~38 fr=353 (0.5109), cf=0.694, gamma=1.065, delta=0.031, M=-9.405e+000
14 19 32 -> 37 fr=353 (0.5109), cf=0.694, gamma=1.065, delta=0.031, M=-9.405e+000
9 19 23 -> ~38 fr=417 (0.6035), cf=0.676, gamma=1.038, delta=0.022, M=-9.162e+000
9 19 23 -> 37 fr=417 (0.6035), cf=0.676, gamma=1.038, delta=0.022, M=-9.162e+000
14 27 32 -> ~38 fr=337 (0.4877), cf=0.696, gamma=1.069, delta=0.032, M=-9.057e+000
14 27 32 -> 37 fr=337 (0.4877), cf=0.696, gamma=1.069, delta=0.032, M=-9.057e+000
27 32 -> ~38 fr=377 (0.5456), cf=0.685, gamma=1.053, delta=0.027, M=-8.659e+000
27 32 -> 37 fr=377 (0.5456), cf=0.685, gamma=1.053, delta=0.027, M=-8.659e+000
9 27 -> ~38 fr=413 (0.5977), cf=0.676, gamma=1.038, delta=0.022, M=-8.612e+000
9 27 -> 37 fr=413 (0.5977), cf=0.676, gamma=1.038, delta=0.022, M=-8.612e+000
9 14 32 -> ~38 fr=351 (0.5080), cf=0.691, gamma=1.061, delta=0.029, M=-8.450e+000
9 14 32 -> 37 fr=351 (0.5080), cf=0.691, gamma=1.061, delta=0.029, M=-8.450e+000
19 23 -> ~38 fr=428 (0.6194), cf=0.671, gamma=1.030, delta=0.018, M=-8.421e+000
19 23 -> 37 fr=428 (0.6194), cf=0.671, gamma=1.030, delta=0.018, M=-8.421e+000
9 32 -> ~38 fr=394 (0.5702), cf=0.680, gamma=1.045, delta=0.025, M=-8.366e+000
9 32 -> 37 fr=394 (0.5702), cf=0.680, gamma=1.045, delta=0.025, M=-8.366e+000
14 19 27 -> ~38 fr=374 (0.5412), cf=0.685, gamma=1.052, delta=0.027, M=-8.243e+000
14 19 27 -> 37 fr=374 (0.5412), cf=0.685, gamma=1.052, delta=0.027, M=-8.243e+000
9 14 19 -> ~38 fr=386 (0.5586), cf=0.681, gamma=1.045, delta=0.024, M=-7.742e+000
9 14 19 -> 37 fr=386 (0.5586), cf=0.681, gamma=1.045, delta=0.024, M=-7.742e+000
14 32 -> ~38 fr=359 (0.5195), cf=0.686, gamma=1.054, delta=0.027, M=-7.619e+000
14 32 -> 37 fr=359 (0.5195), cf=0.686, gamma=1.054, delta=0.027, M=-7.619e+000
19 32 -> ~38 fr=393 (0.5687), cf=0.679, gamma=1.042, delta=0.023, M=-7.599e+000
19 32 -> 37 fr=393 (0.5687), cf=0.679, gamma=1.042, delta=0.023, M=-7.599e+000
19 27 -> ~38 fr=413 (0.5977), cf=0.674, gamma=1.035, delta=0.020, M=-7.586e+000
19 27 -> 37 fr=413 (0.5977), cf=0.674, gamma=1.035, delta=0.020, M=-7.586e+000
9 19 -> ~38 fr=428 (0.6194), cf=0.669, gamma=1.027, delta=0.016, M=-7.259e+000
9 19 -> 37 fr=428 (0.6194), cf=0.669, gamma=1.027, delta=0.016, M=-7.259e+000
32 -> ~38 fr=403 (0.5832), cf=0.673, gamma=1.033, delta=0.019, M=-6.186e+000
14 19 -> ~38 fr=397 (0.5745), cf=0.674, gamma=1.035, delta=0.019, M=-6.171e+000
14 19 -> 37 fr=397 (0.5745), cf=0.674, gamma=1.035, delta=0.019, M=-6.171e+000
9 14 23 -> ~38 fr=387 (0.5601), cf=0.675, gamma=1.037, delta=0.020, M=-5.949e+000
9 14 23 -> 37 fr=387 (0.5601), cf=0.675, gamma=1.037, delta=0.020, M=-5.949e+000
9 23 -> ~38 fr=426 (0.6165), cf=0.667, gamma=1.024, delta=0.014, M=-5.888e+000
9 23 -> 37 fr=426 (0.6165), cf=0.667, gamma=1.024, delta=0.014, M=-5.888e+000
14 27 -> ~38 fr=379 (0.5485), cf=0.676, gamma=1.037, delta=0.020, M=-5.535e+000
14 27 -> 37 fr=379 (0.5485), cf=0.676, gamma=1.037, delta=0.020, M=-5.535e+000
14 23 -> ~38 fr=397 (0.5745), cf=0.672, gamma=1.031, delta=0.018, M=-5.370e+000
14 23 -> 37 fr=397 (0.5745), cf=0.672, gamma=1.031, delta=0.018, M=-5.370e+000
23 -> ~38 fr=437 (0.6324), cf=0.662, gamma=1.017, delta=0.010, M=-5.135e+000
27 -> ~38 fr=422 (0.6107), cf=0.666, gamma=1.022, delta=0.013, M=-4.958e+000
9 14 -> ~38 fr=392 (0.5673), cf=0.671, gamma=1.031, delta=0.017, M=-4.905e+000
9 14 -> 37 fr=392 (0.5673), cf=0.671, gamma=1.031, delta=0.017, M=-4.905e+000
19 -> ~38 fr=440 (0.6368), cf=0.660, gamma=1.013, delta=0.008, M=-4.242e+000
9 -> ~38 fr=438 (0.6339), cf=0.660, gamma=1.013, delta=0.008, M=-3.909e+000
14 -> ~38 fr=403 (0.5832), cf=0.665, gamma=1.021, delta=0.012, M=-3.526e+000
