27 52 56 -> ~96 fr=16640 (0.3786), cf=0.966, gamma=1.270, delta=0.080, M=-4.002e+003
50 56 -> 97 fr=12853 (0.2924), cf=0.897, gamma=1.180, delta=0.045, M=-1.221e+003
50 -> ~96 fr=12971 (0.2951), cf=0.891, gamma=1.171, delta=0.043, M=-1.126e+003
50 -> 97 fr=12971 (0.2951), cf=0.891, gamma=1.171, delta=0.043, M=-1.126e+003
31 56 61 -> ~96 fr=6141 (0.1397), cf=0.956, gamma=1.257, delta=0.029, M=-1.039e+003
31 56 61 -> 97 fr=6141 (0.1397), cf=0.956, gamma=1.257, delta=0.029, M=-1.039e+003
31 56 -> ~96 fr=6199 (0.1410), cf=0.955, gamma=1.255, delta=0.029, M=-1.039e+003
31 56 -> 97 fr=6199 (0.1410), cf=0.955, gamma=1.255, delta=0.029, M=-1.039e+003
31 61 -> ~96 fr=6184 (0.1407), cf=0.953, gamma=1.253, delta=0.028, M=-1.017e+003
31 61 -> 97 fr=6184 (0.1407), cf=0.953, gamma=1.253, delta=0.028, M=-1.017e+003
31 -> 97 fr=6242 (0.1420), cf=0.952, gamma=1.252, delta=0.029, M=-1.015e+003
44 56 61 -> ~96 fr=9890 (0.2250), cf=0.904, gamma=1.188, delta=0.036, M=-9.478e+002
44 56 61 -> 97 fr=9890 (0.2250), cf=0.904, gamma=1.188, delta=0.036, M=-9.478e+002
44 56 -> ~96 fr=10001 (0.2275), cf=0.903, gamma=1.187, delta=0.036, M=-9.458e+002
44 56 -> 97 fr=10001 (0.2275), cf=0.903, gamma=1.187, delta=0.036, M=-9.458e+002
44 61 -> ~96 fr=10063 (0.2289), cf=0.901, gamma=1.184, delta=0.036, M=-9.281e+002
44 61 -> 97 fr=10063 (0.2289), cf=0.901, gamma=1.184, delta=0.036, M=-9.281e+002
44 -> ~96 fr=10176 (0.2315), cf=0.900, gamma=1.183, delta=0.036, M=-9.249e+002
44 -> 97 fr=10176 (0.2315), cf=0.900, gamma=1.183, delta=0.036, M=-9.249e+002
16 56 61 -> ~96 fr=5326 (0.1212), cf=0.948, gamma=1.246, delta=0.024, M=-8.074e+002
16 56 61 -> 97 fr=5326 (0.1212), cf=0.948, gamma=1.246, delta=0.024, M=-8.074e+002
16 56 -> ~96 fr=5393 (0.1227), cf=0.946, gamma=1.244, delta=0.024, M=-8.035e+002
16 56 -> 97 fr=5393 (0.1227), cf=0.946, gamma=1.244, delta=0.024, M=-8.035e+002
16 61 -> ~96 fr=5380 (0.1224), cf=0.945, gamma=1.242, delta=0.024, M=-7.890e+002
16 61 -> 97 fr=5380 (0.1224), cf=0.945, gamma=1.242, delta=0.024, M=-7.890e+002
16 -> 97 fr=5447 (0.1239), cf=0.943, gamma=1.240, delta=0.024, M=-7.825e+002
56 -> ~96 fr=33039 (0.7516), cf=0.775, gamma=1.019, delta=0.014, M=-6.655e+002
26 61 -> ~96 fr=5263 (0.1197), cf=0.898, gamma=1.181, delta=0.018, M=-4.155e+002
26 61 -> 97 fr=5263 (0.1197), cf=0.898, gamma=1.181, delta=0.018, M=-4.155e+002
26 -> 97 fr=5323 (0.1211), cf=0.897, gamma=1.179, delta=0.018, M=-4.121e+002
17 61 -> ~96 fr=11835 (0.2692), cf=0.842, gamma=1.107, delta=0.026, M=-3.971e+002
17 61 -> 97 fr=11835 (0.2692), cf=0.842, gamma=1.107, delta=0.026, M=-3.971e+002
17 -> ~96 fr=11980 (0.2725), cf=0.840, gamma=1.105, delta=0.026, M=-3.918e+002
17 -> 97 fr=11980 (0.2725), cf=0.840, gamma=1.105, delta=0.026, M=-3.918e+002
45 66 -> 96 fr=8989 (0.2045), cf=0.260, gamma=1.085, delta=0.016, M=-2.000e+002
45 66 -> ~97 fr=8989 (0.2045), cf=0.260, gamma=1.085, delta=0.016, M=-2.000e+002
45 -> ~97 fr=9534 (0.2169), cf=0.254, gamma=1.060, delta=0.012, M=-1.639e+002
2 61 -> ~96 fr=23746 (0.5402), cf=0.784, gamma=1.031, delta=0.016, M=-1.492e+002
2 61 -> 97 fr=23746 (0.5402), cf=0.784, gamma=1.031, delta=0.016, M=-1.492e+002
2 -> ~96 fr=23922 (0.5442), cf=0.783, gamma=1.029, delta=0.015, M=-1.351e+002
2 -> 97 fr=23922 (0.5442), cf=0.783, gamma=1.029, delta=0.015, M=-1.351e+002
15 61 -> ~96 fr=7807 (0.1776), cf=0.812, gamma=1.067, delta=0.011, M=-9.539e+001
15 61 -> 97 fr=7807 (0.1776), cf=0.812, gamma=1.067, delta=0.011, M=-9.539e+001
15 -> 97 fr=7884 (0.1794), cf=0.810, gamma=1.065, delta=0.011, M=-9.001e+001
9 66 -> 96 fr=9627 (0.2190), cf=0.244, gamma=1.021, delta=0.004, M=-2.949e+001
9 66 -> ~97 fr=9627 (0.2190), cf=0.244, gamma=1.021, delta=0.004, M=-2.949e+001
66 -> ~97 fr=9629 (0.2191), cf=0.244, gamma=1.021, delta=0.004, M=-2.931e+001
61 -> ~96 fr=33042 (0.7517), cf=0.762, gamma=1.002, delta=0.001, M=-1.689e+001
