1 5 19 23 27 -> ~38 fr=341 (0.4935), cf=0.810, gamma=1.244, delta=0.097, M=-6.243e+001
1 23 -> ~38 fr=401 (0.5803), cf=0.687, gamma=1.054, delta=0.030, M=-1.195e+001
1 23 -> 37 fr=401 (0.5803), cf=0.687, gamma=1.054, delta=0.030, M=-1.195e+001
1 19 -> ~38 fr=405 (0.5861), cf=0.685, gamma=1.052, delta=0.029, M=-1.193e+001
1 19 -> 37 fr=405 (0.5861), cf=0.685, gamma=1.052, delta=0.029, M=-1.193e+001
9 19 27 -> ~38 fr=406 (0.5876), cf=0.685, gamma=1.051, delta=0.029, M=-1.179e+001
9 19 27 -> 37 fr=406 (0.5876), cf=0.685, gamma=1.051, delta=0.029, M=-1.179e+001
9 27 32 -> ~38 fr=373 (0.5398), cf=0.695, gamma=1.067, delta=0.034, M=-1.169e+001
9 27 32 -> 37 fr=373 (0.5398), cf=0.695, gamma=1.067, delta=0.034, M=-1.169e+001
19 27 32 -> ~38 fr=370 (0.5355), cf=0.694, gamma=1.066, delta=0.033, M=-1.120e+001
19 27 32 -> 37 fr=370 (0.5355), cf=0.694, gamma=1.066, delta=0.033, M=-1.120e+001
14 23 32 -> ~38 fr=355 (0.5137), cf=0.697, gamma=1.071, delta=0.034, M=-1.089e+001
14 23 32 -> 37 fr=355 (0.5137), cf=0.697, gamma=1.071, delta=0.034, M=-1.089e+001
1 32 -> ~38 fr=379 (0.5485), cf=0.690, gamma=1.060, delta=0.031, M=-1.069e+001
1 32 -> 37 fr=379 (0.5485), cf=0.690, gamma=1.060, delta=0.031, M=-1.069e+001
14 27 32 -> ~38 fr=341 (0.4935), cf=0.700, gamma=1.075, delta=0.035, M=-1.056e+001
14 27 32 -> 37 fr=341 (0.4935), cf=0.700, gamma=1.075, delta=0.035, M=-1.056e+001
9 23 32 -> ~38 fr=383 (0.5543), cf=0.689, gamma=1.058, delta=0.030, M=-1.054e+001
9 23 32 -> 37 fr=383 (0.5543), cf=0.689, gamma=1.058, delta=0.030, M=-1.054e+001
1 14 -> ~38 fr=374 (0.5412), cf=0.691, gamma=1.062, delta=0.031, M=-1.054e+001
1 14 -> 37 fr=374 (0.5412), cf=0.691, gamma=1.062, delta=0.031, M=-1.054e+001
23 32 -> ~38 fr=390 (0.5644), cf=0.687, gamma=1.054, delta=0.029, M=-1.044e+001
23 32 -> 37 fr=390 (0.5644), cf=0.687, gamma=1.054, delta=0.029, M=-1.044e+001
19 27 -> ~38 fr=416 (0.6020), cf=0.679, gamma=1.042, delta=0.024, M=-1.043e+001
19 27 -> 37 fr=416 (0.6020), cf=0.679, gamma=1.042, delta=0.024, M=-1.043e+001
27 32 -> ~38 fr=379 (0.5485), cf=0.688, gamma=1.056, delta=0.029, M=-9.726e+000
27 32 -> 37 fr=379 (0.5485), cf=0.688, gamma=1.056, delta=0.029, M=-9.726e+000
1 9 -> ~38 fr=404 (0.5847), cf=0.680, gamma=1.044, delta=0.025, M=-9.353e+000
1 9 -> 37 fr=404 (0.5847), cf=0.680, gamma=1.044, delta=0.025, M=-9.353e+000
19 23 -> ~38 fr=427 (0.6179), cf=0.672, gamma=1.033, delta=0.019, M=-9.128e+000
19 23 -> 37 fr=427 (0.6179), cf=0.672, gamma=1.033, delta=0.019, M=-9.128e+000
9 14 19 32 -> ~38 fr=345 (0.4993), cf=0.694, gamma=1.066, delta=0.031, M=-9.000e+000
9 14 19 32 -> 37 fr=345 (0.4993), cf=0.694, gamma=1.066, delta=0.031, M=-9.000e+000
14 19 32 -> ~38 fr=353 (0.5109), cf=0.692, gamma=1.063, delta=0.030, M=-8.972e+000
14 19 32 -> 37 fr=353 (0.5109), cf=0.692, gamma=1.063, delta=0.030, M=-8.972e+000
9 27 -> ~38 fr=415 (0.6006), cf=0.676, gamma=1.038, delta=0.022, M=-8.877e+000
9 27 -> 37 fr=415 (0.6006), cf=0.676, gamma=1.038, delta=0.022, M=-8.877e+000
9 19 32 -> ~38 fr=384 (0.5557), cf=0.683, gamma=1.049, delta=0.026, M=-8.486e+000
9 19 32 -> 37 fr=384 (0.5557), cf=0.683, gamma=1.049, delta=0.026, M=-8.486e+000
1 -> ~38 fr=414 (0.5991), cf=0.674, gamma=1.035, delta=0.020, M=-7.957e+000
27 -> ~38 fr=425 (0.6151), cf=0.670, gamma=1.029, delta=0.018, M=-7.611e+000
9 14 32 -> ~38 fr=352 (0.5094), cf=0.688, gamma=1.056, delta=0.027, M=-7.491e+000
9 14 32 -> 37 fr=352 (0.5094), cf=0.688, gamma=1.056, delta=0.027, M=-7.491e+000
14 32 -> ~38 fr=360 (0.5210), cf=0.686, gamma=1.053, delta=0.026, M=-7.468e+000
14 32 -> 37 fr=360 (0.5210), cf=0.686, gamma=1.053, delta=0.026, M=-7.468e+000
19 32 -> ~38 fr=392 (0.5673), cf=0.677, gamma=1.040, delta=0.022, M=-6.872e+000
19 32 -> 37 fr=392 (0.5673), cf=0.677, gamma=1.040, delta=0.022, M=-6.872e+000
9 32 -> ~38 fr=394 (0.5702), cf=0.676, gamma=1.038, delta=0.021, M=-6.589e+000
9 32 -> 37 fr=394 (0.5702), cf=0.676, gamma=1.038, delta=0.021, M=-6.589e+000
14 23 -> ~38 fr=398 (0.5760), cf=0.673, gamma=1.034, delta=0.019, M=-6.034e+000
14 23 -> 37 fr=398 (0.5760), cf=0.673, gamma=1.034, delta=0.019, M=-6.034e+000
23 -> ~38 fr=436 (0.6310), cf=0.664, gamma=1.019, delta=0.012, M=-5.821e+000
14 19 -> ~38 fr=398 (0.5760), cf=0.672, gamma=1.032, delta=0.018, M=-5.628e+000
14 19 -> 37 fr=398 (0.5760), cf=0.672, gamma=1.032, delta=0.018, M=-5.628e+000
9 19 -> ~38 fr=428 (0.6194), cf=0.665, gamma=1.021, delta=0.012, M=-5.135e+000
9 19 -> 37 fr=428 (0.6194), cf=0.665, gamma=1.021, delta=0.012, M=-5.135e+000
32 -> ~38 fr=402 (0.5818), cf=0.670, gamma=1.029, delta=0.016, M=-5.094e+000
19 -> ~38 fr=440 (0.6368), cf=0.660, gamma=1.013, delta=0.008, M=-4.242e+000
14 -> ~38 fr=405 (0.5861), cf=0.665, gamma=1.021, delta=0.012, M=-3.617e+000
9 -> ~38 fr=438 (0.6339), cf=0.656, gamma=1.007, delta=0.004, M=-1.997e+000
