1 5 19 23 27 -> ~38 fr=341 (0.4935), cf=0.818, gamma=1.270, delta=0.105, M=-7.241e+001
1 19 32 -> 37 fr=369 (0.5340), cf=0.698, gamma=1.083, delta=0.041, M=-1.581e+001
1 19 -> ~38 fr=406 (0.5876), cf=0.684, gamma=1.061, delta=0.034, M=-1.580e+001
1 19 -> 37 fr=406 (0.5876), cf=0.684, gamma=1.061, delta=0.034, M=-1.580e+001
1 27 -> ~38 fr=388 (0.5615), cf=0.690, gamma=1.072, delta=0.038, M=-1.569e+001
1 27 -> 37 fr=388 (0.5615), cf=0.690, gamma=1.072, delta=0.038, M=-1.569e+001
23 27 -> ~38 fr=409 (0.5919), cf=0.679, gamma=1.055, delta=0.031, M=-1.419e+001
23 27 -> 37 fr=409 (0.5919), cf=0.679, gamma=1.055, delta=0.031, M=-1.419e+001
1 14 -> ~38 fr=376 (0.5441), cf=0.691, gamma=1.073, delta=0.037, M=-1.409e+001
1 14 -> 37 fr=376 (0.5441), cf=0.691, gamma=1.073, delta=0.037, M=-1.409e+001
9 14 19 27 32 -> ~38 fr=323 (0.4674), cf=0.708, gamma=1.100, delta=0.042, M=-1.406e+001
9 14 19 27 32 -> 37 fr=323 (0.4674), cf=0.708, gamma=1.100, delta=0.042, M=-1.406e+001
1 32 -> ~38 fr=377 (0.5456), cf=0.690, gamma=1.072, delta=0.037, M=-1.393e+001
1 32 -> 37 fr=377 (0.5456), cf=0.690, gamma=1.072, delta=0.037, M=-1.393e+001
9 19 27 32 -> ~38 fr=356 (0.5152), cf=0.697, gamma=1.082, delta=0.039, M=-1.367e+001
9 19 27 32 -> 37 fr=356 (0.5152), cf=0.697, gamma=1.082, delta=0.039, M=-1.367e+001
9 14 19 23 32 -> ~38 fr=340 (0.4920), cf=0.701, gamma=1.089, delta=0.040, M=-1.342e+001
9 14 19 23 32 -> 37 fr=340 (0.4920), cf=0.701, gamma=1.089, delta=0.040, M=-1.342e+001
9 19 23 32 -> ~38 fr=369 (0.5340), cf=0.691, gamma=1.073, delta=0.036, M=-1.306e+001
9 19 23 32 -> 37 fr=369 (0.5340), cf=0.691, gamma=1.073, delta=0.036, M=-1.306e+001
14 19 23 32 -> ~38 fr=346 (0.5007), cf=0.698, gamma=1.083, delta=0.038, M=-1.285e+001
14 19 23 32 -> 37 fr=346 (0.5007), cf=0.698, gamma=1.083, delta=0.038, M=-1.285e+001
1 9 -> ~38 fr=405 (0.5861), cf=0.678, gamma=1.053, delta=0.030, M=-1.281e+001
1 9 -> 37 fr=405 (0.5861), cf=0.678, gamma=1.053, delta=0.030, M=-1.281e+001
9 19 27 -> ~38 fr=401 (0.5803), cf=0.680, gamma=1.055, delta=0.030, M=-1.272e+001
9 19 27 -> 37 fr=401 (0.5803), cf=0.680, gamma=1.055, delta=0.030, M=-1.272e+001
9 14 23 32 -> ~38 fr=346 (0.5007), cf=0.696, gamma=1.081, delta=0.038, M=-1.236e+001
9 14 23 32 -> 37 fr=346 (0.5007), cf=0.696, gamma=1.081, delta=0.038, M=-1.236e+001
9 27 32 -> ~38 fr=364 (0.5268), cf=0.691, gamma=1.073, delta=0.036, M=-1.233e+001
9 27 32 -> 37 fr=364 (0.5268), cf=0.691, gamma=1.073, delta=0.036, M=-1.233e+001
9 23 32 -> ~38 fr=378 (0.5470), cf=0.686, gamma=1.065, delta=0.034, M=-1.217e+001
9 23 32 -> 37 fr=378 (0.5470), cf=0.686, gamma=1.065, delta=0.034, M=-1.217e+001
14 19 27 32 -> ~38 fr=328 (0.4747), cf=0.701, gamma=1.088, delta=0.039, M=-1.214e+001
14 19 27 32 -> 37 fr=328 (0.4747), cf=0.701, gamma=1.088, delta=0.039, M=-1.214e+001
19 23 32 -> ~38 fr=376 (0.5441), cf=0.686, gamma=1.065, delta=0.033, M=-1.196e+001
19 23 32 -> 37 fr=376 (0.5441), cf=0.686, gamma=1.065, delta=0.033, M=-1.196e+001
14 23 32 -> ~38 fr=352 (0.5094), cf=0.693, gamma=1.076, delta=0.036, M=-1.183e+001
14 23 32 -> 37 fr=352 (0.5094), cf=0.693, gamma=1.076, delta=0.036, M=-1.183e+001
1 -> ~38 fr=414 (0.5991), cf=0.673, gamma=1.045, delta=0.026, M=-1.181e+001
23 32 -> ~38 fr=385 (0.5572), cf=0.681, gamma=1.058, delta=0.031, M=-1.112e+001
23 32 -> 37 fr=385 (0.5572), cf=0.681, gamma=1.058, delta=0.031, M=-1.112e+001
14 19 27 -> ~38 fr=373 (0.5398), cf=0.684, gamma=1.063, delta=0.032, M=-1.091e+001
14 19 27 -> 37 fr=373 (0.5398), cf=0.684, gamma=1.063, delta=0.032, M=-1.091e+001
19 27 32 -> ~38 fr=362 (0.5239), cf=0.687, gamma=1.067, delta=0.033, M=-1.069e+001
19 27 32 -> 37 fr=362 (0.5239), cf=0.687, gamma=1.067, delta=0.033, M=-1.069e+001
19 27 -> ~38 fr=410 (0.5933), cf=0.672, gamma=1.044, delta=0.025, M=-1.048e+001
19 27 -> 37 fr=410 (0.5933), cf=0.672, gamma=1.044, delta=0.025, M=-1.048e+001
14 27 32 -> ~38 fr=333 (0.4819), cf=0.694, gamma=1.077, delta=0.035, M=-1.036e+001
14 27 32 -> 37 fr=333 (0.4819), cf=0.694, gamma=1.077, delta=0.035, M=-1.036e+001
14 19 23 -> ~38 fr=391 (0.5658), cf=0.678, gamma=1.052, delta=0.028, M=-1.027e+001
14 19 23 -> 37 fr=391 (0.5658), cf=0.678, gamma=1.052, delta=0.028, M=-1.027e+001
9 14 19 32 -> ~38 fr=342 (0.4949), cf=0.691, gamma=1.073, delta=0.034, M=-1.022e+001
9 14 19 32 -> 37 fr=342 (0.4949), cf=0.691, gamma=1.073, delta=0.034, M=-1.022e+001
19 23 -> ~38 fr=424 (0.6136), cf=0.666, gamma=1.034, delta=0.020, M=-9.683e+000
19 23 -> 37 fr=424 (0.6136), cf=0.666, gamma=1.034, delta=0.020, M=-9.683e+000
9 27 -> ~38 fr=409 (0.5919), cf=0.670, gamma=1.041, delta=0.023, M=-9.494e+000
9 27 -> 37 fr=409 (0.5919), cf=0.670, gamma=1.041, delta=0.023, M=-9.494e+000
27 32 -> ~38 fr=370 (0.5355), cf=0.681, gamma=1.058, delta=0.029, M=-9.476e+000
27 32 -> 37 fr=370 (0.5355), cf=0.681, gamma=1.058, delta=0.029, M=-9.476e+000
14 19 32 -> ~38 fr=349 (0.5051), cf=0.686, gamma=1.065, delta=0.031, M=-9.123e+000
14 19 32 -> 37 fr=349 (0.5051), cf=0.686, gamma=1.065, delta=0.031, M=-9.123e+000
9 14 32 -> ~38 fr=348 (0.5036), cf=0.685, gamma=1.064, delta=0.030, M=-8.854e+000
9 14 32 -> 37 fr=348 (0.5036), cf=0.685, gamma=1.064, delta=0.030, M=-8.854e+000
9 19 32 -> ~38 fr=378 (0.5470), cf=0.677, gamma=1.052, delta=0.027, M=-8.769e+000
9 19 32 -> 37 fr=378 (0.5470), cf=0.677, gamma=1.052, delta=0.027, M=-8.769e+000
14 23 -> ~38 fr=397 (0.5745), cf=0.671, gamma=1.041, delta=0.023, M=-8.000e+000
14 23 -> 37 fr=397 (0.5745), cf=0.671, gamma=1.041, delta=0.023, M=-8.000e+000
14 27 -> ~38 fr=378 (0.5470), cf=0.675, gamma=1.048, delta=0.025, M=-7.892e+000
14 27 -> 37 fr=378 (0.5470), cf=0.675, gamma=1.048, delta=0.025, M=-7.892e+000
14 32 -> ~38 fr=355 (0.5137), cf=0.680, gamma=1.056, delta=0.027, M=-7.828e+000
14 32 -> 37 fr=355 (0.5137), cf=0.680, gamma=1.056, delta=0.027, M=-7.828e+000
9 32 -> ~38 fr=387 (0.5601), cf=0.672, gamma=1.043, delta=0.023, M=-7.529e+000
9 32 -> 37 fr=387 (0.5601), cf=0.672, gamma=1.043, delta=0.023, M=-7.529e+000
27 -> ~38 fr=418 (0.6049), cf=0.663, gamma=1.030, delta=0.018, M=-7.394e+000
9 14 19 -> ~38 fr=386 (0.5586), cf=0.671, gamma=1.042, delta=0.023, M=-7.233e+000
9 14 19 -> 37 fr=386 (0.5586), cf=0.671, gamma=1.042, delta=0.023, M=-7.233e+000
23 -> ~38 fr=433 (0.6266), cf=0.658, gamma=1.022, delta=0.013, M=-7.219e+000
14 19 -> ~38 fr=396 (0.5731), cf=0.668, gamma=1.037, delta=0.020, M=-6.779e+000
14 19 -> 37 fr=396 (0.5731), cf=0.668, gamma=1.037, delta=0.020, M=-6.779e+000
19 32 -> ~38 fr=386 (0.5586), cf=0.669, gamma=1.039, delta=0.021, M=-6.408e+000
19 32 -> 37 fr=386 (0.5586), cf=0.669, gamma=1.039, delta=0.021, M=-6.408e+000
9 19 -> ~38 fr=425 (0.6151), cf=0.658, gamma=1.022, delta=0.013, M=-5.591e+000
9 19 -> 37 fr=425 (0.6151), cf=0.658, gamma=1.022, delta=0.013, M=-5.591e+000
32 -> ~38 fr=395 (0.5716), cf=0.664, gamma=1.031, delta=0.017, M=-5.272e+000
9 14 -> ~38 fr=392 (0.5673), cf=0.663, gamma=1.030, delta=0.016, M=-4.891e+000
9 14 -> 37 fr=392 (0.5673), cf=0.663, gamma=1.030, delta=0.016, M=-4.891e+000
14 -> ~38 fr=402 (0.5818), cf=0.660, gamma=1.025, delta=0.014, M=-4.424e+000
19 -> ~38 fr=436 (0.6310), cf=0.652, gamma=1.012, delta=0.007, M=-3.953e+000
9 -> ~38 fr=434 (0.6281), cf=0.650, gamma=1.009, delta=0.006, M=-2.612e+000
