1 -> 31 fr=516 (0.4128), cf=0.936, gamma=1.111, delta=0.041, M=-3.761e+001
2 -> ~33 fr=252 (0.2016), cf=0.984, gamma=1.013, delta=0.003, M=-2.078e+000
2 -> ~32 fr=235 (0.1880), cf=0.918, gamma=1.024, delta=0.004, M=-2.062e+000
11 -> ~35 fr=352 (0.2816), cf=1.000, gamma=1.005, delta=0.001, M=-1.989e+000
15 -> ~39 fr=1069 (0.8552), cf=1.000, gamma=1.001, delta=0.001, M=-1.932e+000
20 -> ~32 fr=1071 (0.8568), cf=0.899, gamma=1.003, delta=0.002, M=-1.928e+000
30 -> 31 fr=192 (0.1536), cf=0.869, gamma=1.030, delta=0.005, M=-1.922e+000
27 -> ~35 fr=1211 (0.9688), cf=0.996, gamma=1.001, delta=0.001, M=-1.879e+000
12 -> ~35 fr=568 (0.4544), cf=0.998, gamma=1.003, delta=0.001, M=-1.854e+000
23 -> ~36 fr=762 (0.6096), cf=0.999, gamma=1.002, delta=0.001, M=-1.789e+000
20 -> ~36 fr=1188 (0.9504), cf=0.997, gamma=1.001, delta=0.001, M=-1.737e+000
18 -> ~33 fr=529 (0.4232), cf=0.978, gamma=1.006, delta=0.003, M=-1.714e+000
12 29 -> ~32 fr=442 (0.3536), cf=0.908, gamma=1.012, delta=0.004, M=-1.701e+000
15 -> ~35 fr=1065 (0.8520), cf=0.996, gamma=1.001, delta=0.001, M=-1.555e+000
25 -> ~33 fr=135 (0.1080), cf=0.985, gamma=1.014, delta=0.001, M=-1.418e+000
2 -> ~35 fr=256 (0.2048), cf=1.000, gamma=1.005, delta=0.001, M=-1.378e+000
20 -> ~35 fr=1186 (0.9488), cf=0.996, gamma=1.001, delta=0.001, M=-1.377e+000
11 -> ~36 fr=352 (0.2816), cf=1.000, gamma=1.003, delta=0.001, M=-1.325e+000
15 -> ~37 fr=1068 (0.8544), cf=0.999, gamma=1.001, delta=0.001, M=-1.314e+000
12 -> ~32 fr=514 (0.4112), cf=0.903, gamma=1.007, delta=0.003, M=-1.293e+000
30 -> ~35 fr=221 (0.1768), cf=1.000, gamma=1.005, delta=0.001, M=-1.170e+000
1 -> ~37 fr=551 (0.4408), cf=1.000, gamma=1.002, delta=0.001, M=-1.163e+000
18 -> ~37 fr=541 (0.4328), cf=1.000, gamma=1.002, delta=0.001, M=-1.135e+000
3 -> ~36 fr=294 (0.2352), cf=1.000, gamma=1.003, delta=0.001, M=-1.074e+000
18 -> 31 fr=459 (0.3672), cf=0.848, gamma=1.006, delta=0.002, M=-1.027e+000
27 -> ~34 fr=1198 (0.9584), cf=0.985, gamma=1.000, delta=0.000, M=-8.913e-001
6 -> ~37 fr=433 (0.3464), cf=1.000, gamma=1.002, delta=0.001, M=-8.509e-001
2 -> ~34 fr=253 (0.2024), cf=0.988, gamma=1.004, delta=0.001, M=-8.367e-001
30 -> ~36 fr=221 (0.1768), cf=1.000, gamma=1.003, delta=0.001, M=-7.793e-001
26 30 -> ~33 fr=200 (0.1600), cf=0.976, gamma=1.004, delta=0.001, M=-7.430e-001
18 29 -> ~32 fr=407 (0.3256), cf=0.898, gamma=1.002, delta=0.001, M=-7.266e-001
25 -> ~35 fr=137 (0.1096), cf=1.000, gamma=1.005, delta=0.001, M=-6.980e-001
19 -> ~39 fr=623 (0.4984), cf=1.000, gamma=1.001, delta=0.000, M=-6.900e-001
11 -> ~37 fr=352 (0.2816), cf=1.000, gamma=1.002, delta=0.000, M=-6.618e-001
29 -> ~32 fr=923 (0.7384), cf=0.897, gamma=1.000, delta=0.000, M=-6.510e-001
12 -> ~39 fr=569 (0.4552), cf=1.000, gamma=1.001, delta=0.000, M=-6.073e-001
18 -> ~34 fr=533 (0.4264), cf=0.985, gamma=1.000, delta=0.000, M=-5.885e-001
1 -> ~39 fr=551 (0.4408), cf=1.000, gamma=1.001, delta=0.000, M=-5.812e-001
6 -> ~36 fr=432 (0.3456), cf=0.998, gamma=1.001, delta=0.000, M=-5.633e-001
30 -> ~33 fr=215 (0.1720), cf=0.973, gamma=1.001, delta=0.000, M=-5.560e-001
3 -> ~37 fr=294 (0.2352), cf=1.000, gamma=1.002, delta=0.000, M=-5.365e-001
13 -> ~37 fr=279 (0.2232), cf=1.000, gamma=1.002, delta=0.000, M=-5.054e-001
24 -> ~39 fr=487 (0.3896), cf=1.000, gamma=1.001, delta=0.000, M=-4.936e-001
23 -> ~37 fr=762 (0.6096), cf=0.999, gamma=1.000, delta=0.000, M=-4.658e-001
25 -> ~36 fr=137 (0.1096), cf=1.000, gamma=1.003, delta=0.000, M=-4.649e-001
2 -> ~37 fr=256 (0.2048), cf=1.000, gamma=1.002, delta=0.000, M=-4.585e-001
7 -> ~39 fr=453 (0.3624), cf=1.000, gamma=1.001, delta=0.000, M=-4.500e-001
8 -> ~37 fr=248 (0.1984), cf=1.000, gamma=1.002, delta=0.000, M=-4.425e-001
8 13 -> ~36 fr=129 (0.1032), cf=1.000, gamma=1.003, delta=0.000, M=-4.362e-001
8 19 -> ~36 fr=127 (0.1016), cf=1.000, gamma=1.003, delta=0.000, M=-4.291e-001
6 -> ~39 fr=433 (0.3464), cf=1.000, gamma=1.001, delta=0.000, M=-4.253e-001
30 -> ~37 fr=221 (0.1768), cf=1.000, gamma=1.002, delta=0.000, M=-3.893e-001
11 -> ~39 fr=352 (0.2816), cf=1.000, gamma=1.001, delta=0.000, M=-3.307e-001
7 24 -> ~37 fr=161 (0.1288), cf=1.000, gamma=1.002, delta=0.000, M=-2.759e-001
12 24 -> ~37 fr=159 (0.1272), cf=1.000, gamma=1.002, delta=0.000, M=-2.722e-001
3 -> ~39 fr=294 (0.2352), cf=1.000, gamma=1.001, delta=0.000, M=-2.681e-001
25 -> ~37 fr=137 (0.1096), cf=1.000, gamma=1.002, delta=0.000, M=-2.323e-001
2 -> ~39 fr=256 (0.2048), cf=1.000, gamma=1.001, delta=0.000, M=-2.292e-001
30 -> ~39 fr=221 (0.1768), cf=1.000, gamma=1.001, delta=0.000, M=-1.946e-001
25 -> ~39 fr=137 (0.1096), cf=1.000, gamma=1.001, delta=0.000, M=-1.161e-001
