25 27 47 -> ~55 fr=72 (0.5180), cf=0.973, gamma=1.252, delta=0.104, M=-2.096e+001
6 12 24 -> ~56 fr=21 (0.1511), cf=0.583, gamma=2.616, delta=0.093, M=-1.795e+001
6 14 54 -> 55 fr=19 (0.1367), cf=0.633, gamma=2.840, delta=0.089, M=-1.769e+001
6 14 54 -> ~56 fr=19 (0.1367), cf=0.633, gamma=2.840, delta=0.089, M=-1.769e+001
23 27 47 -> ~55 fr=78 (0.5612), cf=0.940, gamma=1.210, delta=0.097, M=-1.757e+001
23 27 47 -> 56 fr=78 (0.5612), cf=0.940, gamma=1.210, delta=0.097, M=-1.757e+001
1 27 29 47 -> ~55 fr=78 (0.5612), cf=0.940, gamma=1.210, delta=0.097, M=-1.757e+001
1 27 29 47 -> 56 fr=78 (0.5612), cf=0.940, gamma=1.210, delta=0.097, M=-1.757e+001
15 17 27 29 -> ~55 fr=70 (0.5036), cf=0.959, gamma=1.234, delta=0.096, M=-1.749e+001
15 17 27 29 -> 56 fr=70 (0.5036), cf=0.959, gamma=1.234, delta=0.096, M=-1.749e+001
15 27 29 39 -> ~55 fr=65 (0.4676), cf=0.970, gamma=1.249, delta=0.093, M=-1.732e+001
15 27 29 39 -> 56 fr=65 (0.4676), cf=0.970, gamma=1.249, delta=0.093, M=-1.732e+001
27 29 39 -> ~55 fr=84 (0.6043), cf=0.923, gamma=1.188, delta=0.096, M=-1.726e+001
27 29 39 -> 56 fr=84 (0.6043), cf=0.923, gamma=1.188, delta=0.096, M=-1.726e+001
25 47 -> ~55 fr=73 (0.5252), cf=0.948, gamma=1.220, delta=0.095, M=-1.690e+001
25 47 -> 56 fr=73 (0.5252), cf=0.948, gamma=1.220, delta=0.095, M=-1.690e+001
15 17 27 -> ~55 fr=73 (0.5252), cf=0.948, gamma=1.220, delta=0.095, M=-1.690e+001
15 17 27 -> 56 fr=73 (0.5252), cf=0.948, gamma=1.220, delta=0.095, M=-1.690e+001
14 54 -> 55 fr=19 (0.1367), cf=0.613, gamma=2.748, delta=0.087, M=-1.685e+001
14 54 -> ~56 fr=19 (0.1367), cf=0.613, gamma=2.748, delta=0.087, M=-1.685e+001
25 29 -> ~55 fr=80 (0.5755), cf=0.930, gamma=1.197, delta=0.095, M=-1.677e+001
25 29 -> 56 fr=80 (0.5755), cf=0.930, gamma=1.197, delta=0.095, M=-1.677e+001
1 27 47 -> ~55 fr=83 (0.5971), cf=0.922, gamma=1.187, delta=0.094, M=-1.666e+001
1 27 47 -> 56 fr=83 (0.5971), cf=0.922, gamma=1.187, delta=0.094, M=-1.666e+001
6 12 -> 55 fr=30 (0.2158), cf=0.375, gamma=1.681, delta=0.087, M=-1.661e+001
6 12 -> ~56 fr=30 (0.2158), cf=0.375, gamma=1.681, delta=0.087, M=-1.661e+001
15 25 30 -> ~55 fr=58 (0.4173), cf=0.983, gamma=1.265, delta=0.087, M=-1.661e+001
15 25 30 -> 56 fr=58 (0.4173), cf=0.983, gamma=1.265, delta=0.087, M=-1.661e+001
15 27 39 -> ~55 fr=68 (0.4892), cf=0.958, gamma=1.233, delta=0.092, M=-1.650e+001
15 27 39 -> 56 fr=68 (0.4892), cf=0.958, gamma=1.233, delta=0.092, M=-1.650e+001
23 27 39 -> ~55 fr=76 (0.5468), cf=0.938, gamma=1.208, delta=0.094, M=-1.648e+001
1 23 27 -> ~55 fr=76 (0.5468), cf=0.938, gamma=1.208, delta=0.094, M=-1.648e+001
23 27 39 -> 56 fr=76 (0.5468), cf=0.938, gamma=1.208, delta=0.094, M=-1.648e+001
1 23 27 -> 56 fr=76 (0.5468), cf=0.938, gamma=1.208, delta=0.094, M=-1.648e+001
23 29 30 47 -> ~55 fr=76 (0.5468), cf=0.938, gamma=1.208, delta=0.094, M=-1.648e+001
23 29 30 47 -> 56 fr=76 (0.5468), cf=0.938, gamma=1.208, delta=0.094, M=-1.648e+001
23 27 -> ~55 fr=85 (0.6115), cf=0.914, gamma=1.176, delta=0.092, M=-1.608e+001
23 27 -> 56 fr=85 (0.6115), cf=0.914, gamma=1.176, delta=0.092, M=-1.608e+001
27 29 47 -> ~55 fr=85 (0.6115), cf=0.914, gamma=1.176, delta=0.092, M=-1.608e+001
27 29 47 -> 56 fr=85 (0.6115), cf=0.914, gamma=1.176, delta=0.092, M=-1.608e+001
15 25 -> ~55 fr=62 (0.4460), cf=0.969, gamma=1.247, delta=0.088, M=-1.592e+001
15 23 -> ~55 fr=62 (0.4460), cf=0.969, gamma=1.247, delta=0.088, M=-1.592e+001
15 25 -> 56 fr=62 (0.4460), cf=0.969, gamma=1.247, delta=0.088, M=-1.592e+001
15 23 -> 56 fr=62 (0.4460), cf=0.969, gamma=1.247, delta=0.088, M=-1.592e+001
27 47 -> ~55 fr=90 (0.6475), cf=0.900, gamma=1.158, delta=0.089, M=-1.582e+001
27 47 -> 56 fr=90 (0.6475), cf=0.900, gamma=1.158, delta=0.089, M=-1.582e+001
30 47 -> ~55 fr=92 (0.6619), cf=0.893, gamma=1.150, delta=0.086, M=-1.552e+001
30 47 -> 56 fr=92 (0.6619), cf=0.893, gamma=1.150, delta=0.086, M=-1.552e+001
6 11 24 -> 55 fr=20 (0.1439), cf=0.556, gamma=2.491, delta=0.086, M=-1.552e+001
6 11 24 -> ~56 fr=20 (0.1439), cf=0.556, gamma=2.491, delta=0.086, M=-1.552e+001
12 54 -> 55 fr=23 (0.1655), cf=0.489, gamma=2.194, delta=0.090, M=-1.549e+001
12 54 -> ~56 fr=23 (0.1655), cf=0.489, gamma=2.194, delta=0.090, M=-1.549e+001
1 27 29 -> ~55 fr=84 (0.6043), cf=0.913, gamma=1.175, delta=0.090, M=-1.549e+001
1 27 29 -> 56 fr=84 (0.6043), cf=0.913, gamma=1.175, delta=0.090, M=-1.549e+001
15 27 29 -> ~55 fr=70 (0.5036), cf=0.946, gamma=1.217, delta=0.090, M=-1.541e+001
15 27 29 -> 56 fr=70 (0.5036), cf=0.946, gamma=1.217, delta=0.090, M=-1.541e+001
6 24 -> 55 fr=21 (0.1511), cf=0.525, gamma=2.354, delta=0.087, M=-1.518e+001
27 39 -> ~55 fr=89 (0.6403), cf=0.899, gamma=1.157, delta=0.087, M=-1.518e+001
6 24 -> ~56 fr=21 (0.1511), cf=0.525, gamma=2.354, delta=0.087, M=-1.518e+001
27 39 -> 56 fr=89 (0.6403), cf=0.899, gamma=1.157, delta=0.087, M=-1.518e+001
26 -> 55 fr=14 (0.1007), cf=0.737, gamma=3.304, delta=0.070, M=-1.515e+001
23 29 30 -> ~55 fr=80 (0.5755), cf=0.920, gamma=1.183, delta=0.089, M=-1.498e+001
23 29 30 -> 56 fr=80 (0.5755), cf=0.920, gamma=1.183, delta=0.089, M=-1.498e+001
15 27 -> ~55 fr=73 (0.5252), cf=0.936, gamma=1.205, delta=0.089, M=-1.496e+001
15 27 -> 56 fr=73 (0.5252), cf=0.936, gamma=1.205, delta=0.089, M=-1.496e+001
25 30 -> ~55 fr=76 (0.5468), cf=0.927, gamma=1.193, delta=0.088, M=-1.465e+001
25 30 -> 56 fr=76 (0.5468), cf=0.927, gamma=1.193, delta=0.088, M=-1.465e+001
47 53 -> ~55 fr=64 (0.4604), cf=0.955, gamma=1.229, delta=0.086, M=-1.464e+001
47 53 -> 56 fr=64 (0.4604), cf=0.955, gamma=1.229, delta=0.086, M=-1.464e+001
6 11 14 -> 55 fr=21 (0.1511), cf=0.512, gamma=2.297, delta=0.085, M=-1.456e+001
6 11 14 -> ~56 fr=21 (0.1511), cf=0.512, gamma=2.297, delta=0.085, M=-1.456e+001
23 25 -> ~55 fr=72 (0.5180), cf=0.935, gamma=1.203, delta=0.088, M=-1.448e+001
23 25 -> 56 fr=72 (0.5180), cf=0.935, gamma=1.203, delta=0.088, M=-1.448e+001
1 23 29 47 -> ~55 fr=72 (0.5180), cf=0.935, gamma=1.203, delta=0.088, M=-1.448e+001
1 23 29 47 -> 56 fr=72 (0.5180), cf=0.935, gamma=1.203, delta=0.088, M=-1.448e+001
23 29 47 -> ~55 fr=79 (0.5683), cf=0.919, gamma=1.182, delta=0.088, M=-1.446e+001
23 29 47 -> 56 fr=79 (0.5683), cf=0.919, gamma=1.182, delta=0.088, M=-1.446e+001
6 14 -> 55 fr=23 (0.1655), cf=0.469, gamma=2.105, delta=0.087, M=-1.438e+001
6 14 -> ~56 fr=23 (0.1655), cf=0.469, gamma=2.105, delta=0.087, M=-1.438e+001
1 27 -> ~55 fr=90 (0.6475), cf=0.891, gamma=1.147, delta=0.083, M=-1.421e+001
1 27 -> 56 fr=90 (0.6475), cf=0.891, gamma=1.147, delta=0.083, M=-1.421e+001
11 12 24 -> 55 fr=20 (0.1439), cf=0.526, gamma=2.360, delta=0.083, M=-1.421e+001
11 12 24 -> ~56 fr=20 (0.1439), cf=0.526, gamma=2.360, delta=0.083, M=-1.421e+001
12 24 -> 55 fr=21 (0.1511), cf=0.500, gamma=2.242, delta=0.084, M=-1.397e+001
12 24 -> ~56 fr=21 (0.1511), cf=0.500, gamma=2.242, delta=0.084, M=-1.397e+001
29 30 -> ~55 fr=92 (0.6619), cf=0.885, gamma=1.139, delta=0.081, M=-1.394e+001
29 30 -> 56 fr=92 (0.6619), cf=0.885, gamma=1.139, delta=0.081, M=-1.394e+001
1 29 47 -> ~55 fr=81 (0.5827), cf=0.910, gamma=1.171, delta=0.085, M=-1.385e+001
1 29 47 -> 56 fr=81 (0.5827), cf=0.910, gamma=1.171, delta=0.085, M=-1.385e+001
27 -> ~55 fr=100 (0.7194), cf=0.862, gamma=1.110, delta=0.071, M=-1.377e+001
19 30 53 -> ~55 fr=57 (0.4101), cf=0.966, gamma=1.243, delta=0.080, M=-1.375e+001
1 30 53 -> ~55 fr=57 (0.4101), cf=0.966, gamma=1.243, delta=0.080, M=-1.375e+001
19 30 53 -> 56 fr=57 (0.4101), cf=0.966, gamma=1.243, delta=0.080, M=-1.375e+001
1 30 53 -> 56 fr=57 (0.4101), cf=0.966, gamma=1.243, delta=0.080, M=-1.375e+001
25 34 53 -> ~55 fr=44 (0.3165), cf=1.000, gamma=1.287, delta=0.071, M=-1.370e+001
25 34 53 -> 56 fr=44 (0.3165), cf=1.000, gamma=1.287, delta=0.071, M=-1.370e+001
19 25 53 -> ~55 fr=51 (0.3669), cf=0.981, gamma=1.262, delta=0.076, M=-1.364e+001
1 25 53 -> ~55 fr=51 (0.3669), cf=0.981, gamma=1.262, delta=0.076, M=-1.364e+001
19 25 53 -> 56 fr=51 (0.3669), cf=0.981, gamma=1.262, delta=0.076, M=-1.364e+001
1 25 53 -> 56 fr=51 (0.3669), cf=0.981, gamma=1.262, delta=0.076, M=-1.364e+001
15 17 29 -> ~55 fr=70 (0.5036), cf=0.933, gamma=1.201, delta=0.084, M=-1.355e+001
15 17 29 -> 56 fr=70 (0.5036), cf=0.933, gamma=1.201, delta=0.084, M=-1.355e+001
25 53 -> ~55 fr=56 (0.4029), cf=0.966, gamma=1.243, delta=0.079, M=-1.333e+001
25 53 -> 56 fr=56 (0.4029), cf=0.966, gamma=1.243, delta=0.079, M=-1.333e+001
34 53 -> ~55 fr=50 (0.3597), cf=0.980, gamma=1.262, delta=0.075, M=-1.324e+001
34 53 -> 56 fr=50 (0.3597), cf=0.980, gamma=1.262, delta=0.075, M=-1.324e+001
30 53 -> ~55 fr=65 (0.4676), cf=0.942, gamma=1.212, delta=0.082, M=-1.314e+001
30 53 -> 56 fr=65 (0.4676), cf=0.942, gamma=1.212, delta=0.082, M=-1.314e+001
15 29 39 -> ~55 fr=65 (0.4676), cf=0.942, gamma=1.212, delta=0.082, M=-1.314e+001
15 29 39 -> 56 fr=65 (0.4676), cf=0.942, gamma=1.212, delta=0.082, M=-1.314e+001
15 47 -> ~55 fr=69 (0.4964), cf=0.932, gamma=1.200, delta=0.083, M=-1.311e+001
15 30 -> ~55 fr=69 (0.4964), cf=0.932, gamma=1.200, delta=0.083, M=-1.311e+001
15 47 -> 56 fr=69 (0.4964), cf=0.932, gamma=1.200, delta=0.083, M=-1.311e+001
15 30 -> 56 fr=69 (0.4964), cf=0.932, gamma=1.200, delta=0.083, M=-1.311e+001
1 23 29 -> ~55 fr=76 (0.5468), cf=0.916, gamma=1.178, delta=0.083, M=-1.298e+001
1 23 29 -> 56 fr=76 (0.5468), cf=0.916, gamma=1.178, delta=0.083, M=-1.298e+001
1 39 53 -> ~55 fr=54 (0.3885), cf=0.964, gamma=1.241, delta=0.075, M=-1.253e+001
1 39 53 -> 56 fr=54 (0.3885), cf=0.964, gamma=1.241, delta=0.075, M=-1.253e+001
15 17 -> ~55 fr=75 (0.5396), cf=0.915, gamma=1.177, delta=0.081, M=-1.251e+001
15 17 -> 56 fr=75 (0.5396), cf=0.915, gamma=1.177, delta=0.081, M=-1.251e+001
11 12 -> 55 fr=28 (0.2014), cf=0.359, gamma=1.610, delta=0.076, M=-1.212e+001
11 12 -> ~56 fr=28 (0.2014), cf=0.359, gamma=1.610, delta=0.076, M=-1.212e+001
29 47 -> ~55 fr=89 (0.6403), cf=0.881, gamma=1.134, delta=0.076, M=-1.212e+001
29 47 -> 56 fr=89 (0.6403), cf=0.881, gamma=1.134, delta=0.076, M=-1.212e+001
11 24 -> 55 fr=20 (0.1439), cf=0.476, gamma=2.135, delta=0.076, M=-1.192e+001
11 24 -> ~56 fr=20 (0.1439), cf=0.476, gamma=2.135, delta=0.076, M=-1.192e+001
15 29 -> ~55 fr=70 (0.5036), cf=0.921, gamma=1.185, delta=0.079, M=-1.189e+001
15 29 -> 56 fr=70 (0.5036), cf=0.921, gamma=1.185, delta=0.079, M=-1.189e+001
25 -> ~55 fr=80 (0.5755), cf=0.899, gamma=1.157, delta=0.078, M=-1.182e+001
25 -> 56 fr=80 (0.5755), cf=0.899, gamma=1.157, delta=0.078, M=-1.182e+001
13 -> ~55 fr=46 (0.3309), cf=0.979, gamma=1.260, delta=0.068, M=-1.170e+001
13 -> 56 fr=46 (0.3309), cf=0.979, gamma=1.260, delta=0.068, M=-1.170e+001
39 53 -> ~55 fr=61 (0.4388), cf=0.938, gamma=1.208, delta=0.076, M=-1.151e+001
39 53 -> 56 fr=61 (0.4388), cf=0.938, gamma=1.208, delta=0.076, M=-1.151e+001
15 39 -> ~55 fr=69 (0.4964), cf=0.920, gamma=1.184, delta=0.077, M=-1.147e+001
15 39 -> 56 fr=69 (0.4964), cf=0.920, gamma=1.184, delta=0.077, M=-1.147e+001
30 -> ~55 fr=99 (0.7122), cf=0.853, gamma=1.098, delta=0.064, M=-1.146e+001
6 11 54 -> 55 fr=23 (0.1655), cf=0.418, gamma=1.875, delta=0.077, M=-1.145e+001
6 11 54 -> ~56 fr=23 (0.1655), cf=0.418, gamma=1.875, delta=0.077, M=-1.145e+001
11 14 -> 55 fr=21 (0.1511), cf=0.447, gamma=2.003, delta=0.076, M=-1.134e+001
11 14 -> ~56 fr=21 (0.1511), cf=0.447, gamma=2.003, delta=0.076, M=-1.134e+001
6 54 -> 55 fr=24 (0.1727), cf=0.400, gamma=1.794, delta=0.076, M=-1.120e+001
6 54 -> ~56 fr=24 (0.1727), cf=0.400, gamma=1.794, delta=0.076, M=-1.120e+001
1 53 -> ~55 fr=60 (0.4317), cf=0.938, gamma=1.207, delta=0.074, M=-1.112e+001
1 53 -> 56 fr=60 (0.4317), cf=0.938, gamma=1.207, delta=0.074, M=-1.112e+001
17 23 47 -> ~55 fr=68 (0.4892), cf=0.919, gamma=1.183, delta=0.076, M=-1.106e+001
17 23 47 -> 56 fr=68 (0.4892), cf=0.919, gamma=1.183, delta=0.076, M=-1.106e+001
17 19 53 -> ~55 fr=50 (0.3597), cf=0.962, gamma=1.238, delta=0.069, M=-1.102e+001
17 19 53 -> 56 fr=50 (0.3597), cf=0.962, gamma=1.238, delta=0.069, M=-1.102e+001
15 -> ~55 fr=75 (0.5396), cf=0.904, gamma=1.163, delta=0.076, M=-1.101e+001
15 -> 56 fr=75 (0.5396), cf=0.904, gamma=1.163, delta=0.076, M=-1.101e+001
9 17 23 29 -> ~55 fr=44 (0.3165), cf=0.978, gamma=1.258, delta=0.065, M=-1.097e+001
9 17 23 29 -> 56 fr=44 (0.3165), cf=0.978, gamma=1.258, delta=0.065, M=-1.097e+001
23 47 -> ~55 fr=81 (0.5827), cf=0.890, gamma=1.146, delta=0.074, M=-1.087e+001
23 47 -> 56 fr=81 (0.5827), cf=0.890, gamma=1.146, delta=0.074, M=-1.087e+001
19 53 -> ~55 fr=59 (0.4245), cf=0.937, gamma=1.205, delta=0.072, M=-1.074e+001
19 53 -> 56 fr=59 (0.4245), cf=0.937, gamma=1.205, delta=0.072, M=-1.074e+001
1 47 -> ~55 fr=89 (0.6403), cf=0.873, gamma=1.123, delta=0.070, M=-1.073e+001
1 47 -> 56 fr=89 (0.6403), cf=0.873, gamma=1.123, delta=0.070, M=-1.073e+001
23 29 34 52 -> ~55 fr=36 (0.2590), cf=1.000, gamma=1.287, delta=0.058, M=-1.071e+001
23 29 34 52 -> 56 fr=36 (0.2590), cf=1.000, gamma=1.287, delta=0.058, M=-1.071e+001
23 29 -> ~55 fr=85 (0.6115), cf=0.876, gamma=1.128, delta=0.069, M=-1.006e+001
23 29 -> 56 fr=85 (0.6115), cf=0.876, gamma=1.128, delta=0.069, M=-1.006e+001
11 54 -> 55 fr=23 (0.1655), cf=0.390, gamma=1.748, delta=0.071, M=-9.785e+000
11 54 -> ~56 fr=23 (0.1655), cf=0.390, gamma=1.748, delta=0.071, M=-9.785e+000
1 29 -> ~55 fr=87 (0.6259), cf=0.870, gamma=1.120, delta=0.067, M=-9.727e+000
1 29 -> 56 fr=87 (0.6259), cf=0.870, gamma=1.120, delta=0.067, M=-9.727e+000
53 -> ~55 fr=68 (0.4892), cf=0.907, gamma=1.167, delta=0.070, M=-9.614e+000
53 -> 56 fr=68 (0.4892), cf=0.907, gamma=1.167, delta=0.070, M=-9.614e+000
47 -> ~55 fr=98 (0.7050), cf=0.845, gamma=1.087, delta=0.057, M=-9.392e+000
9 17 19 29 -> ~55 fr=45 (0.3237), cf=0.957, gamma=1.232, delta=0.061, M=-9.260e+000
9 17 29 39 -> ~55 fr=45 (0.3237), cf=0.957, gamma=1.232, delta=0.061, M=-9.260e+000
9 17 19 29 -> 56 fr=45 (0.3237), cf=0.957, gamma=1.232, delta=0.061, M=-9.260e+000
9 17 29 39 -> 56 fr=45 (0.3237), cf=0.957, gamma=1.232, delta=0.061, M=-9.260e+000
29 39 -> ~55 fr=88 (0.6331), cf=0.863, gamma=1.110, delta=0.063, M=-8.956e+000
29 39 -> 56 fr=88 (0.6331), cf=0.863, gamma=1.110, delta=0.063, M=-8.956e+000
9 17 29 -> ~55 fr=49 (0.3525), cf=0.942, gamma=1.213, delta=0.062, M=-8.865e+000
9 17 29 -> 56 fr=49 (0.3525), cf=0.942, gamma=1.213, delta=0.062, M=-8.865e+000
23 34 52 -> ~55 fr=36 (0.2590), cf=0.973, gamma=1.252, delta=0.052, M=-8.241e+000
23 34 52 -> 56 fr=36 (0.2590), cf=0.973, gamma=1.252, delta=0.052, M=-8.241e+000
9 29 -> ~55 fr=56 (0.4029), cf=0.918, gamma=1.182, delta=0.062, M=-8.182e+000
9 29 -> 56 fr=56 (0.4029), cf=0.918, gamma=1.182, delta=0.062, M=-8.182e+000
9 17 23 -> ~55 fr=45 (0.3237), cf=0.938, gamma=1.207, delta=0.055, M=-7.589e+000
9 17 23 -> 56 fr=45 (0.3237), cf=0.938, gamma=1.207, delta=0.055, M=-7.589e+000
17 19 29 -> ~55 fr=69 (0.4964), cf=0.885, gamma=1.139, delta=0.060, M=-7.456e+000
17 19 29 -> 56 fr=69 (0.4964), cf=0.885, gamma=1.139, delta=0.060, M=-7.456e+000
17 21 23 -> ~55 fr=49 (0.3525), cf=0.925, gamma=1.190, delta=0.056, M=-7.365e+000
17 21 23 -> 56 fr=49 (0.3525), cf=0.925, gamma=1.190, delta=0.056, M=-7.365e+000
1 21 23 39 -> ~55 fr=49 (0.3525), cf=0.925, gamma=1.190, delta=0.056, M=-7.365e+000
1 21 23 39 -> 56 fr=49 (0.3525), cf=0.925, gamma=1.190, delta=0.056, M=-7.365e+000
1 23 39 -> ~55 fr=71 (0.5108), cf=0.877, gamma=1.128, delta=0.058, M=-6.996e+000
1 23 39 -> 56 fr=71 (0.5108), cf=0.877, gamma=1.128, delta=0.058, M=-6.996e+000
29 -> ~55 fr=98 (0.7050), cf=0.831, gamma=1.069, delta=0.045, M=-6.935e+000
6 8 11 -> 55 fr=18 (0.1295), cf=0.391, gamma=1.755, delta=0.056, M=-6.839e+000
6 8 11 -> ~56 fr=18 (0.1295), cf=0.391, gamma=1.755, delta=0.056, M=-6.839e+000
1 21 23 -> ~55 fr=51 (0.3669), cf=0.911, gamma=1.172, delta=0.054, M=-6.651e+000
1 21 23 -> 56 fr=51 (0.3669), cf=0.911, gamma=1.172, delta=0.054, M=-6.651e+000
23 34 39 -> ~55 fr=55 (0.3957), cf=0.902, gamma=1.160, delta=0.055, M=-6.605e+000
23 34 39 -> 56 fr=55 (0.3957), cf=0.902, gamma=1.160, delta=0.055, M=-6.605e+000
23 39 -> ~55 fr=79 (0.5683), cf=0.859, gamma=1.105, delta=0.054, M=-6.493e+000
1 23 -> ~55 fr=79 (0.5683), cf=0.859, gamma=1.105, delta=0.054, M=-6.493e+000
23 39 -> 56 fr=79 (0.5683), cf=0.859, gamma=1.105, delta=0.054, M=-6.493e+000
1 23 -> 56 fr=79 (0.5683), cf=0.859, gamma=1.105, delta=0.054, M=-6.493e+000
17 23 34 -> ~55 fr=50 (0.3597), cf=0.909, gamma=1.170, delta=0.052, M=-6.366e+000
17 23 34 -> 56 fr=50 (0.3597), cf=0.909, gamma=1.170, delta=0.052, M=-6.366e+000
6 8 -> 55 fr=20 (0.1439), cf=0.357, gamma=1.601, delta=0.054, M=-6.264e+000
6 8 -> ~56 fr=20 (0.1439), cf=0.357, gamma=1.601, delta=0.054, M=-6.264e+000
23 34 -> ~55 fr=57 (0.4101), cf=0.891, gamma=1.146, delta=0.052, M=-6.048e+000
23 34 -> 56 fr=57 (0.4101), cf=0.891, gamma=1.146, delta=0.052, M=-6.048e+000
21 23 -> ~55 fr=56 (0.4029), cf=0.889, gamma=1.144, delta=0.051, M=-5.774e+000
21 23 -> 56 fr=56 (0.4029), cf=0.889, gamma=1.144, delta=0.051, M=-5.774e+000
6 11 -> 55 fr=29 (0.2086), cf=0.279, gamma=1.250, delta=0.042, M=-5.610e+000
6 11 -> ~56 fr=29 (0.2086), cf=0.279, gamma=1.250, delta=0.042, M=-5.610e+000
34 39 52 -> ~55 fr=38 (0.2734), cf=0.927, gamma=1.193, delta=0.044, M=-5.582e+000
17 23 52 -> ~55 fr=38 (0.2734), cf=0.927, gamma=1.193, delta=0.044, M=-5.582e+000
34 39 52 -> 56 fr=38 (0.2734), cf=0.927, gamma=1.193, delta=0.044, M=-5.582e+000
17 23 52 -> 56 fr=38 (0.2734), cf=0.927, gamma=1.193, delta=0.044, M=-5.582e+000
17 19 23 -> ~55 fr=62 (0.4460), cf=0.873, gamma=1.124, delta=0.049, M=-5.376e+000
17 19 23 -> 56 fr=62 (0.4460), cf=0.873, gamma=1.124, delta=0.049, M=-5.376e+000
9 17 21 -> ~55 fr=32 (0.2302), cf=0.941, gamma=1.211, delta=0.040, M=-5.339e+000
9 17 21 -> 56 fr=32 (0.2302), cf=0.941, gamma=1.211, delta=0.040, M=-5.339e+000
1 19 34 52 -> ~55 fr=32 (0.2302), cf=0.941, gamma=1.211, delta=0.040, M=-5.339e+000
1 19 34 52 -> 56 fr=32 (0.2302), cf=0.941, gamma=1.211, delta=0.040, M=-5.339e+000
1 34 52 -> ~55 fr=37 (0.2662), cf=0.925, gamma=1.191, delta=0.043, M=-5.318e+000
1 34 52 -> 56 fr=37 (0.2662), cf=0.925, gamma=1.191, delta=0.043, M=-5.318e+000
17 23 -> ~55 fr=72 (0.5180), cf=0.857, gamma=1.103, delta=0.048, M=-5.302e+000
17 23 -> 56 fr=72 (0.5180), cf=0.857, gamma=1.103, delta=0.048, M=-5.302e+000
17 21 -> ~55 fr=54 (0.3885), cf=0.885, gamma=1.139, delta=0.048, M=-5.247e+000
17 21 -> 56 fr=54 (0.3885), cf=0.885, gamma=1.139, delta=0.048, M=-5.247e+000
23 52 -> ~55 fr=45 (0.3237), cf=0.900, gamma=1.158, delta=0.044, M=-5.039e+000
23 52 -> 56 fr=45 (0.3237), cf=0.900, gamma=1.158, delta=0.044, M=-5.039e+000
9 17 -> ~55 fr=53 (0.3813), cf=0.883, gamma=1.137, delta=0.046, M=-4.995e+000
9 17 -> 56 fr=53 (0.3813), cf=0.883, gamma=1.137, delta=0.046, M=-4.995e+000
21 34 52 -> ~55 fr=25 (0.1799), cf=0.962, gamma=1.238, delta=0.035, M=-4.973e+000
21 34 52 -> 56 fr=25 (0.1799), cf=0.962, gamma=1.238, delta=0.035, M=-4.973e+000
