1 27 29 30 -> ~55 fr=81 (0.5827), cf=0.953, gamma=1.193, delta=0.094, M=-1.790e+001
15 23 -> 56 fr=61 (0.4388), cf=0.953, gamma=1.194, delta=0.071, M=-1.122e+001
23 29 34 52 -> ~55 fr=41 (0.2950), cf=1.000, gamma=1.252, delta=0.059, M=-1.115e+001
23 29 34 52 -> 56 fr=41 (0.2950), cf=1.000, gamma=1.252, delta=0.059, M=-1.115e+001
6 12 -> 55 fr=26 (0.1871), cf=0.317, gamma=1.574, delta=0.068, M=-1.105e+001
6 12 -> ~56 fr=26 (0.1871), cf=0.317, gamma=1.574, delta=0.068, M=-1.105e+001
39 53 -> ~55 fr=65 (0.4676), cf=0.942, gamma=1.180, delta=0.071, M=-1.087e+001
39 53 -> 56 fr=65 (0.4676), cf=0.942, gamma=1.180, delta=0.071, M=-1.087e+001
15 29 -> ~55 fr=69 (0.4964), cf=0.932, gamma=1.168, delta=0.071, M=-1.067e+001
15 29 -> 56 fr=69 (0.4964), cf=0.932, gamma=1.168, delta=0.071, M=-1.067e+001
53 -> ~55 fr=73 (0.5252), cf=0.924, gamma=1.157, delta=0.071, M=-1.059e+001
53 -> 56 fr=73 (0.5252), cf=0.924, gamma=1.157, delta=0.071, M=-1.059e+001
25 -> ~55 fr=80 (0.5755), cf=0.909, gamma=1.138, delta=0.070, M=-1.034e+001
25 -> 56 fr=80 (0.5755), cf=0.909, gamma=1.138, delta=0.070, M=-1.034e+001
1 47 -> ~55 fr=89 (0.6403), cf=0.890, gamma=1.115, delta=0.066, M=-9.960e+000
1 47 -> 56 fr=89 (0.6403), cf=0.890, gamma=1.115, delta=0.066, M=-9.960e+000
15 47 -> ~55 fr=67 (0.4820), cf=0.931, gamma=1.165, delta=0.068, M=-9.951e+000
15 47 -> 56 fr=67 (0.4820), cf=0.931, gamma=1.165, delta=0.068, M=-9.951e+000
15 -> ~55 fr=74 (0.5324), cf=0.914, gamma=1.144, delta=0.067, M=-9.477e+000
15 -> 56 fr=74 (0.5324), cf=0.914, gamma=1.144, delta=0.067, M=-9.477e+000
30 -> ~55 fr=103 (0.7410), cf=0.858, gamma=1.075, delta=0.052, M=-9.319e+000
13 29 -> ~55 fr=43 (0.3094), cf=0.977, gamma=1.224, delta=0.057, M=-9.218e+000
13 29 -> 56 fr=43 (0.3094), cf=0.977, gamma=1.224, delta=0.057, M=-9.218e+000
39 47 -> ~55 fr=87 (0.6259), cf=0.888, gamma=1.112, delta=0.063, M=-9.087e+000
39 47 -> 56 fr=87 (0.6259), cf=0.888, gamma=1.112, delta=0.063, M=-9.087e+000
9 17 23 29 -> ~55 fr=42 (0.3022), cf=0.977, gamma=1.223, delta=0.055, M=-8.908e+000
9 17 23 29 -> 56 fr=42 (0.3022), cf=0.977, gamma=1.223, delta=0.055, M=-8.908e+000
47 -> ~55 fr=100 (0.7194), cf=0.862, gamma=1.080, delta=0.053, M=-8.799e+000
29 39 -> ~55 fr=89 (0.6403), cf=0.881, gamma=1.103, delta=0.060, M=-8.635e+000
29 39 -> 56 fr=89 (0.6403), cf=0.881, gamma=1.103, delta=0.060, M=-8.635e+000
11 12 -> 55 fr=24 (0.1727), cf=0.308, gamma=1.527, delta=0.060, M=-8.222e+000
11 12 -> ~56 fr=24 (0.1727), cf=0.308, gamma=1.527, delta=0.060, M=-8.222e+000
29 -> ~55 fr=101 (0.7266), cf=0.856, gamma=1.072, delta=0.049, M=-8.053e+000
13 -> ~55 fr=45 (0.3237), cf=0.957, gamma=1.199, delta=0.054, M=-7.874e+000
13 -> 56 fr=45 (0.3237), cf=0.957, gamma=1.199, delta=0.054, M=-7.874e+000
23 34 52 -> ~55 fr=41 (0.2950), cf=0.953, gamma=1.194, delta=0.048, M=-6.750e+000
23 34 52 -> 56 fr=41 (0.2950), cf=0.953, gamma=1.194, delta=0.048, M=-6.750e+000
1 34 -> ~55 fr=62 (0.4460), cf=0.899, gamma=1.125, delta=0.050, M=-5.799e+000
1 34 -> 56 fr=62 (0.4460), cf=0.899, gamma=1.125, delta=0.050, M=-5.799e+000
34 39 -> ~55 fr=65 (0.4676), cf=0.890, gamma=1.115, delta=0.048, M=-5.503e+000
34 39 -> 56 fr=65 (0.4676), cf=0.890, gamma=1.115, delta=0.048, M=-5.503e+000
1 17 21 23 -> ~55 fr=46 (0.3309), cf=0.920, gamma=1.152, delta=0.044, M=-5.254e+000
1 17 21 23 -> 56 fr=46 (0.3309), cf=0.920, gamma=1.152, delta=0.044, M=-5.254e+000
17 21 23 -> ~55 fr=50 (0.3597), cf=0.909, gamma=1.138, delta=0.044, M=-5.053e+000
17 21 23 -> 56 fr=50 (0.3597), cf=0.909, gamma=1.138, delta=0.044, M=-5.053e+000
34 52 -> ~55 fr=45 (0.3237), cf=0.918, gamma=1.150, delta=0.042, M=-5.018e+000
34 52 -> 56 fr=45 (0.3237), cf=0.918, gamma=1.150, delta=0.042, M=-5.018e+000
1 21 23 -> ~55 fr=54 (0.3885), cf=0.900, gamma=1.127, delta=0.044, M=-4.914e+000
1 21 23 -> 56 fr=54 (0.3885), cf=0.900, gamma=1.127, delta=0.044, M=-4.914e+000
17 23 34 -> ~55 fr=53 (0.3813), cf=0.898, gamma=1.125, delta=0.042, M=-4.686e+000
17 23 34 -> 56 fr=53 (0.3813), cf=0.898, gamma=1.125, delta=0.042, M=-4.686e+000
9 17 23 -> ~55 fr=43 (0.3094), cf=0.915, gamma=1.146, delta=0.039, M=-4.563e+000
9 17 23 -> 56 fr=43 (0.3094), cf=0.915, gamma=1.146, delta=0.039, M=-4.563e+000
17 34 -> ~55 fr=61 (0.4388), cf=0.884, gamma=1.107, delta=0.042, M=-4.547e+000
23 34 -> ~55 fr=61 (0.4388), cf=0.884, gamma=1.107, delta=0.042, M=-4.547e+000
17 34 -> 56 fr=61 (0.4388), cf=0.884, gamma=1.107, delta=0.042, M=-4.547e+000
23 34 -> 56 fr=61 (0.4388), cf=0.884, gamma=1.107, delta=0.042, M=-4.547e+000
18 39 -> ~55 fr=18 (0.1295), cf=1.000, gamma=1.252, delta=0.026, M=-4.356e+000
18 39 -> 56 fr=18 (0.1295), cf=1.000, gamma=1.252, delta=0.026, M=-4.356e+000
1 52 -> ~55 fr=55 (0.3957), cf=0.887, gamma=1.111, delta=0.039, M=-4.163e+000
17 21 -> ~55 fr=55 (0.3957), cf=0.887, gamma=1.111, delta=0.039, M=-4.163e+000
1 52 -> 56 fr=55 (0.3957), cf=0.887, gamma=1.111, delta=0.039, M=-4.163e+000
17 21 -> 56 fr=55 (0.3957), cf=0.887, gamma=1.111, delta=0.039, M=-4.163e+000
17 23 52 -> ~55 fr=41 (0.2950), cf=0.911, gamma=1.141, delta=0.036, M=-4.128e+000
17 23 52 -> 56 fr=41 (0.2950), cf=0.911, gamma=1.141, delta=0.036, M=-4.128e+000
6 8 11 -> 55 fr=15 (0.1079), cf=0.313, gamma=1.551, delta=0.038, M=-4.066e+000
6 8 11 -> ~56 fr=15 (0.1079), cf=0.313, gamma=1.551, delta=0.038, M=-4.066e+000
34 -> ~55 fr=70 (0.5036), cf=0.864, gamma=1.082, delta=0.038, M=-3.917e+000
34 -> 56 fr=70 (0.5036), cf=0.864, gamma=1.082, delta=0.038, M=-3.917e+000
6 8 -> 55 fr=17 (0.1223), cf=0.293, gamma=1.455, delta=0.038, M=-3.917e+000
6 8 -> ~56 fr=17 (0.1223), cf=0.293, gamma=1.455, delta=0.038, M=-3.917e+000
1 23 39 -> ~55 fr=70 (0.5036), cf=0.864, gamma=1.082, delta=0.038, M=-3.917e+000
1 23 39 -> 56 fr=70 (0.5036), cf=0.864, gamma=1.082, delta=0.038, M=-3.917e+000
21 23 -> ~55 fr=58 (0.4173), cf=0.879, gamma=1.100, delta=0.038, M=-3.904e+000
21 23 -> 56 fr=58 (0.4173), cf=0.879, gamma=1.100, delta=0.038, M=-3.904e+000
23 52 -> ~55 fr=49 (0.3525), cf=0.891, gamma=1.116, delta=0.037, M=-3.836e+000
23 52 -> 56 fr=49 (0.3525), cf=0.891, gamma=1.116, delta=0.037, M=-3.836e+000
6 11 -> 55 fr=26 (0.1871), cf=0.241, gamma=1.195, delta=0.031, M=-3.820e+000
6 11 -> ~56 fr=26 (0.1871), cf=0.241, gamma=1.195, delta=0.031, M=-3.820e+000
1 23 -> ~55 fr=80 (0.5755), cf=0.851, gamma=1.066, delta=0.036, M=-3.717e+000
1 23 -> 56 fr=80 (0.5755), cf=0.851, gamma=1.066, delta=0.036, M=-3.717e+000
52 -> ~55 fr=61 (0.4388), cf=0.871, gamma=1.091, delta=0.037, M=-3.679e+000
52 -> 56 fr=61 (0.4388), cf=0.871, gamma=1.091, delta=0.037, M=-3.679e+000
